act a success in itself 131
add a crystal of sodium 350
add a solution of ammonia 105
add a solution of barium 125
add a solution of common 67
add a solution of copper 56
add a solution of ferric 51
add a solution of oxalic 65
add a solution of silver 384
add a solution of sodium 1302
add a teaspoon of butter 103
add a tribute of public 86
add a variety of colors 66
add a variety of special 57
air i ascribe it mainly 60
all a process of creation 51
all a question of applying 50
all a question of choice 179
all a question of degree 1566
all a question of supply 180
all a question of training 95
all a question of values 74
all a question of weighing 46
all a question of whether 471
all i propose to myself 52
and a backlog of orders 80
and a balance be struck 50
and a balance is needed 45
and a balance is reached 133
and a balance is sought 41
and a balance is struck 351
and a balance of forces 208
and a balance of powers 136
and a balance of rights 42
and a balance of terror 135
and a bandage is placed 42
and a baptism of christ 68
and a bargain is struck 90
and a barrier to further 185
and a battery in series 71
and a battery of anvils 67
and a battery of cannon 453
and a battery of french 95
and a battery of lights 44
and a battery of native 188
and a battery of rifled 221
and a battery of special 47
and a battery of twelve 356
and a battery of twenty 106
and a beginning of another 74
and a benefit is thereby 53
and a bouquet of lilacs 65
and a bouquet of lilies 48
and a bouquet of violets 126
and a bouquet of yellow 69
and a boycott of german 47
and a boycott of jewish 59
and a breeder of horses 49
and a brigade of english 47
and a brigade of french 136
and a brigade of guards 47
and a brigade of militia 170
and a brigade of troops 134
and a brisket of boiled 101
and a browser to access 109
and a builder of cities 51
and a buildup of carbon 60
and a buildup of lactic 45
and a cabinet of medals 51
and a cannula is placed 60
and a captain of militia 181
and a captain of police 103
and a caravan of camels 209
and a cascade of events 97
and a cascade of sparks 49
and a catheter is passed 151
and a catheter is placed 151
and a catheter is threaded 77
and a catholic of course 41
and a century of advice 290
and a century of french 3183
and a century of thought 311
and a champion of reform 48
and a channel is formed 83
and a chapter no bigger 51
and a chapter of canons 97
and a charter of rights 476
and a citizen of another 2180
and a citizen of canada 53
and a citizen of england 45
and a citizen of france 69
and a citizen of london 311
and a citizen of mexico 81
and a citizen of sterling 48
and a citizen to impart 106
and a clarity of thought 235
and a clatter of dishes 112
and a clatter of hooves 113
and a clatter of horses 40
and a clatter of knives 44
and a clatter of sabots 63
and a clatter of stones 45
and a clatter of tongues 53
and a clatter of wheels 48
and a clatter we should 40
and a climate of mutual 180
and a climate of opinion 394
and a climate of public 60
and a climate of terror 40
and a climate the finest 41
and a cluster of arrows 47
and a cluster of bright 63
and a cluster of cabins 58
and a cluster of clerks 51
and a cluster of grapes 325
and a cluster of houses 510
and a cluster of lesser 46
and a cluster of little 142
and a cluster of purple 49
and a cluster of stores 42
and a cluster of wooden 74
and a cluster of yellow 69
and a coconut is broken 73
and a cogency of reasoning 72
and a college at oxford 121
and a college of aviation 44
and a college of further 63
and a college of higher 52
and a colonel of militia 271
and a command of english 248
and a command of temper 48
and a company in another 47
and a company is formed 43
and a company of actors 351
and a company of bombay 77
and a company of cadets 62
and a company of combat 41
and a company of eighty 118
and a company of english 279
and a company of french 390
and a company of german 163
and a company of greeks 40
and a company of guards 59
and a company of indians 78
and a company of italian 93
and a company of ladies 67
and a company of madras 63
and a company of militia 396
and a company of miners 114
and a company of minute 68
and a company of nations 1111
and a company of native 313
and a company of rangers 437
and a company of saints 44
and a company of scotch 92
and a company of scouts 80
and a company of troops 253
and a company of twenty 215
and a company of united 344
and a complex is formed 60
and a concept of reality 40
and a concern to ensure 77
and a concert of nations 119
and a concert of powers 61
and a concert of voices 41
and a congress of another 84
and a congress of nations 190
and a coronet of feathers 55
and a council of chiefs 95
and a council of elders 1402
and a council of eleven 81
and a council of europe 58
and a council of nobles 103
and a council of public 64
and a council of safety 158
and a council of states 135
and a council of toledo 89
and a council of twelve 584
and a council of twenty 437
and a council or senate 45
and a country is driven 102
and a country to combat 76
and a cripple to strength 42
and a crystal of copper 65
and a crystal of sodium 101
and a culture of mutual 64
and a current be passed 283
and a current is caused 67
and a current is passed 1042
and a current of carbon 187
and a current of oxygen 49
and a current or former 59
and a dauphin of eleven 44
and a decision in regard 66
and a decision is likely 126
and a decision is needed 83
and a decision is reached 774
and a decision on whether 347
and a decision to accept 170
and a decision to become 41
and a decision to commit 53
and a decision to embark 40
and a decision to follow 44
and a decision to invest 55
and a decision to pursue 61
and a decision to reduce 51
and a decision to reject 50
and a decision to remove 53
and a decision to return 42
and a decline in cardiac 57
and a decline in church 56
and a decline in demand 354
and a decline in energy 54
and a decline in export 122
and a decline in family 107
and a decline in female 42
and a decline in german 80
and a decline in income 357
and a decline in infant 244
and a decline in market 67
and a decline in mental 91
and a decline in morale 137
and a decline in morals 59
and a decline in output 213
and a decline in plasma 117
and a decline in prices 341
and a decline in public 435
and a decline in school 177
and a decline in sexual 84
and a decline in status 49
and a decline in values 79
and a decline in worker 40
and a decline in yields 52
and a decline of prices 77
and a decrease at higher 103
and a decrease in active 60
and a decrease in airway 140
and a decrease in amount 56
and a decrease in annual 40
and a decrease in another 250
and a decrease in aortic 43
and a decrease in assets 105
and a decrease in atomic 52
and a decrease in biomass 41
and a decrease in carbon 151
