a di rod lens with 133
a do not care and 72
a do not care bit 139
a do not care for 90
a do not come bet 235
a do not know how 205
a do not know why 65
a do not pass bet 272
a do not think that 44
a do you have any 52
a do you think that 256
a foe hath laid our 45
a hoe and came out 136
a hoe and went out 47
a hoe for cart and 162
a if you have not 45
a is not less than 285
a is not more than 53
a is not used with 46
a it was held that 103
a king and there was 50
a king any more than 59
a king for life and 55
a king for their own 109
a king has died but 40
a king has gone and 41
a king set over them 94
a king that find thee 236
a king they said they 61
a king was more than 50
a king who buys and 207
a king who gave his 90
a king who kept his 50
a king who knew his 42
a king who knew how 105
a king who knew not 246
a king who left his 66
a king who lost his 121
a king who owed his 179
a king who owes his 47
a king who sent his 63
a king who sets his 42
a king who took his 45
a king who uses his 45
a king who went out 93
a king who will not 148
a king with whom they 56
a of not less than 80
a of not more than 55
a on one side and 160
a pc with more than 46
a pc with only one 49
a ph not less than 49
a ping pong ball and 124
a ping pong ball with 52
a ring and find out 59
a ring and made him 51
a ring and tell her 95
a ring and tell him 137
a ring and told her 72
a ring and told him 41
a ring box from his 81
a ring that made him 65
a thing and there was 69
a thing and will not 77
a thing any more than 123
a thing being worth ten 103
a thing both cool and 50
a thing but breath and 75
a thing but love can 60
a thing but rent out 54
a thing but turn her 84
a thing but what was 44
a thing can only act 135
a thing fit only for 52
a thing for less than 308
a thing for more than 867
a thing for their men 49
a thing for those who 97
a thing for wise men 41
a thing for years and 42
a thing has been put 53
a thing has only one 53
a thing has room for 48
a thing may have any 168
a thing not having his 57
a thing not only not 79
a thing not ours nor 62
a thing not seen for 43
a thing not seen with 154
a thing not very easy 84
a thing not worth doing 56
a thing she said that 86
a thing that came out 44
a thing that cuts now 46
a thing that drew his 49
a thing that ever does 69
a thing that ever sat 268
a thing that gave him 59
a thing that lies hid 526
a thing that made her 65
a thing that made him 169
a thing that made his 63
a thing that made you 55
a thing that mars and 75
a thing that must and 80
a thing that must not 242
a thing that need not 118
a thing that none but 574
a thing that none can 123
a thing that nothing but 56
a thing that nothing can 41
a thing that once had 49
a thing that once was 111
a thing that owes its 51
a thing that there can 46
a thing that those who 93
a thing that very few 75
a thing that when you 44
a thing that will bring 57
a thing that will not 550
a thing that your own 58
a thing thee will not 58
a thing they have not 95
a thing they must put 41
a thing they were not 99
a thing they will not 97
a thing too good for 65
a thing too great for 115
a thing too hard for 73
a thing too high for 60
a thing too torn and 60
a thing too young for 150
a thing was done and 42
a thing was done for 46
a thing was done that 47
a thing was lent them 64
a thing was more than 63
a thing was sold for 40
a thing was worth doing 209
a thing with other things 83
a thing with their own 43
a thing you have got 53
a thing you have not 180
a thing you must aim 45
a thing you must not 103
a thing you will not 174
a woe too deep for 60
