am foremost 73 am foremost 139
an relative 104 an absolute 185
an goodness 171 an withdrawing 204
an authority 97 an relative 179
an authority 55 an property 42
an relative 225 an contains 118
an provides 286 an concrete 49
an befallen 259 an confined 46
an happened 567 an occurred 317
an befallen 62 an happened 271
an occurred 188 an resulted 54
an followed 42 an recorded 44
an estimating 88 an predicting 48
an estimating 92 an evaluating 57
an predicting 55 an requires 66
an analysis 149 an concluding 123
an decisions 76 an describing 58
an detailed 40 an developing 162
an discussing 54 an economic 116
an estimating 204 an evaluating 368
an explaining 219 an expressing 49
an informed 44 an judgment 421
an justifying 49 an morality 105
an overriding 53 an physician 42
an predicting 246 an selection 72
an evaluating 41 an describing 67
an explaining 60 an military 91
an abandoning 44 an immediate 62
an economic 148 an rendered 46
an included 126 an includes 72
an included 54 an includes 41
an children 58 an daughter 65
an vertical 46 an operated 50
an operated 54 an economic 45
an historian 95 an foremost 145
an maryland 56 an received 48
an recently 55 an regarded 79
an attended 59 an commanding 165
an probably 110 an possibly 125
an contract 105 an produced 103
an obtained 40 an included 58
an military 43 an included 83
an received 43 an therefore 84
an increases 77 an operates 64
an acceptor 267 an nitrogen 1207
an humanity 133 an occupied 60
an physical 47 an consists 44
an employer 102 an maintain 41
an employee 45 an injuries 47
an whatever 71 an cultural 50
an economic 190 an original 93
an original 67 an developing 69
an economic 41 an economic 48
an expressing 55 an everyone 45
an produces 56 an secretes 71
an implicit 53 an occurred 54
an potential 42 an internal 256
an europeans 43 an explicit 338
an evaluating 56 an affinity 44
an estimating 64 an performing 42
an economic 88 an actually 50
an happened 568 an occurred 1591
an recently 87 an happened 62
an occurred 96 an occurred 83
an narrated 78 an destined 46
an entirely 85 an probably 40
an regarded 58 an reported 70
an constant 78 an nitrogen 228
an decreased 94 an capacity 88
an obtained 43 an estimating 124
an constant 57 an observed 62
an attained 44 an suffered 42
an authority 106 an beguiles 121
an excluded 55 an continue 59
an external 458 an ordinary 69
an possibly 87 an yourself 44
an exercise 124 an required 42
an attended 54 an effected 40
an supposed 45 an interest 80
an observed 207 an purposes 87
an develops 69 an vigorous 41
an containing 40 an possibly 69
an included 44 an agitation 125
an economic 54 an occurred 61
as relative 395 as absolute 154
as distinct 54 as american 108
as carbonic 129 as epilepsy 190
as muscular 77 as subjects 85
as symptoms 239 as abstract 132
as services 124 as producer 73
as benefits 116 as services 93
as inflation 84 as acceptor 123
as physical 47 as internal 131
as security 84 as explicit 152
as infinite 42 as extrusion 197
as inflation 213 as positive 51
as external 567 as magnetic 48
as positive 618 as articles 61
as partially 53 as dislikes 158
as chemical 44 as negative 979
as necklace 85 as received 58
as succeeding 91 as accession 51
as admission 261 as formation 45
as occurred 60 as increased 73
as children 246 as interest 85
as mortgage 48 as absolute 1602
as provision 77 as princess 104
as gulliver 103 as superiors 55
as sherwood 41 as standard 107
as citizens 155 as laughter 52
as treatment 45 as precepts 41
as mutually 47 as networks 139
at altitude 142 at constant 157
at direction 53 at constant 50
at invention 52 at immediate 103
at generous 47 at children 47
at scottish 72 at locations 175
at specific 62 at specific 164
