act a certain way toward 58
ago a company was formed 150
ago a question was raised 44
ago a society was formed 83
all a hundred and eighty 57
all a hundred and ninety 43
all a hundred and twelve 49
all a hundred and twenty 209
all a mockery and beastly 76
and a balance was struck 132
and a banquet was served 65
and a bargain was struck 569
and a bathroom and toilet 41
and a bathroom with shower 170
and a bathroom with toilet 49
and a battery for cannon 69
and a battery was placed 53
and a battery was raised 55
and a bedroom and dressing 48
and a beginning has already 125
and a bellman going before 59
and a blanket and pillow 142
and a blanket that looked 44
and a brigade was posted 66
and a broader and deeper 194
and a cabinet was formed 215
and a carriage and horses 252
and a carrier may invoke 90
and a catheter was passed 63
and a catheter was placed 54
and a catholic lay worker 74
and a certain low passion 132
and a champion was picked 75
and a channel cut through 61
and a charter was issued 121
and a college for training 95
and a colored boy glided 83
and a command was issued 67
and a company was formed 1368
and a complex and highly 88
and a comrade was needed 54
and a concern for detail 43
and a concern for equity 61
and a concern for ethical 48
and a concern for family 45
and a concern for future 69
and a concern for public 104
and a congress was called 68
and a congress was opened 165
and a cottage and garden 40
and a council and judges 85
and a council being called 51
and a council was called 645
and a council was formed 68
and a counter with stools 57
and a creature going through 94
and a culture that values 236
and a current was passed 102
and a custard cup without 108
and a deadlock was reached 55
and a decision was handed 151
and a decision was needed 54
and a decision was reached 903
and a decision with regard 46
and a dimness was before 93
and a dispute had arisen 89
and a dispute has arisen 120
and a division was called 74
and a doleful gap opened 45
and a european war kindling 49
and a flutter ran through 68
and a footpath led through 175
and a foreign tax credit 191
and a fortune for myself 46
and a founder and editor 75
and a founder and former 53
and a founder and member 51
and a foundry for cannon 62
and a furnace for smelting 46
and a general air around 282
and a general riot ensued 55
and a general war seemed 113
and a glimpse was caught 45
and a harmony and mutual 69
and a harmony with nature 58
and a harvard law degree 44
and a harvard law school 160
and a haughty and formal 45
and a hundred and eighty 1702
and a hundred and eleven 158
and a hundred and ninety 534
and a hundred and twelve 363
and a hundred and twenty 7093
and a hundred things beside 77
and a husband old enough 44
and a husband who adored 70
and a husband who adores 68
and a husband who needed 45
and a husband who worked 170
and a junction was formed 44
and a kitchen and pantry 161
and a kitchen big enough 64
and a kitchen that smokes 143
and a knitted cap pulled 41
and a lantern was blinking 48
and a lethargy has seized 46
and a lettuce and tomato 116
and a libation was poured 66
and a liberal and humane 82
and a library and museum 65
and a license was issued 65
and a luncheon was served 41
and a machine for grinding 55
and a machine gun opened 83
and a machine gun section 128
and a madonna and saints 127
and a madonna with saints 116
and a mahomet are thought 50
and a mandate was issued 174
and a marriage and family 130
and a maximum was reached 78
and a medical and dental 74
and a medical man should 49
and a message box appears 142
and a message was passed 65
and a monitor for output 80
and a musician who played 61
and a notepad and pencil 42
and a oneness with nature 53
and a painter who paints 60
and a partner had bought 52
and a partner had opened 40
and a passage cut through 294
and a passage was cleared 57
and a passage was opened 131
and a patient with severe 157
and a pattern for future 49
and a petition for pardon 40
and a petition for rehearing 350
and a petition for relief 50
and a petition for review 134
and a petition was signed 133
and a plastic bag filled 120
and a plastic cup filled 43
and a plebeian who stands 41
and a postage and handling 48
and a premium was placed 272
and a presage and herald 40
and a present and future 168
and a printer for output 103
and a printer for printing 43
and a private atm switch 61
and a problem has arisen 44
and a process for managing 46
and a process that allows 58
and a program for further 48
and a program for future 78
and a program for reform 337
and a program for training 167
and a program that allows 65
and a project was formed 115
and a protest was lodged 103
and a protest was signed 86
and a purpose and effect 41
and a quantum with angular 133
and a quarrel had arisen 41
and a quarrel had ensued 44
and a quarrel with france 83
and a quarter for another 50
and a quarter had passed 179
and a quarter has passed 117
and a quarter per bushel 57
and a question and answer 1807
and a question had arisen 46
and a question had formed 43
and a question has arisen 144
and a question was raised 361
and a receipt was issued 68
and a referee for fights 43
and a regency was formed 49
and a reprint was issued 44
and a request for advice 92
and a request for another 108
and a request for further 647
and a request for pardon 89
and a request for relief 46
and a request for review 52
and a reserve for future 43
and a resolve was passed 144
and a respect for honest 40
and a respect for nature 203
and a respect for public 58
and a respect for rights 46
and a respect for strength 205
and a respect for virtue 62
and a respect not merely 60
and a rupture with england 61
and a sanction for inducing 67
and a scholar and writer 52
and a sergeant and twelve 120
and a sergeant was killed 46
and a servant his master 2567
and a servant was killed 50
and a servant was standing 100
and a shrinking job market 60
and a shudder ran through 1506
and a silence had fallen 69
and a silence that seemed 41
and a similar but larger 118
and a similar one behind 76
and a similar one called 40
and a similar one exists 53
and a similar one placed 57
and a sincere and ardent 76
and a sincere and cordial 312
and a sincere and earnest 136
and a sincere and honest 60
and a sincere and humble 68
and a sincere and zealous 50
and a skilful and useful 129
and a smaller one around 96
and a smaller one behind 618
and a smaller one beside 60
and a smaller one called 226
and a smaller one inside 70
and a smaller one through 70
and a smaller than normal 81
and a society that pleased 45
and a society that values 131
and a society was formed 793
and a soldier was killed 111
and a solution was reached 47
and a solution was sought 130
and a statute may relate 70
and a statute was passed 400
and a sterile dry dressing 43
and a stranger was raised 65
and a stranger who should 55
and a stranger who wishes 171
and a studded dog collar 41
and a student was killed 50
and a subject for further 100
and a subject for future 50
and a subject too little 57
and a summons was issued 179
and a surplus for export 258
and a sympathy with nature 52
and a thousand not enough 52
and a thousand odd reasons 122
