abolish caste as a social 61
abortion would be a crime 48
absence might be a proof 43
absorbing power of a given 47
absorbs light of a given 61
account given by a woman 70
account taken as a whole 56
acquire title to a piece 44
acutely aware of a sense 60
adapted alike to a state 54
address given at a meeting 102
address space of a given 87
adjoining house in a state 42
adjoining rooms in a hotel 41
adjoining which is a small 49
adjusting entry is a debit 157
admitting texas as a slave 82
admitting texas as a state 355
adopted child is a child 48
adopted child or a child 128
adopted either as a whole 56
advance guard of a force 109
advance guard of a large 291
advance guard of a party 49
advance guard of a small 48
advance guard of a whole 44
advance party of a large 60
adverse party in a civil 66
adverse party is a minor 380
adverse party is a state 91
aerobics class at a local 89
aesthetic value of a given 64
aesthetic value of a piece 71
against abuse by a judge 222
against color to a point 41
against looking on a woman 68
against nation by a freer 60
against party is a party 76
against women as a class 403
against women as a crime 92
against women as a group 307
against women as a human 734
against women as a major 88
against women as a social 158
against women as a whole 147
against women is a crime 76
against women is a human 92
against women is a major 214
against women is a social 62
alcohol abuse as a major 48
alcohol abuse is a major 145
alcohol boils at a lower 145
aliquot parts of a pound 58
alleged breach of a right 143
alleged father of a child 53
alleged right of a state 178
alleges beauty as a final 64
altered either by a change 105
although based on a small 223
although roman in a sense 47
although still in a sitting 42
although still in a state 65
although still on a small 88
although taken as a whole 287
although tight as a brick 63
although venial in a slave 178
although women as a group 71
ambient light in a scene 91
ambition tells me i might 54
amniotic fluid as a cause 95
amniotic fluid of a fetus 108
ancient times as a place 60
ancient world as a whole 828
animals belong to a group 56
animals found in a given 100
animals grazing on a steep 49
animals rests on a claim 43
annuity trust is a trust 205
answers given by a group 56
answers given by a large 46
anterior roots of a nerve 40
antigen binding by t cells 189
antigen binding to t cells 127
antigen bound to a solid 124
antigen killing by t cells 45
anxiety level on a scale 44
apostle gives as a reason 40
apparel store in a nearby 41
appeared choking in a white 42
appeared drawing to a close 40
appeared first as a serial 595
appeared first as a short 50
appeared first as a small 43
appeared first in a paper 49
appeared first to a woman 251
appeared rather as a reason 55
appeared rather as a sylph 48
appeared seated on a throne 41
applied either as a spray 302
applied either to a whole 117
armorial bearings of a noble 137
arrival times of p waves 74
arterial roads of a state 75
arterial spasm as a cause 50
arterial tubes of a plant 43
article based on a paper 56
article based on a study 99
article taken as a whole 216
article which is a model 44
artisan class as a whole 40
artists might in a short 40
ascending smoke in a still 42
assumed power of a state 193
assumed right of a state 89
assumed would be a brief 62
assumed would be a short 70
attempt ended in a fiasco 64
attempt would be a waste 120
attract people to a given 40
avarice might be a guard 166
average child at a given 44
average child of a given 208
average costs as a basis 46
average earnings of a group 45
average earnings of a miner 41
average earnings of a weaver 89
average grade of a block 79
average limit of a drive 40
average owner of a small 49
average power of a horse 70
average price of a given 114
average price of a group 214
average price of a horse 92
average price of a house 582
average price of a large 54
average price of a movie 47
average price of a negro 70
average price of a piece 58
average price of a pound 151
average price of a prime 61
average price of a share 214
average price of a sheep 46
average price of a slave 415
average price of a small 52
average price of a stock 115
average score of a class 43
average score of a group 398
average score of a large 53
average score on a scale 59
average speed of a horse 43
average speed of a train 176
average value in a large 40
average value of a field 130
average value of a given 196
average value of a group 137
average value of a house 122
average value of a large 252
average value of a pound 93
average value of a pulse 69
average value of a share 73
average value of a slave 262
average value of a trait 64
average value of a varying 79
average weather of a place 126
average weather of a region 109
average woman of a prose 56
