abolishing life 95 abortions birth 45
abruptly their 62 absently over 40
absolute some 41 absolute been 48
absolved from 51 abstract well 51
abundant kind 51 abundant been 49
abundant been 61 abundant made 105
academic time 44 accepted years 41
accepted used 87 accepted arms 113
accepted arms 179 accepted from 57
accepted been 167 accepted part 123
accepted used 40 accepted arms 112
accepted open 103 accepted open 134
accident from 78 accident from 52
accident been 78 accident more 85
accident were 118 accident been 62
accident been 131 accident seen 50
accident been 40 accounting from 50
accounting into 49 accounting over 1110
accounts clear 42 accounts been 316
accounts made 88 accounts from 45
accounts been 572 accounts name 57
accounts high 44 accounts kept 203
accounts paid 44 accounts been 101
accounts were 83 accounts been 104
accounts been 91 accuracy been 48
accuracy done 98 accuracy been 110
accuracy good 42 accuracy high 40
accurate used 48 accurate type 55
accurate been 47 accurate made 43
accurate been 191 accurate been 46
achieved been 66 achieved been 42
achieved been 42 acquaint sort 52
acquaint fate 55 acquaint more 78
acquaint other 44 acquired from 79
actively their 85 actively here 52
actively left 89 activity your 243
activity been 51 activity used 263
activity time 55 activity pain 66
activity been 66 activity your 285
activity were 46 activity been 181
activity down 129 activity been 64
activity from 40 activity there 73
activity from 60 activity rise 150
activity from 56 activity years 154
activity able 41 activity done 41
activity very 47 activity well 145
activity pace 41 activity been 60
activity rise 49 activity been 277
activity part 67 activity single 51
activity been 51 activity taking 43
activity been 42 activity taking 62
activity used 144 activity been 66
activity been 41 activity been 201
activity been 82 activity been 55
actually been 41 actually were 46
actually from 53 actually into 103
actually know 69 actually like 41
actually much 290 actually time 49
actually much 137 actually what 880
actually like 57 actually much 40
actually much 51 actually good 50
actually what 150 actually much 49
actually done 49 actually into 40
actually from 75 actually been 123
actually into 45 actually over 53
actually eyes 58 actually eyes 55
actually more 40 additions been 41
additions made 847 additions been 40
addressing meaning 48 addressing angry 62
adequate made 47 admission some 79
admission made 42 admission been 75
admission true 44 admitted wrong 69
admitted years 202 admitted time 227
admitted years 175 admitted been 43
admitted were 101 admitted laws 128
admitted very 52 admitted nothing 123
admitted what 66 admitted have 53
admitted from 84 admitted been 485
admitted done 166 admitted gone 42
admitted made 67 admitted many 42
admitted some 56 admitted more 57
admitted many 72 admitted nothing 208
admitted very 66 admitted have 74
admitted their 55 admitted able 71
admitted acting 57 admitted also 76
admitted from 46 admitted giving 41
admitted good 60 admitted great 117
admitted having 85 admitted just 69
admitted less 118 admitted lost 46
admitted made 59 admitted making 69
admitted more 261 admitted much 53
admitted only 315 admitted taking 50
admitted there 115 admitted true 75
admitted trying 83 admitted very 495
admitted well 243 admitted wrong 219
admitted soul 48 admitted wrong 98
adultery great 1095 advanced health 1064
advanced been 60 advanced part 128
advanced able 103 advanced take 81
advanced their 44 advanced from 195
advanced into 387 advanced army 167
advanced body 141 advanced tuns 48
advances made 76 advances made 2279
advances made 100 advances been 175
advances made 57 advisers what 50
advocate duly 44 affected soap 52
affected part 408 affected next 74
affected life 130 affection beings 50
affection grew 164 affection were 92
affection when 73 affection will 264
affection sunk 167 affection town 56
affection grew 57 affection wife 194
affection whom 68 affection took 52
affection lady 92 affection make 43
affection been 54 affection felt 44
affection felt 58 affection their 69
affinity from 48 affirmed fled 43
affirmed heard 43 affirmed seen 48
affirmed only 161 affirmed ready 67
affirmed wont 92 agencies best 54
agencies what 55 agencies able 93
agencies been 61 agencies been 56
agitated here 45 agitation from 160
agitation time 45 agitation been 59
agonized over 182 agreeable ever 113
aircraft were 53 aircraft been 47
aircraft flying 56 aircraft sent 66
aircraft shot 108 aircraft used 74
aircraft down 101 airspace down 186
algorithm into 249 algorithm well 178
algorithm risk 45 algorithm used 204
alighted feet 84 alkaloid used 51
alleviate into 51 allotted days 92
allusions made 62 almighty young 49
ambitions there 97 ambitious into 113
analysis used 102 analysis here 173
analysis there 98 analysis into 81
analysis there 62 analysis into 528
analysis much 94 analysis clear 60
analysis here 127 analysis there 130
analysis into 2173 analysis very 52
analysis well 153 analysis done 54
analysis made 89 analysis used 157
analysis able 238 analysis done 627
analysis made 458 analysis used 280
analysis very 84 analysis pace 43
analysis been 45 analysis able 77
analysis done 114 analysis made 485
analysis been 224 analysis done 50
analysis been 42 analysis done 69
analysis made 70 analysis used 62
analysis done 360 analysis made 544
analysis used 262 analysis been 55
analysis into 55 analysis been 167
analysis been 58 analysis just 55
analysis were 66 ancestor born 67
ancestor been 48 ancestor over 118
ancestor born 40 ancestor been 40
ancestry born 56 ancients what 74
ancients sick 66 ancients were 45
ancients nothing 47 anecdote told 43
anecdote down 149 anesthesia used 43
animated soul 91 animates calm 66
announce been 521 announce come 119
announce just 100 announce made 105
announce seen 45 announce coming 68
announce leaving 45 announce ready 117
announce give 64 announce have 48
announce soon 62 announce take 71
announce been 141 announce come 46
announce make 57 announcing been 67
announcing just 61 announcing made 193
announcing coming 86 announcing leaving 41
announcing ready 155 anointed sick 48
answered were 91 answered from 77
answered time 54 answered ways 47
answered nothing 185 answered very 49
answered have 47 answered from 231
answered nothing 249 answered have 49
answered asking 41 answered coming 41
answered from 177 answered just 123
answered only 178 answered ready 341
answered sure 54 answered there 91
answered very 203 answered well 221
answered full 61 answered full 186
anxiously time 111 anywhere find 155
anywhere city 43 anywhere city 80
anywhere been 44 anywhere food 42
aphorism into 104 apostles into 60
apostles have 44 apparent years 40
apparent ready 41 apparent must 41
apparent years 62 apparent time 66
apparent were 47 apparent must 59
apparent were 271 apparent will 59
apparent have 62 apparent from 115
apparent their 75 apparent into 70
apparent been 281 apparent have 211
apparent also 66 apparent having 45
apparent making 48 apparent more 144
apparent only 204 apparent trying 76
apparent very 125 apparent have 72
