act propositions 106 act superfluous 49
all nationalized 54 all experienced 43
all constructed 62 all established 68
all distinguished 47 all established 44
and arrangements 41 and conversation 135
and accompanied 131 and continually 330
and refreshment 224 and instruments 64
and exclamations 65 and lamentations 61
and comfortable 51 and adolescence 53
and established 49 and anticipated 149
and constructed 83 and established 68
and implemented 57 and instructive 61
and interpreted 196 and represented 44
and responsible 154 and transferred 45
and transported 58 and occasionally 75
and universally 61 and mountainous 44
and constructed 44 and percentages 46
and undisturbed 50 and stigmatized 45
and capitulation 46 and arrangements 43
and inheritance 43 and recommended 80
and dilapidated 48 and established 45
and distinctive 40 and conspicuous 52
and appropriated 46 and perquisites 71
and adolescence 157 and established 77
and established 142 and solemnities 117
and entertained 126 and temperature 66
and entertained 67 and assessments 46
and appropriated 42 and contributed 46
and partnership 113 and experiences 100
and experiences 204 and experiences 62
and experiences 46 and established 56
and subordinate 43 and constructed 56
and importantly 129 and contributed 52
and annihilated 52 and anticipated 161
and apprehended 68 and ascertained 81
and constructed 105 and distinguished 81
and interpreted 133 and interrupted 61
and overwhelmed 54 and responsible 164
and substituted 66 and transcended 173
and transferred 52 and contributed 51
and established 40 and telegraphic 82
and established 108 and pestilential 70
and established 467 and universally 41
and comfortable 40 and contributed 175
and constructed 63 and established 198
and experimenting 64 and extensively 65
and interpreted 61 and investigating 87
and responsible 60 and shipwrecked 51
and substituted 46 and transferred 77
and transformed 44 and transported 53
and experiments 43 and significant 170
and annihilation 50 and distinguished 63
and established 58 and communities 59
and departments 65 and disciplines 54
and constrained 43 and established 41
and constructed 61 and alternately 41
and established 55 and equivocation 75
and constructed 153 and established 111
and particulars 123 and jurisdiction 113
and particulars 71 and particulars 87
and jurisdiction 43 and compensation 50
and jurisdiction 75 and responsible 57
and missionaries 78 and compensation 196
and satisfaction 68 and arrangements 46
and arrangements 47 and effectually 68
and adjournment 74 and instructions 66
and experiences 113 and continually 65
and sorrowfully 41 and annihilated 137
and communicating 56 and investigating 41
and investigating 55 and departments 59
and descendants 90 and entertained 43
and territories 52 and ineffectual 44
and intermediate 54 and disembarked 62
and differences 71 and allurements 91
and established 42 and established 247
and restrictions 82 and transformed 43
and vaporization 65 and philosopher 43
and necessarily 43 and differences 99
and significant 42 and comprehends 44
and improvement 62 and resemblance 41
and resemblance 162 and resemblance 76
and constitution 77 and accumulated 83
and confiscated 137 and constructed 78
and denominated 75 and distinguished 66
and distributed 61 and effectively 45
and entertained 61 and established 465
and extensively 150 and illustrated 66
and implemented 62 and interpreted 203
and perpetuated 84 and promulgated 51
and recommended 71 and represented 75
and responsible 143 and transferred 114
and transformed 48 and transmitted 267
and transported 68 and universally 116
and counterpart 42 and contributed 68
and improvement 43 and contributed 111
and subservient 57 and indubitably 64
and preliminary 41 and differences 81
and undoubtedly 40 and comfortable 45
and differently 74 and discouraged 42
and established 52 and represented 41
and transformed 57 and significant 53
and represented 62 and established 75
and outstripped 49 and comfortable 152
and satisfaction 95 and accompanied 167
and annihilated 186 and comfortable 83
and confiscated 46 and conspicuous 151
and constructed 46 and detrimental 72
and disregarded 40 and distinguished 76
and embarrassed 221 and established 65
and implemented 52 and incompetent 125
and incredulous 115 and indignantly 51
and ineffective 59 and interpreted 51
and intolerable 100 and necessarily 40
and overpowered 48 and overwhelmed 155
and politically 97 and practically 52
and prominently 67 and responsible 184
and scandalized 117 and slaughtered 48
and superfluous 61 and transmitted 50
and troublesome 41 and unanimously 45
and unnecessary 85 and improvement 47
and observations 71 and experiences 59
and observations 226 any ascertained 108
any entertained 45 any unconcerned 56
any established 111 any transmitted 66
any development 45 any confiscation 52
any accomplices 44 any promulgated 156
any differently 66 are experiences 74
are fundamental 65 are disciplines 71
are observations 54 are corresponding 68
are attachments 73 are comfortably 44
are extensively 43 are temperature 91
are experiments 87 are measurements 64
are inscriptions 65 are descriptions 56
are fragmentary 85 are inscriptions 47
are photographs 44 are experiences 60
are attachments 40 are resemblance 97
are comfortable 47 are complicated 338
are informative 45 are significant 116
are complicated 87 are lamentations 63
are constituent 174 are conversation 69
are respectable 66 are manufacture 46
