abandon their homes to seek 50
abandon their point of view 46
abandon your habit of making 54
abdomen from right to left 657
abdomen just below the ribs 312
ability were equal to your 73
abolish such tolls as were 63
abounding good cheer of these 60
abridging their right to vote 53
absence from hours to days 52
absence there could be nothing 97
absence there would be nothing 54
absorbs five times as much 40
absorbs three times as much 198
abstain from action is well 205
abstain from flesh in lent 83
abstain from seeking to draw 66
abstain from speaking the truth 105
abstain from stating as fact 225
abstain from telling the truth 96
abstain from working on those 119
abusers were found to have 59
abysses into which no foot 54
accepting their point of view 108
accepting your point of view 80
accepts their point of view 42
account also makes it clear 87
account book which he kept 41
account from which to draw 95
account from which we have 140
account here given is from 56
account here given of these 75
account here given of what 46
account make waste of their 68
account there given of what 66
account were taken of their 43
account were taken of these 80
account when drawing up their 73
account will serve to give 43
account will serve to show 72
accused their envoy of having 44
accused were found to have 70
achieve even under the best 47
achieve other goals as well 93
achieve some level of self 42
achieve their goals as well 250
achieve their goals by means 81
achieve their goals in life 732
achieve their goals in their 62
achieve their goals of self 40
achieve their right of self 107
achieve their right to self 111
achieve these goals as well 55
achieve these goals by means 44
achieve these goals we have 64
achieve these goals we must 79
achieve these goals we need 47
achieve your goals in just 48
achieve your goals in life 474
achieving their goals in life 82
achieving your goals in life 99
acquire great power we must 55
acquire land under the land 68
acquire some sense of what 133
addicts were found to have 54
addition there seems to have 109
addition there shall be paid 56
addition there would be some 82
address from which the call 74
address from which the data 100
address from which the next 156
address from which the user 48
address from which we have 206
address their wives by name 55
address these words to those 41
adhered ever after to their 59
adhered from first to last 41
adjoining high lands to some 50
adjoining room could be heard 47
admired these lines so much 52
admired those lines so much 42
adopted only after the most 151
adopted other words in their 50
adopted their point of view 327
adopted what seems to have 43
advance from first to third 96
advance from right to left 242
advance into tibet to free 44
advance made since the time 52
advance made within the last 51
advance their point of view 148
advance your point of view 41
advancing from either of those 47
advancing from right to left 264
advancing what would be most 43
affairs ever since the time 51
affairs from first to last 73
affairs none seems to have 109
affairs were about to take 87
affairs were taken in hand 54
affecting many people at once 49
affecting their sense of self 43
affects four times as many 110
affects most people at some 54
affects most people to some 88
affects other parts as well 43
affects other people as well 47
affects their sense of self 270
affects three times as many 169
affects your state of mind 50
affords good reason to treat 166
against four times as many 54
against free trade in corn 46
against giving which he knew 76
against giving women the vote 202
against living under the same 65
against other forms of life 113
against other forms of wealth 45
against other people as well 71
against other types of work 67
against ship money or other 41
against such facts as these 65
against such risks as loss 179
against their breach of faith 48
against their point of view 339
against their sense of what 45
against their sides to keep 40
against their walls the only 65
against their wills to kill 48
against those found to have 56
against those known to have 45
