am got forward too fast 276
am not admitting that there 71
am not advancing any high 40
am not asserting that such 47
am not asserting that there 145
am not asserting that these 70
am not assured thou dost 52
am not certain but what 88
am not certain how many 227
am not certain how much 433
am not certain that even 282
am not certain that some 75
am not certain that such 314
am not certain that their 62
am not certain that there 499
am not certain that these 184
am not certain that those 45
am not certain that what 99
am not certain that your 48
am not certain they were 62
am not certain they will 42
am not certain you will 88
am not content with less 49
am not content with these 59
am not content with those 44
am not content with what 85
am not expecting too much 158
am not familiar with many 59
am not familiar with other 56
am not familiar with such 133
am not familiar with their 159
am not familiar with these 143
am not familiar with those 103
am not familiar with what 116
am not familiar with your 367
am not married and have 114
am not pressed for time 146
am not presuming too much 221
am not proposing that there 54
am not proposing that these 53
am not supposing that there 44
am not unaware that many 160
am not unaware that some 209
am not unaware that such 49
am not unaware that there 394
am not unaware that these 64
am now escorting her back 52
am now insisting that good 80
am now married and have 46
am now pressed for time 46
am one hundred per cent 852
am that unhappy man whom 50
am too thankful for what 46
an act against his will 199
an act becomes real only 99
an act providing that when 51
an act whereby one part 100
an age because his great 56
an air crackling with blue 94
an ape smothering her young 55
an apt scholar and gave 48
an apt student and soon 44
an area because they were 102
an area endemic for aids 78
an arm extending out from 48
an art gallery and gift 88
an art gallery and other 63
an art gallery has been 50
an ass covered with gold 51
an atm network that fail 41
an earl buckled his helm 51
an easy concept for many 40
an easy process for many 44
an easy process for those 54
an easy victory for their 45
an end because they were 46
an end product that will 80
an icc profile for your 77
an idea crossed her mind 203
an idea crossed his mind 321
an idea crosses his mind 68
an idea entered her mind 60
an idea entered his mind 104
an idea started that woke 58
an ill husband that uses 60
an ill journey for some 74
an ill posture and much 65
an int variable can hold 50
an oath between his teeth 123
an oath betwixt his teeth 56
an oath escaped his lips 64
an old blanket and some 47
an old colored man came 53
an old comrade and early 121
an old comrade with whom 50
an old country boy from 61
an old country boy like 58
an old country has over 55
an old currier and ives 42
an old garment and puts 56
an old general who died 42
an old husband and wife 75
an old married man like 78
an old problem has been 42
an old proverb that says 611
an old proverb that there 45
an old soldier can tell 57
an old soldier for giving 49
an old soldier who knew 96
an old vintage too rare 95
an old windbag and said 100
an old workman may take 50
an ore deposit has been 58
as all between was bare 40
as all convoys that ever 74
as all figures are only 114
as all flushed with glow 48
as all mankind now have 55
as all medical men know 44
as all persons who have 83
as all persons who were 44
as any attempt was made 166
as any country has ever 91
as any creature that ever 240
as any despots who ever 56
as any garment that ever 47
as any husband and wife 56
as any interior can well 54
as any language can shew 70
as any language can show 48
as any monarch who ever 42
as any monarch you have 42
as any problem that ever 47
as any society has ever 45
as any soldier who ever 73
as any soldier who fell 86
as any subject was ever 49
as are content with their 91
as are eminent for their 163
as are husband and wife 46
as are material are worth 53
as are needful for making 52
as are needful for their 83
as are offered for sale 89
as are parents and poets 54
as are praised for their 145
as are present and vote 496
as are useless for other 47
as being covered with hair 56
as being covered with snow 57
as being endowed with great 42
as being endowed with life 49
as being endowed with some 43
as being harmful and wrong 77
as being himself his only 168
as being husband and wife 117
as being lighter and more 185
as being married and having 89
as being offered for sale 102
as being persons who were 75
as being quicker and more 94
