abandons those means of ordinary 119
abnormal rise must be provided 72
absences from home on business 60
absolute rest from the business 50
absolute rest must be enjoined 113
abstract away from the concrete 89
abstract away from the physical 48
abstract away from the specific 71
abstract ideas were the essences 95
accepted reach into the religious 48
accepted term used to describe 85
accepted text book in colleges 165
accounting term used to describe 163
accounts sent home by columbus 186
achieved during tens of thousands 48
acidifying salt such as ammonium 41
acquired even when the numerous 44
acquired great wealth by commerce 44
acquired over years of practice 55
actively take part in decisions 80
actively take part in politics 47
activity time along the critical 51
activity will help the children 91
activity will help the students 74
activity will make it possible 40
activity will take to complete 111
actually been used in practice 113
actually came into the property 79
actually coming from the distance 47
actually fall into the category 100
actually look like in practice 103
actually there when it happened 66
additions were made to manitoba 47
adequate means must be provided 61
adequate size must be provided 43
adequate time must be allotted 66
adequate time must be provided 88
adherent save among the burghers 54
adhesive tape from the medicine 63
adjusted over time in response 54
adjutant kept riding up alongside 64
admitted back into the hospital 46
advanced from theory to practice 88
advanced their line of conquest 266
advances have made it possible 1924
advances were made by portugal 80
advances were made in developing 64
advances were made in education 145
advances were made in medicine 142
advances will make it possible 101
affected male will be carriers 95
affected your view of yourself 74
agencies also have an interest 47
agencies also have the authority 50
agencies have been in operation 69
agencies have made it possible 69
agitated much more by electric 41
agreeable reading even on abstruse 60
aircraft coming from an infected 98
alphabet were used as numerals 78
ammonium salt such as ammonium 57
analysis also made it possible 51
analysis have made it possible 167
analysis here will be confined 53
analysis need only the cadavers 65
analysis were used to estimate 59
analysis were used to evaluate 92
analysis were used to identify 150
analysis will also be required 47
analysis will have to consider 62
analysis will help to identify 108
analysis will make it possible 261
analysis will need to consider 65
analysis will only be possible 40
analysis will seek to identify 40
analysis will show the presence 76
analysts were able to discover 46
analysts were able to identify 60
ancestor from whom we received 61
ancients were wont to sprinkle 40
annually from among the aldermen 72
anywhere from five to fourteen 49
anywhere from four to fourteen 115
anywhere from nine to eighteen 77
anywhere from nine to fourteen 47
anywhere from tens of thousands 80
anywhere from tens to hundreds 61
anywhere from three to eighteen 68
anywhere from three to fourteen 63
anywhere from zero to infinity 57
apparent even from the commonly 61
apparent only when we consider 87
applause came from the audience 144
applause rose from the audience 101
approach also made it possible 164
approach will help to identify 93
approach will make it possible 700
approval from those in authority 43
approval must also be obtained 127
approval rating from the american 51
approval will also be required 41
argument must also be rejected 54
arteries give rise to numerous 50
ascorbic acid from the adrenals 62
assemble your list of potential 63
assembly from taking the property 47
assembly line made it possible 41
assembly were held in november 56
assembly were held on november 59
associate their ideas of security 41
attempting once more the conquest 45
attempts been made to evaluate 47
attempts been made to preserve 49
attempts been made to quantify 41
attempts were made at developing 56
attempts were made by american 79
attempts were made by europeans 70
attempts were made by returned 42
attempts were made by scholars 47
attempts were made to abrogate 52
attempts were made to actually 60
attempts were made to alienate 105
attempts were made to alleviate 478
attempts were made to allocate 54
attempts were made to approach 165
attempts were made to assemble 73
attempts were made to associate 321
attempts were made to belittle 54
attempts were made to challenge 143
attempts were made to classify 1205
attempts were made to colonize 644
attempts were made to complete 489
attempts were made to conclude 108
attempts were made to condition 41
attempts were made to conserve 71
attempts were made to consider 296
attempts were made to continue 653
attempts were made to convince 264
attempts were made to decipher 83
attempts were made to delineate 72
attempts were made to demolish 45
attempts were made to describe 409
attempts were made to diminish 109
attempts were made to directly 48
attempts were made to discover 2656
attempts were made to disguise 97
attempts were made to dislodge 517
attempts were made to disperse 63
attempts were made to displace 85
attempts were made to disprove 47
attempts were made to dissolve 71
attempts were made to dissuade 239
attempts were made to document 75
attempts were made to dynamite 45
attempts were made to encroach 47
attempts were made to equalize 65
attempts were made to estimate 711
attempts were made to evacuate 77
attempts were made to evaluate 413
attempts were made to excavate 58
attempts were made to exercise 50
attempts were made to exorcise 51
attempts were made to extinguish 136
attempts were made to forecast 41
attempts were made to frighten 87
attempts were made to generate 401
attempts were made to humanize 44
attempts were made to identify 3109
attempts were made to immunize 76
attempts were made to indicate 42
attempts were made to instruct 46
attempts were made to interest 544
attempts were made to legalize 42
attempts were made to liberate 42
attempts were made to localize 103
attempts were made to maintain 1218
attempts were made to maximize 52
attempts were made to minimize 725
attempts were made to mitigate 192
attempts were made to mobilize 113
attempts were made to moderate 119
attempts were made to navigate 95
attempts were made to negotiate 1148
attempts were made to obstruct 90
attempts were made to optimize 177
attempts were made to organize 1639
attempts were made to overcome 1882
attempts were made to overthrow 783
attempts were made to overturn 139
