am a girl walking downstairs 149
as a bank trust department 196
as a bird springs restlessly 41
as a bone graft substitute 1422
as a case study illustrating 150
as a cell cycle checkpoint 58
as a dual agent representing 89
as a firm gains experience 42
as a free lance journalist 124
as a free people absolutely 101
as a gift above expectation 67
as a good learning experience 119
as a great civil libertarian 47
as a great learning experience 128
as a great power impossible 48
as a great social experiment 94
as a great social institution 95
as a great social phenomenon 40
as a home after commutation 44
as a john simon guggenheim 91
as a land grant institution 128
as a living social institution 55
as a mass social phenomenon 47
as a mere civil institution 205
as a mere human composition 114
as a mere human institution 152
as a mere party distinction 128
as a mere social institution 47
as a more exact description 44
as a more fitting receptacle 44
as a more poetic comparison 49
as a most cruel misfortune 82
as a nice evening employment 40
as a null point instrument 60
as a prior period adjustment 1035
as a rule easily recognized 87
as a third party beneficiary 3758
as a very large percentage 141
as a very odious instrument 145
as a very small difference 82
as a very small percentage 220
as a very strong inducement 50
as a very strong presumption 41
as a warm front approaches 51
as a west point instructor 40
as a young naval lieutenant 73
as a young state legislator 45
as i have every confidence 88
as i have never understood 66
as i have often complained 87
as i have often emphasized 71
as i have often inculcated 68
as i have since discovered 642
as i have since frequently 58
as i have since understood 1004
as i have taken cognizance 76
as i soon after understood 53
at a cost which represents 42
at a great state university 56
at a high level conference 61
at a high level immediately 45
at a high level regardless 91
at a land grant university 79
at a move quite unforeseen 54
at a much lower efficiency 113
at a much lower percentage 261
at a nasa press conference 42
at a noon press conference 58
at a rate defying computation 222
at a rate never approached 45
at a rate which approaches 46
at a rate which astonished 56
at a rate which astonishes 60
at a rate which diminishes 61
at a rate which maintained 56
at a rate which represents 100
at a reading level appropriate 99
at a time nearly coincident 186
at a time until eventually 57
at a very fancy restaurant 94
at a very small clockmaker 52
at a very small inclination 90
at a very small percentage 130
at a well known university 47
at a west coast university 244
