abate much of their demands 97
about among the rich objects 41
about during the last century 77
about during the past century 55
about even the least distant 51
about even the most complex 55
about even the most familiar 96
about even the most mundane 96
about even the most obscure 45
about four or five degrees 290
about four or five dollars 450
about four or five gallons 127
about four or five hundred 7715
about four or five letters 109
about four or five members 194
about four or five millions 107
about four or five minutes 3285
about four or five percent 130
about four or five persons 67
about four or five seconds 318
about four or five shillings 158
about four or five stories 76
about four or five thousand 1733
about four to five dollars 52
about four to five hundred 619
about four to five minutes 785
about four to five percent 154
about four to five seconds 149
about four to five thousand 995
about from the very beginning 406
about half an hour against 61
about half an hour arrived 57
about half an hour because 118
about half an hour between 276
about half an hour brought 111
about half an hour distant 300
about half an hour following 42
about half an hour outside 257
about half an hour previous 90
about half an hour together 131
about half an inch anterior 65
about half an inch asunder 172
about half an inch between 421
about half an inch diameter 943
about half an inch distant 252
about half an inch outside 98
about half an inch shorter 456
about half an inch smaller 47
about half as many dollars 41
about half as many females 79
about half as many members 82
about half as many persons 92
about half as many species 71
about half as many workers 60
about half as much alcohol 57
about half as much calcium 45
about half as much protein 117
about half as much revenue 47
about half as much vitamin 68
about half of north america 114
about half of south america 81
about half of their country 40
about half of their current 51
about half of their offspring 55
about half of their previous 55
about half of their revenue 51
about half of these amounts 41
about half of these figures 40
about half of these infants 68
about half of these persons 61
about half of these schools 53
about half of these workers 68
about half of those attending 52
about half of those between 42
about half of those charged 46
about half of those persons 41
about half of those present 217
about half of those receiving 63
about half of those reporting 46
about half of whom belonged 61
about half the land surface 44
about half the lost egyptian 53
about half the rate charged 49
about half the time because 66
about half the time between 51
about half the time usually 69
about heading the ship towards 66
about here in great numbers 45
about into the same position 57
about life in early america 50
about life in high society 74
about life in nazi germany 47
about life in north america 81
about life in their country 58
about life in your country 46
about life on other planets 751
about like so much flotsam 49
about making my face simpering 60
about making the best decision 40
about making the same mistake 71
about making the wrong decision 159
about many of these factors 71
about many of these features 43
about many of these matters 110
about more or less everything 44
about most of these matters 63
about once in five hundred 150
about once in five minutes 236
about once in three minutes 52
about over the past several 44
about some of their beliefs 51
about some of their customs 56
about some of their diabolic 116
about some of their friends 76
about some of their members 42
about some of these aspects 83
about some of these details 46
about some of these effects 59
about some of these factors 143
about some of these features 73
about some of these matters 1113
about some of these stories 61
about some of these studies 68
about some of your answers 47
about some of your clients 53
about some of your friends 171
about some of your thoughts 61
about taking up arms against 132
about those of their opinions 79
about three or five minutes 89
about three or four bushels 144
about three or four candles 43
about three or four decades 133
about three or four degrees 382
about three or four dollars 253
about three or four gallons 85
about three or four glasses 55
about three or four hundred 10020
about three or four letters 44
about three or four members 64
about three or four millions 108
about three or four minutes 5176
about three or four percent 251
about three or four persons 58
about three or four seconds 483
about three or four sessions 111
about three or four shillings 123
about three or four stories 69
about three or four thousand 2861
about three to five dollars 61
about three to five hundred 136
about three to five minutes 2834
about three to five percent 391
about three to five seconds 206
about three to five thousand 175
about three to four decades 58
about three to four degrees 48
about three to four dollars 104
about three to four hundred 1561
about three to four minutes 576
about three to four percent 200
about three to four seconds 155
about three to four thousand 1137
about trying to find answers 52
about trying to make friends 50
about were an ideal language 61
about what he said because 111
about what he sees happening 43
about what in fact happens 58
about what the good society 53
about what the other members 45
about what the other players 83
about what the test measures 185
about what we have decided 48
about what we have written 82
about what we want appeared 182
about when to seek medical 75
about when we were together 70
about whom so many stories 212
about whom so much anxiety 45
about whom we have studied 67
about whom we have written 177
above four or five hundred 379
above four or five minutes 99
above four or five persons 52
above four or five shillings 98
above four or five thousand 169
above half an hour together 60
above half the time retired 50
above those of many animals 42
above those of other animals 43
above those of their clients 53
above those of their country 140
above those of their parents 94
above three or four hundred 902
above three or four minutes 62
above three or four persons 113
above three or four shillings 237
above three or four thousand 148
above what the same capital 95
acids have the same general 44
acres from the union pacific 43
acres more or less according 71
acres more or less bounded 600
acres more or less together 49
acted from the best motives 282
acted from the same motives 137
acted from the very beginning 72
acted just the same selfish 66
acted like he knew everything 69
acted upon by great britain 248
acted upon by other classes 44
acted upon by other enzymes 42
acted upon by other objects 56
acted upon by some exterior 77
acted upon by some outside 1238
acted upon by some unknown 66
acted upon by these enzymes 45
acted upon by these machine 49
acted upon by these reagents 91
acted upon in great britain 89
acted upon in ways differing 40
acted upon the cool motives 42
acted upon the most liberal 92
acted upon the same general 44
acted upon the same pacific 71
acted upon the same subject 122
acted upon the very question 260
action from the very beginning 660
action must be made simpler 40
action over the next several 44
action upon the case against 546
action upon the case brought 146
action upon the living tissues 54
action upon the most material 48
action upon the same subject 41
action when the user presses 102
action will be done according 66
adage must at last bristle 139
added during the curing process 43
added during the heating process 43
added during the last century 53
added during the mixing process 93
added during the past century 53
added meaning to those results 44
added much to their comfort 75
admit four or five persons 70
admit from the very beginning 97
admit making the lewd remarks 91
admit more or less variety 53
adopt from the very beginning 45
adopt many of their customs 64
adopt some of their customs 103
adult male in full plumage 193
after ages of good service 283
after asking the same question 45
after band of sioux appeared 44
after birth in term infants 48
after birth or during infancy 40
after coming in from outside 121
after dark we were ordered 50
after even the most cursory 44
after flag of ours emerges 62
after four or five decades 74
after four or five glasses 60
after four or five hundred 131
after four or five minutes 585
after four or five seconds 103
after four or five sessions 113
after four or five thousand 77
after four to five minutes 56
after giving so much trouble 88
after giving the last touches 88
after half an hour because 40
after having in part yielded 51
after having in vain applied 68
after having in vain essayed 133
after having in vain offered 56
after having in vain striven 63
after having the full benefit 177
after having the good fortune 59
after hearing the other parties 154
after leaving the main highway 45
after making the down payment 115
after making the last payment 42
after making the most careful 42
after making the most liberal 96
after more or less careful 47
after more or less success 46
after more or less thorough 44
after much the same pattern 79
after only the most cursory 155
after reading the last chapter 121
after reading the next chapter 406
after seeing so many dwellings 54
after seeing the good effects 45
after some of their members 40
after some of their murders 203
after such as have familiar 450
after taking so much trouble 193
after taking up arms against 67
after those of great britain 119
after those of their parents 52
after three of their members 60
after three or four charges 41
after three or four decades 351
after three or four glasses 130
after three or four hundred 557
after three or four lessons 61
after three or four minutes 2463
after three or four numbers 51
after three or four seconds 196
after three or four sessions 260
after three or four strokes 50
after three or four thousand 81
after three or four winters 45
after three to five minutes 361
after three to five seconds 40
after three to four minutes 131
after trying to kill herself 69
after vows to make inquiry 114
after wave of heavy bombers 42
after years of good service 53
after years of hard service 103
after years of life together 51
after years of living together 260
after years or even decades 296
again acting so much against 52
again among the jews because 73
again among the most favored 60
again dare to face angelica 47
again dare to look askance 197
again during the last century 119
again during the last fifteen 109
again during the last hundred 40
again during the last quarter 178
again during the next century 71
again during the next several 68
again during the past century 84
again during the three following 53
again fall to their natural 318
again from the same article 42
again from the same quarter 87
