abode with him till midnight 147
about age and other subjects 93
about and put into practice 165
about death with their children 43
about for any such nonsense 129
about god and other religious 67
about her and what happened 46
about her with great interest 87
about him and what happened 58
about him for some suitable 55
about him had been returned 99
about him that made everyone 59
about him with great affection 40
about him with great curiosity 61
about him with great interest 91
about him with some curiosity 93
about him with such profusion 98
about hiv and other sexually 66
about how and what children 74
about how and what students 64
about how and when children 79
about how they made decisions 43
about how they make decisions 152
about how they were actually 75
about how they were affected 120
about how they were composed 43
about how they were expected 45
about how they were governed 41
about how they were obtained 78
about how they were produced 68
about how they were received 46
about how they were regarded 47
about how they were selected 66
about how they were supposed 139
about how they will approach 53
about how they will continue 70
about how they will interact 102
about how they will organize 56
about how things were supposed 59
about how you make decisions 160
about how you view yourself 94
about how you were supposed 93
about how you will approach 151
about how you will evaluate 44
about how you will organize 149
about long ago have secretly 110
about not being kept informed 45
about one and three quarters 340
about one per cent annually 86
about sex with their children 387
about sex with their partners 66
about sex with your children 52
about six and three quarters 46
about them and asking questions 40
about them and their business 124
about them and their children 195
about them and their concerns 67
about them and their education 40
about them and their families 493
about them and their personal 48
about them and their possible 55
about them and their potential 47
about them and their problems 350
about them and their products 63
about them and their relations 65
about them and their situation 99
about them has been obtained 44
about them with deep interest 51
about things and their relations 56
about things that have actually 65
about things that have happened 1635
about things that have occurred 40
about things that will interest 48
about this and other examples 41
about this and other problems 98
about this and other programs 43
about this and other questions 56
about this and other subjects 59
about this earth like children 43
about two and three quarters 163
about two per cent annually 42
about you and what happened 88
about you and your attitude 52
about you and your business 2176
about you and your children 252
about you and your computer 104
about you and your condition 46
about you and your daughter 231
about you and your exploits 42
about you and your financial 43
about you and your interest 69
about you and your personal 104
about you and your practice 132
about you and your problems 186
about you and your products 164
about you and your services 133
about you and your situation 227
about you and your troubles 62
about you who well remember 58
about you with great interest 43
about you with much interest 41
above all and your neighbor 60
above all for having mastered 50
above all for their children 64
above all for their patience 48
above all his other children 250
above all his other servants 63
above all that have preceded 52
above all that what suddenly 44
above all they must earnestly 55
above all things your business 86
above all who have received 41
above are for your guidance 110
above for all pain suffered 45
above has not been complied 114
above her head like glittering 57
above that you have suffered 41
above them that were redeemed 55
above who are over eighteen 83
abuse that had been reported 42
abuse that has been lavished 100
abuse that may have occurred 94
abuse that they have suffered 40
abuse with hiv risk behaviors 58
acids has not been reported 46
acted was not very criminal 118
acted with too much severity 70
action and has been afforded 49
action can not help conforming 54
action for any such unlawful 45
action had not been enlarged 61
action had not been followed 43
action had not been properly 43
action has not been confined 52
action has not been followed 41
action has not been forthcoming 69
action has not been observed 94
action has not been properly 56
action has not been reported 51
action that has been initiated 64
action that has been observed 52
action that has been proposed 62
action that has been selected 47
action that they have asserted 41
action was not well received 62
added tax and other indirect 43
added that they were prepared 59
added that they were probably 76
added that they were resolved 44
added that you were expected 50
admit that for some purposes 46
admit that for those ultimate 42
admit that they have problems 186
admit that they have produced 58
admit that they have received 75
admit that they have suffered 78
admit that they made mistakes 45
admit that they make mistakes 46
admit that they were mistaken 182
admit that they were probably 44
admit that this bill abandons 54
admit that you were mistaken 70
admit they are well assorted 241
admit they had been shockingly 98
adopt and put into operation 106
adopt and put into practice 122
adult age has been attained 59
after air has been injected 88
after all are these churches 91
after all his sage speeches 114
after all his weary conquering 62
after all his wild mistakes 91
after all they have produced 52
after all they have suffered 116
after all they were probably 45
after all you have suffered 133
after being put into operation 99
after day they were suffered 49
after death has been declared 50
after her two young children 47
after him and take somewhat 52
after him had died entirely 58
after him with some surprise 55
after his two young children 41
after its new york premiere 216
after long and hard bargaining 51
after long and vain attempts 86
after long and weary wanderings 69
after our own best exertions 106
after poet with fine subjects 62
after she had been abducted 148
after she had been accepted 111
after she had been admitted 398
after she had been arrested 257
after she had been attacked 184
after she had been awakened 54
after she had been baptized 86
after she had been betrothed 45
after she had been captured 148
after she had been confined 143
after she had been declared 116
after she had been deprived 94
after she had been deserted 223
after she had been detained 40
after she had been diagnosed 163
after she had been divorced 252
after she had been examined 97
after she had been expelled 100
after she had been indicted 47
after she had been informed 190
after she had been involved 74
after she had been launched 86
after she had been murdered 121
after she had been notified 54
