abler pens than our own 124
about adam and eve and 628
about adam and eve being 115
about adam and eve that 56
about areas that are not 48
about asking her out for 40
about birth and death and 128
about boys and how they 50
about boys and men and 41
about boys and sex and 55
about drug use and its 123
about early man and his 52
about eggs and pip and 42
about faith and god and 47
about food all day long 44
about food and eating and 70
about food and eating are 56
about gods and men and 52
about good and bad and 301
about good and bad are 116
about good and bad art 121
about good and bad that 47
about good and bad things 332
about half his age and 46
about half his own age 45
about half that for all 42
about half that for men 72
about half that sum for 91
about half way and then 61
about having fun and being 42
about having had sex with 142
about having her own way 77
about having his own way 84
about having sex and not 121
about having sex with her 506
about having sex with him 434
about having sex with his 170
about having sex with men 159
about having sex with them 250
about having sex with two 56
about having sex with you 161
about ideas that are not 100
about just how and why 96
about just how bad things 49
about just how far they 112
about kids who are not 59
about land and its use 57
about life and all its 118
about life and all that 170
about life and art and 172
about life and art that 50
about life and death and 2303
about life and death are 357
about life and death but 56
about life and death can 55
about life and death for 120
about life and death than 147
about life and death that 758
about life and death was 92
about life and death with 116
about life and did not 52
about life and god and 89
about life and his own 41
about life and how they 72
about life and men and 41
about life and sex and 58
about life than any one 135
about life than she did 51
about life than they did 53
about life that can not 55
about life that was not 44
about like mad things all 128
about like one who had 42
about like one who has 79
about like this all day 44
about living and dying and 88
about living things and how 46
about losing her job and 74
about losing his job and 165
about love and all that 379
about love and death and 232
about love and god and 110
about love and how you 40
about love and joy and 56
about love and sex and 489
about love and sex are 53
about love and sex than 45
about love and sex that 61
about love and war and 50
about love for god and 62
about loving god with all 85
about making him get rid 90
about making his own way 60
about making things easy for 44
about many things and had 107
about many things and that 93
about many things and they 52
about many things but not 108
about many things that are 290
about many things that can 95
about many things that had 228
about many things that she 44
about many things that they 74
about many things that you 81
about mary was that she 63
about more than his own 101
about more than one man 57
about more than you can 46
about more things than any 141
about more things than one 52
about more things than you 43
about noah and his ark 201
about noon and did not 49
about noon one day and 46
about noon that day and 44
about nothing but his own 316
about nothing but our own 63
about nothing that does not 50
about nothing that was not 48
about once and for all 262
about other men who had 49
about other things and not 65
about other things and then 159
about other things and they 43
about other things than his 95
about other things that are 300
about other things that had 63
about other things that may 50
about other things that they 64
about other things that you 99
about other things you can 46
about over his head and 43
about paying for her own 68
about peace and all that 40
about peace and joy and 40
about peace and war and 195
about poor art and his 57
about ruby with met him 40
about saying that she had 52
about saying that she was 78
about saying that they are 53
about saying that you are 54
about seeing her and she 45
about snow and ice and 41
about some act that has 594
about some but not all 87
about some guy who had 51
about some guy who was 113
about some man who had 86
about some men who had 64
about some new way for 63
about some one who had 129
about some one who has 54
about some one who was 110
about some things and not 286
about some things but not 184
about some things she had 58
about some things than you 86
about some things that are 457
about some things that can 51
about some things that had 172
about some things that may 58
about some things that they 76
about some things that you 205
about some things you can 107
about such things and had 74
about such things and not 45
about such things and she 62
about such things and that 368
about such things and they 72
about such things and was 42
about such things and who 50
about such things and you 43
about such things are not 47
about such things can not 44
about such things does not 68
about such things for all 51
about such things long ago 40
about such things say that 117
about such things she and 43
about such things than any 145
about such things than her 41
about such things than men 41
about such things than she 70
about such things than they 78
about such things than you 160
about such things that they 43
about such things was not 53
about such things with her 76
about such things with his 47
about taking her with him 103
about taking off his hat 218
about their being kings and 117
about their job and how 56
about their mom and dad 46
about their old age and 52
about their own age and 98
about their own age who 106
about their own aging and 93
about their own and each 413
about their own and one 45
about their own death and 160
about their own old age 84
about their own sex and 57
about their son and his 82
about their son who had 46
about their son who was 50
about there being but one 52
about there being too few 49
about there not being any 455
about these and how they 56
