ability lie 43 abolish own 41
accused oath 68 acquire own 406
acquire can 46 acquiring own 272
adjoining man 54 advance own 56
advancing own 40 adverse run 71
affairs own 90 against age 130
against son 48 against this 51
against she 41 against not 74
against not 98 against man 44
against not 93 against not 67
against not 59 against age 53
against and 48 against not 43
against own 53 against then 550
against are 87 although say 62
although all 41 although not 89
although being 47 although not 79
although our 86 although things 64
although not 263 although not 53
although not 58 although not 47
anxiety you 61 arranged end 45
article ago 71 artisan new 42
assured his 47 assured was 56
assured had 130 attaining and 42
attends doth 101 autopsy had 43
average for 66 average per 49
average was 76 average per 66
