add a most licentious use 46
all a dream grotesque and 48
all a very precarious and 162
all i ever conversed with 53
all i have commanded you 159
all i have conversed with 87
and a belt decorated with 71
and a blue ballpoint pen 43
and a blue crossover with 61
and a blue waistcoat with 50
and a body corporate and 78
and a bold resolution was 41
and a buff waistcoat and 51
and a busy afternoon and 79
and a busy occupation with 62
and a cake decorated with 55
and a calm assurance that 94
and a cash allowance for 56
and a cell suspension was 48
and a clear conviction that 237
and a clear framework for 63
and a clear indication for 53
and a clear indication that 1866
and a clear objective for 43
and a clear perception that 124
and a clear statement that 345
and a clear structure for 40
and a coping mechanism for 45
and a copy deposited with 71
and a copy furnished each 44
and a cost associated with 127
and a cost structure that 44
and a dark complexion and 49
and a dark complexion that 90
and a dash indicates that 89
and a data structure for 53
and a data structure that 125
and a deep admiration for 190
and a deep compassion for 192
and a deep connection with 87
and a deep conviction that 1426
and a deep gratitude for 75
and a deep impression was 155
and a deep knowledge and 42
and a deep reverence for 512
and a deep veneration for 151
and a drab waistcoat with 199
and a face sensitive and 44
and a fair allowance for 115
and a fair complexion and 55
and a fair complexion that 173
and a fair proportion are 79
and a fine disregard for 139
and a fine expedition was 43
and a fine gentleman for 68
and a firm assurance that 76
and a firm conviction that 2662
and a firm foundation for 472
and a firm foundation was 60
and a firm handshake and 48
and a firm handshake are 41
and a firm persuasion that 639
and a firm resolution not 75
and a font certainly has 45
and a full assurance that 111
and a full compliance with 96
and a full conviction that 548
and a full discussion can 55
and a full discussion had 74
and a full indemnity for 52
and a full persuasion that 149
and a full realization that 115
and a gift connected with 240
and a glow overspread her 78
and a good agreement has 57
and a good agreement was 256
and a good agreement with 195
and a good anchorage for 51
and a good candidate for 298
and a good carpenter and 49
and a good complexion and 52
and a good connection with 48
and a good foundation for 239
and a good housewife and 45
and a good impression was 53
and a good indication that 165
and a good organizer and 60
and a good prognosis for 87
and a good proportion are 51
and a good reference for 70
and a good reputation are 152
and a good reputation can 40
and a good reputation for 345
and a good reputation with 120
and a good sportsman and 90
and a good statesman and 55
and a gown festooned and 79
and a gray sweatshirt that 68
and a gray sweatshirt with 143
and a great admiration for 582
and a great advantage for 104
and a great attraction for 90
and a great character and 40
and a great commercial and 49
and a great compassion for 116
and a great deference for 100
and a great depression are 51
and a great emigration for 59
and a great expedition was 51
and a great impression was 80
and a great incentive for 43
and a great influence for 49
and a great intellect and 44
and a great multitude had 48
and a great multitude that 130
and a great multitude was 113
and a great multitude with 45
and a great partiality for 55
and a great privilege for 116
and a great procession was 44
and a great reputation for 240
and a great reputation was 47
and a great reverence for 169
and a great revolution was 114
and a great sacrifice was 43
and a great slaughter was 335
and a great statesman and 105
and a great stillness lay 63
and a great tolerance for 69
and a great veneration for 131
and a half battalions and 166
and a half centuries ago 20023
and a half centuries all 44
and a half centuries and 1320
and a half centuries are 162
and a half centuries but 49
and a half centuries can 96
and a half centuries for 286
and a half centuries had 822
and a half centuries has 543
and a half centuries his 83
and a half centuries its 49
and a half centuries long 93
and a half centuries may 63
and a half centuries now 66
and a half centuries old 966
and a half centuries she 95
and a half centuries than 57
and a half centuries that 2158
and a half centuries they 358
and a half centuries this 246
and a half centuries too 54
and a half centuries was 442
and a half centuries with 168
and a half dissolved one 42
and a half educations and 41
and a half existence has 135
and a half frenchmen had 59
and a half indicates that 110
and a half interview with 42
and a half virtually all 41
and a hall decorated with 40
and a hand stretched out 291
and a heart oppressed with 94
and a heart overflowing with 602
and a heavy cannonade was 267
and a heavy cannonading was 43
and a heavy indemnity was 68
and a high character for 48
and a high proportion are 280
and a high proportion had 129
and a high proportion was 40
and a high reputation for 314
and a high reverence for 41
and a high tolerance for 1023
and a hope expressed that 348
and a huge fireplace that 40
and a huge fireplace with 82
and a jury acquitted him 56
and a jury convicted him 94
and a jury impaneled and 80
and a just deference for 45
and a just principle that 46
and a keen awareness that 235
and a land commission was 54
and a late afternoon sun 93
and a leading apologist for 43
and a leading candidate for 188
and a leading contender for 176
and a leading industrial and 41
and a leading spokesman for 495
and a less developed one 43
and a less effective one 108
and a less expensive one 185
and a less expensive way 40
and a less important one 209
and a less prominent one 103
and a like privilege was 64
and a like proportion for 89
and a living allowance for 50
and a main character who 45
and a mere statement that 86
and a mild detergent and 46
and a mind furnished with 43
and a mind satisfied with 50
and a more civilized way 94
and a more commodious one 135
and a more confident and 54
and a more contented and 47
and a more desirable one 53
and a more developed and 43
and a more developed one 46
and a more difficult and 68
and a more difficult one 614
and a more effective and 281
and a more effective one 263
and a more effective use 558
and a more effective way 270
and a more efficient and 575
and a more efficient one 190
and a more efficient set 54
and a more efficient tax 83
and a more efficient use 1215
and a more efficient way 203
and a more elaborate and 170
and a more elaborate one 563
and a more elaborate set 66
and a more energetic and 66
and a more equitable and 241
and a more equitable tax 98
and a more excellent way 135
and a more expensive car 40
and a more expensive one 397
and a more extensive and 321
and a more extensive area 69
and a more extensive one 474
and a more extensive set 82
and a more extensive use 381
and a more favorable tax 48
and a more fortunate one 97
and a more harmonious and 61
and a more important and 73
and a more important one 2054
and a more inclusive and 65
and a more inclusive one 92
and a more intensive and 86
and a more intensive use 342
and a more interesting and 125
and a more interesting one 593
and a more interesting way 42
and a more lucrative one 43
and a more memorable one 62
and a more objective and 62
and a more organized and 44
and a more permanent and 105
and a more permanent one 174
and a more plausible one 171
and a more plentiful and 64
and a more practical and 152
and a more practical one 344
and a more practical way 43
and a more prominent one 66
and a more reasonable and 51
and a more reasonable one 108
and a more sedentary way 60
and a more sensitive and 71
and a more sensitive one 82
and a more spiritual and 42
and a more sustained and 60
and a more technical one 42
and a more wholesome and 42
and a more widespread and 44
and a more widespread use 143
and a most admirable and 43
and a most admirable one 163
and a most astonishing one 63
and a most desirable one 51
and a most difficult and 110
and a most difficult one 253
and a most effective and 56
and a most effective one 558
and a most effective way 90
and a most effectual one 70
and a most efficient and 82
and a most efficient one 238
and a most elaborate and 57
and a most energetic and 72
and a most enjoyable and 40
and a most enjoyable one 222
and a most estimable and 49
and a most estimable man 224
and a most excellent and 308
and a most excellent fly 134
and a most excellent man 475
and a most excellent one 654
and a most exemplary and 41
and a most exemplary one 75
and a most expensive one 48
and a most exquisite and 102
and a most exquisite liar 53
and a most extensive and 151
and a most fortunate man 115
and a most fortunate one 62
and a most harmonious and 78
and a most important and 198
and a most important one 6358
and a most interesting and 483
and a most interesting man 93
and a most interesting one 1120
and a most necessary one 99
and a most pernicious one 94
and a most practical one 51
and a most reasonable one 40
and a most umbrageous and 43
and a most unpleasant one 201
and a most unselfish man 52
and a most unwelcome one 46
and a most wonderful and 42
and a mouth furnished with 46
and a much respected man 51
and a name associated with 50
and a need developed for 49
and a nice apartment and 49
and a nice character are 55
and a pale complexion that 141
and a part associated with 60
and a past president and 77
and a peace agreement was 232
and a peace agreement with 75
and a peace concluded with 58
and a plan concerted with 71
and a plan developed for 123
and a poor candidate for 49
and a poor prognosis for 259
and a poor reputation for 58
and a rate structure that 103
and a ready compliance with 108
and a ready reference for 98
and a safe anchorage for 94
and a single commission for 59
and a single generation has 56
and a slow component with 52
and a sure conviction that 43
and a sure foundation for 146
and a sure guarantee for 57
and a sure guarantee that 313
and a sure indication that 287
and a sure knowledge that 155
and a third centuries ago 50
and a third component that 41
