act like a convex lens 104
act like a damned fool 94
act like a little girl 447
act like a little lady 219
act like a little lost 99
act like a proper lady 89
act like a proper young 47
act made a silent stir 45
act only a second part 41
act upon a wooden ship 48
add just a little more 678
add only a little more 122
age have a higher risk 72
age when a choice must 44
age when a female soon 73
age when i should have 239
ago came a letter from 49
ago when i walked into 167
ago when i walked these 57
aid from a master great 40
air from a rubber bulb 72
air into a stuffy room 72
air like a beached fish 73
air like a cannon ball 56
air like a falcon flying 59
air like a falcon when 67
air like a landed fish 50
air like a rubber ball 170
air like a shooting star 165
air like a silver mist 91
all along a dismal rack 69
all along i should have 69
all been a hideous dream 84
all came a couple whom 46
all came a letter from 60
all cast a shadow over 44
all feel a little less 84
all feel a little more 163
all felt a little more 43
all find a costly hand 151
all have a better life 71
all have a better time 109
all have a common base 160
all have a common bond 115
all have a common core 122
all have a common form 59
all have a common goal 460
all have a common need 45
all have a common root 319
all have a common theme 330
all have a common thread 230
all have a crucial role 65
all have a direct bearing 1283
all have a fairly clear 63
all have a fairly good 68
all have a little more 137
all have a lovely time 67
all have a pretty good 287
all have a special meaning 73
all having a direct bearing 52
all having a lovely time 43
all just a little more 46
all know a little more 85
all learn a lesson from 322
all like a strange dream 60
all need a little help 356
all need a little more 134
all need a little time 66
all over a second time 63
all play a crucial part 93
all play a crucial role 592
all show a greater love 40
all sure i should have 56
all take a closer look 69
all take a lesson from 353
all take a little time 60
all these i sought rest 267
all want a better life 87
all went a second time 54
all what i should call 55
all what i should have 93
and adding a little here 77
and adding a little more 788
and adding a little salt 171
and adding a twelfth part 56
and adds a little more 267
and along a narrow lane 68
and along a narrow road 78
and also a branch from 131
and also a fairly good 69
and also a gripping unto 60
and also a higher rate 95
and also a letter from 1698
and also a little angry 50
and also a little book 40
and also a little from 47
and also a little girl 44
and also a little hurt 69
and also a little less 116
and also a little like 216
and also a little more 420
and also a little wheat 62
and also a number from 54
and also a person whom 45
and also a pretty good 42
and also a report from 78
and also a second time 58
and also a special form 46
and also a special kind 46
and also a swimming pool 53
and also i should give 44
and also i should have 58
and also i should like 65
and anon a higher wave 62
and back a second time 59
and bare a mantle upon 62
and bearing a common name 77
and bearing a copper ball 41
and bearing a flower like 56
and bearing a higher rate 89
and bearing a letter from 158
and bears a banner upon 61
and beats a retreat from 49
and been a little less 42
and been a little more 342
and bent a severe gaze 62
and blew a gentle gale 115
and blew a little sand 42
and blew a shrill note 91
and bore a letter from 69
and bore a manful part 43
and bore a silver dish 234
and born a second time 64
and bringing a letter from 66
and bringing a person into 58
and brings a letter from 62
and came a second time 105
and cast a blight over 80
and cast a blight upon 49
and cast a decent veil 144
and cast a deciding vote 49
and cast a glance back 101
and cast a glance into 177
and cast a glance over 382
and cast a glance upon 191
and cast a golden glow 112
and cast a searching look 111
and cast a shadow over 1451
and cast a shadow upon 199
and cast a stigma upon 57
and cheat a little into 74
and come a second time 41
and cost a little less 72
and cost a little more 481
and cost a little over 78
and days i turned these 45
and dealing a serious blow 51
and dealt a crushing blow 212
and dealt a further blow 51
and dealt a mighty blow 85
and dealt a mortal blow 228
and dealt a serious blow 305
and dealt a severe blow 502
and dealt a stunning blow 45
and died a little more 106
and died a little over 67
and died a second time 105
and digs a little hole 47
and done a little more 47
and done a pretty good 70
and down a gravel walk 53
and down a ladder into 56
and down a little hill 187
and down a little more 95
and down a narrow hall 147
and down a narrow high 43
and down a narrow lane 383
and down a second time 49
and down a slight hill 46
and down a sudden bank 42
and dozing a little when 75
and drag a corner sizing 385
and draw a center line 64
and draw a circle over 47
and draw a curved line 129
and draw a dashed line 71
and draw a dividing line 56
and draw a dotted line 121
and draw a double line 102
and draw a family tree 47
and draw a lesson from 117
and draw a little more 92
and draw a pencil line 468
and draw a salary from 98
and draw a sample from 66
and draw a second line 272
and draw a silent veil 51
and drew a dagger from 76
and drew a dividing line 46
and drew a lesson from 53
and drew a letter from 319
and drew a little away 100
and drew a little back 91
and drew a little breath 52
and drew a pension from 57
