a baffled attempt upon the 43
a balance between cost of 55
a balance between giving the 108
a balance between loss of 111
a balance between making the 169
a balance between rate of 122
a balance between trying to 87
a balance between what he 358
a balance between what is 1209
a balance between what it 89
a balance between what the 553
a balance between what we 299
a balance depends upon the 77
a balancing process when it 441
a baleful incubus over the 46
a balloon catheter into the 203
a balloon payment will be 48
a bandage applied over the 45
a bandage contact lens is 85
a bandage contact lens or 56
a bargain entered into by 51
a barrier against most of 45
a battery depends upon the 121
a bavarian officer rode up 52
a behavior pattern such as 45
a benefit derived from the 188
a benefit resulting from the 213
a birthday present from an 51
a birthday present from me 76
a birthday present from my 436
a birthday present from the 252
a birthday present when he 99
a blessed freedom from the 72
a blessed respite from the 79
a blessed shelter from the 59
a blighting triumph over the 54
a blister applied over the 238
a blurred outline like the 45
a british advance from the 82
a british bayonet left in 42
a british citizen born in 101
a british citizen from the 70
a british citizen living in 138
a british council tour of 57
a british frigate during the 56
a british general during the 69
a british invasion from the 105
a british library copy of 49
a british officer came to 65
a british officer during the 311
a british officer from the 221
a british officer rode up 73
a british officer sent to 68
a british officer when he 46
a british officer whom he 113
a british official from the 47
a british soldier during the 162
a british soldier from the 58
a british soldier least of 60
a british subject born in 365
a british subject during the 103
a british subject from the 139
a british subject held in 46
a british subject living in 234
a british subject must be 80
a british subject owes to 67
a british subject when he 114
a british subject when the 48
a british triumph over the 48
a british victory over the 341
a british warship during the 108
a brittle material such as 361
a broader concept such as 47
a broader context such as 42
a broader inquiry into the 360
a broader insight into the 351
a broader outlook upon the 120
a broadly defined range of 73
a broadly similar range of 210
a broadly similar type of 59
a broadly similar view of 93
a browser program such as 49
a bulwark against some of 53
a bulwark against what he 68
a cabinet council held at 79
a cabinet council held on 289
a cabinet council held the 75
a canadian citizen born in 57
a canadian citizen living in 62
a capital insight into the 46
a capital outflow from the 306
a capsule derived from the 120
a careful balance among the 85
a careful balance must be 556
a careful control over the 192
a careful decision must be 48
a careful history from the 323
a careful history must be 318
a careful inquiry into the 3546
a careful inquiry must be 64
a careful research into the 140
a carriage crashed into the 81
a carrier material such as 53
a carrier protein such as 179
a catholic against whom the 170
a catholic country such as 128
a cavalry brigade during the 59
a cavalry division during the 52
a cavalry division from the 74
a cavalry officer during the 229
a cavalry officer from the 46
a cementing material such as 68
a central concern during the 79
a central concern from the 61
a central control over the 208
a central control room at 42
a central control room in 71
a central control room or 44
a central control room to 49
a central control unit to 49
a central creative role in 41
a central governing body to 55
a central insight into the 71
a central location among the 45
a central location like the 40
a central location over the 44
a central location such as 388
a central nucleus made up 69
a central passage from the 55
a central passage leading to 44
a central position along the 107
a central position among the 1036
a central position during the 110
a central position facing the 47
a central position from the 74
a central position over the 113
a central position such as 47
a central position upon the 48
a central position when the 74
a central position will be 44
a central problem facing the 68
a central protein core to 56
a central question must be 54
a central question will be 51
a central reserve city or 99
a century distant from the 48
a century doubled once in 62
a century elapsed from the 230
a century removed from the 428
a cepheid variable star in 59
a cepheid variable star is 50
a ceramic material such as 105
a certain advance over the 52
a certain aliquot part of 165
a certain analogy here to 50
a certain anxiety among the 40
a certain anxiety over the 116
a certain ascetic rule of 45
a certain average length of 59
a certain average range of 44
a certain average rate of 292
a certain average tone of 128
a certain balance among the 86
a certain balance must be 96
a certain behavior will be 95
a certain benefit from the 134
a certain central thread of 53
a certain charmed nook of 58
a certain comfort from the 217
a certain command over the 120
a certain complex mode of 47
a certain complex type of 51
a certain control over it 160
a certain control over my 44
a certain control over the 3282
a certain decision will be 51
a certain defined part of 55
a certain deviation from the 658
a certain dignity even on 40
a certain dignity from the 99
a certain disused oven in 41
a certain dominion over the 90
a certain element among the 160
a certain familiar kind of 46
a certain familiar type of 43
a certain ferment among the 46
a certain following among the 347
a certain fraction only of 42
a certain fraction will be 88
a certain freedom from the 735
a certain function such as 57
a certain general form of 40
a certain general kind of 130
a certain general line of 48
a certain general rate of 74
a certain general theory of 71
a certain general type of 354
a certain general view of 101
a certain gracious lady in 74
a certain harmony among the 62
a certain impetus from the 116
a certain impulse from the 104
a certain inferior race of 80
a certain inquiry into the 59
a certain insight into the 1830
