abed the next night just 60
able to brag about their 46
able to break loose from 530
able to cast aside their 56
able to cast doubt upon 68
able to cast light upon 77
able to come right away 70
able to come right back 49
able to come within reach 83
able to cope quite well 144
able to copy files from 56
able to draw anything from 51
able to draw blood from 74
able to draw funds from 71
able to draw money from 83
able to draw others into 69
able to draw power from 74
able to draw votes from 63
able to draw water from 380
able to emit sound into 129
able to feel anything like 46
able to find anything else 660
able to find anything like 165
able to find anything more 320
able to find anything other 42
able to find anything worth 47
able to find anything wrong 300
able to find child care 46
able to find comes from 65
able to find dates from 46
able to find either their 62
able to find inner peace 56
able to find steady work 239
able to flit about like 111
able to fool people into 49
able to form anything like 72
able to free people from 65
able to gain anything from 86
able to gain entry into 616
able to gain power over 127
able to give anything like 281
able to give anything more 96
able to give first hand 57
able to give freer play 97
able to give freer rein 41
able to give large sums 63
able to give people what 58
able to grow under such 54
able to grow under these 77
able to haul close upon 41
able to have input into 94
able to have power over 98
able to help human beings 72
able to help others find 99
able to help others learn 52
able to help others less 41
able to help others more 47
able to help others when 86
able to help people find 51
able to help people like 86
able to help solve many 48
able to help solve some 51
able to help where help 48
able to hide anything from 380
able to hold aloof from 168
able to hold anything down 57
able to hold costs down 120
able to joke about their 80
able to jump about like 63
able to jump right into 158
able to keep alive their 84
able to keep aloof from 187
able to keep anything down 645
able to keep anything from 161
able to keep apart from 53
able to keep awake during 146
able to keep close tabs 102
able to keep costs down 398
able to keep order among 124
able to keep others from 101
able to keep people from 112
able to keep wages down 132
able to keep watch over 365
able to kill large game 57
able to know about their 59
able to know right from 185
able to learn about many 55
able to learn about other 82
able to learn about some 69
able to learn about such 57
able to learn about their 448
able to learn about these 150
able to learn about what 96
able to learn about your 110
able to learn anything from 548
able to learn anything more 450
able to learn first hand 47
able to leave right away 81
able to lend large sums 84
able to lift water from 40
able to live apart from 284
able to live quite well 146
able to live under such 118
able to live under their 63
able to live under these 47
able to live within their 232
able to live within your 59
able to look after some 47
able to look after such 52
able to look after their 2097
able to look after these 98
able to look after those 70
able to look after your 361
able to look right down 192
able to look right into 227
able to love others also 47
able to make about their 49
able to make anything else 102
able to make anything grow 52
able to make anything like 233
able to make anything more 48
able to make calls from 52
able to make every word 45
able to make human beings 43
able to make known their 181
able to make known unto 604
able to make large sums 61
able to make money from 397
able to make others feel 188
able to make others know 46
able to make people feel 276
able to make people think 106
able to make plain what 42
able to make quick work 50
able to make quite clear 88
able to make quite sure 55
able to make short work 512
able to make small talk 153
able to make still more 161
able to meet every need 248
able to meet people from 121
able to more easily make 41
able to move about among 107
able to move about during 82
able to move about from 224
able to move about like 77
able to move about more 984
able to move about much 324
able to move about only 166
able to move about their 42
able to move easily among 118
able to move easily from 678
able to move easily into 182
able to move funds from 46
able to move right along 103
able to move right into 79
able to move under their 158
able to pass easily from 172
able to pass easily into 60
able to play games like 48
able to pump blood into 45
able to pump water from 71
able to reach every part 126
able to rise above mere 90
able to rise above self 45
able to rise above such 481
able to rise above their 1084
able to rise above these 303
able to rise above those 126
able to rise above what 92
able to rise above your 79
able to rise again from 120
able to save about half 40
able to save anything from 150
able to save large sums 63
able to save money during 40
able to save money from 105
able to save others from 77
able to save people from 61
able to sell about half 41
able to send money back 481
able to send money home 674
able to send print jobs 51
able to shed light upon 155
able to show anything like 56
able to show others what 41
able to show people what 64
able to show where their 45
able to slip easily into 76
able to speak about such 118
able to speak about their 249
able to speak about these 107
able to speak about what 535
able to speak quite well 40
able to speak worse even 42
able to stay aloof from 57
able to stay awake during 96
able to stay awake when 48
able to stay within their 55
able to stay within your 48
able to step aside from 169
able to step right into 131
able to stop looking over 45
able to stop others from 72
able to stop people from 121
able to take action only 47
able to take action when 99
able to take anything away 50
