abbot were the only lords 48
about among the barn fowls 50
about among the many tents 143
about among the other ships 48
about among the pale faces 42
about among the poor people 148
about among the young people 82
about areas of their lives 40
about cats or dogs either 90
about coming to work every 83
about dawn the next morning 48
about during the next sixty 45
about during the past fifty 41
about during the same period 60
about early the next morning 73
about even the most basic 451
about even the most minor 115
about fifth or sixth grade 75
about five the next morning 476
about four or five acres 415
about four or five cases 45
about four or five cells 48
about four or five cents 84
about four or five dozen 172
about four or five drops 117
about four or five fingers 55
about four or five girls 121
about four or five hours 6457
about four or five items 74
about four or five knots 80
about four or five leaves 41
about four or five lines 281
about four or five major 45
about four or five miles 14139
about four or five months 6844
about four or five others 132
about four or five paces 102
about four or five pages 155
about four or five pairs 46
about four or five parts 49
about four or five people 974
about four or five pints 57
about four or five rooms 43
about four or five steps 281
about four or five times 7425
about four or five trips 45
about four or five turns 56
about four or five weeks 3904
about four or five women 54
about four or five words 58
about four or five yards 542
about four or more times 78
about four the next morning 489
about four to five acres 48
about four to five hours 2194
about four to five miles 472
about four to five months 1830
about four to five times 3106
about four to five weeks 633
about four to five yards 56
about from the very first 125
about giving me some money 41
about half an hour about 183
about half an hour above 72
about half an hour after 34211
about half an hour alone 55
about half an hour apart 112
about half an hour below 84
about half an hour broke 77
about half an hour daily 216
about half an hour every 269
about half an hour getting 48
about half an hour later 15606
about half an hour longer 1356
about half an hour looking 102
about half an hour since 459
about half an hour spent 127
about half an hour talking 186
about half an hour thinking 47
about half an hour twice 63
about half an hour under 165
about half an hour until 789
about half an hour waiting 65
about half an hour which 81
about half an hour while 438
about half an hour would 57
about half an inch above 7687
about half an inch apart 2415
about half an inch below 5598
about half an inch beneath 69
about half an inch broad 981
about half an inch every 75
about half an inch longer 710
about half an inch lower 444
about half an inch nearer 226
about half an inch round 48
about half an inch short 111
about half an inch under 148
about half an inch wider 105
about half an inch within 93
about half as fast again 149
about half as great again 166
about half as heavy again 165
about half as high again 206
about half as many again 161
about half as many cases 81
about half as many girls 62
about half as many hours 102
about half as many items 60
about half as many miles 42
about half as many pages 55
about half as many people 663
about half as many times 48
about half as many votes 146
about half as many weeks 54
about half as many women 224
about half as many words 106
about half as much again 3974
about half as much broad 40
about half as much grain 45
about half as much light 258
about half as much money 176
about half as much power 85
about half as much space 147
about half as much sugar 113
about half as much water 813
about half as wide again 127
about half of such cases 147
about half of their adult 45
about half of their cases 93
about half of their earnings 49
about half of their genes 159
about half of their lives 47
about half of their total 961
about half of their working 53
about half of these cases 974
about half of these cells 41
about half of these costs 51
about half of these could 60
about half of these funds 40
about half of these people 229
about half of these women 234
about half of these would 161
about half of those cases 127
about half of those found 87
about half of those people 95
about half of those under 49
about half of those which 92
about half of those whose 88
about half of those women 43
about half of those working 84
about half of what could 43
about half of what might 63
about half of what would 194
about half of whom lived 175
about half of whom would 84
about half of young people 68
about half of your daily 44
about half of your total 52
about half the cost price 48
about half the face value 51
about half the heating value 69
about half the rate found 41
about half the time since 99
about half the time spent 59
about half the time taken 160
about half the time under 41
about half the time which 72
about half the true value 67
about half the work force 268
about half the young people 109
about having so many people 64
