abandon found 53 abandon about 65
abolish showy 68 abolish exist 47
absorbing which 51 absorbs light 180
absorbs white 42 absorbs share 41
abstain which 91 abstain which 1732
abstain which 379 abstain which 46
abstain stealing 130 abstain drink 343
abstain after 93 according which 218
according first 54 account method 46
accrued period 103 achieve might 43
achieve force 334 achieve could 166
achieve would 188 achieve tunes 52
achieve hoped 76 acquire wanting 101
adapted novel 67 adapted novel 175
addition large 47 addition small 84
addition types 74 address honor 69
address issue 210 address topic 109
address borne 77 address shown 202
address willing 82 admired others 72
admitting might 42 adopted child 103
adopted about 51 adoption child 52
advance miles 104 advance paces 52
advance miles 81 advance looking 43
advance looking 56 advance really 42
advancing period 135 advised taken 44
advised women 87 adviser loved 51
affairs hands 555 affairs hands 2410
affairs hands 656 affairs hands 422
affairs asked 52 affairs fully 241
affecting rates 86 affecting women 62
affecting organ 52 affecting state 716
affecting alike 94 affects women 414
affects joint 149 affects state 141
affects trait 59 affects alike 137
against water 44 against weather 47
against lamed 73 against trust 48
against hands 88 against tongue 74
against could 76 against could 42
against would 55 against would 75
against father 54 against could 182
against might 367 against would 1017
against could 159 against might 345
against would 687 against would 107
against might 99 against would 179
against could 40 against might 44
against would 122 against people 98
against state 126 against dairy 72
against enemy 57 against party 133
against virus 55 against times 54
against dozen 46 against terms 74
against fatal 45 against women 106
against flock 43 against others 72
against hurry 112 against women 111
against women 49 against about 43
against above 104 against armed 75
against close 45 against found 213
against happy 59 against known 54
against liable 114 against loyal 45
against older 41 against proud 52
against really 68 against seeking 117
against still 301 against today 143
against truly 54 against turning 77
against under 327 against weaker 117
against willing 101 against working 77
against acted 129 against aided 125
against dared 301 against first 123
against given 255 against never 114
against risen 55 against ruled 40
against shown 66 against sided 50
against slain 61 against stood 46
against taken 823 against thrown 47
against tried 139 against urged 67
against voted 95 against force 56
against exist 49 against about 71
against learning 116 against cited 69
against aimed 86 against drawn 43
against often 41 against risen 72
against taken 151 against waged 45
against women 56 alleged allow 245
allowed child 40 allowed women 46
allowed women 99 altered might 46
altered which 41 although could 55
although women 99 although women 164
although others 50 although months 56
although thirds 54 although women 50
although could 90 although shown 68
although equal 45 although about 134
although women 84 although kinds 74
although sorts 103 although fewer 366
although cases 97 although large 41
although people 63 although signs 81
although fifty 41 although lacking 72
although nearly 63 although wanting 584
although fewer 47 although signs 314
although kinds 66 although major 66
although small 53 although types 42
although appear 277 although exist 45
although appear 1168 although exist 151
although above 306 although anything 106
although really 98 although easily 61
although found 50 although nearly 64
although often 79 although quite 74
although really 65 although shown 92
although appear 81 although women 64
although older 125 although laden 50
although begin 41 although women 51
analyze others 150 ancient would 53
ancient people 56 ancient sound 64
animals kinds 91 animals types 65
animals study 47 animals hungry 41
animals catch 151 annuity since 57
answering found 58 answers women 47
answers asked 51 anxiety passing 40
anybody right 43 anybody walls 46
anybody marry 52 anybody anything 47
anybody mother 59 anybody human 108
anybody sworn 40 anybody money 116
apostle write 48 appealed final 64
appeared showing 91 appeared after 68
appeared months 116 appeared weeks 147
appeared women 48 appeared alive 211
appeared months 47 appeared really 70
appeared after 90 appeared later 41
appeared usual 74 appeared lived 67
appeared again 41 applied period 41
applies force 54 appoint proxy 430
appoint mourn 3012 appoint sound 129
aquatic grown 101 archers under 54
armored drove 46 arrived people 59
arrived tribe 46 arrived waiting 56
arrived after 47 arrived weeks 58
arrived alive 449 arrived hours 160
arrived after 140 arrived after 45
arrived feeling 96 arrived fleet 53
arrived people 50 arrived would 53
arrived taken 47 arrived reason 55
arrived about 61 article issue 70
article topic 45 article which 65
article shown 47 artists could 43
ascending level 114 assailing awake 72
assails awake 50 assault order 96
assessing others 82 assisting women 57
assumed share 68 assured would 41
asunder which 71 athletic women 90
attacks party 120 attacks alike 44
attempt calling 40 attempt could 138
attempt would 69 attract women 57
attract women 103 attract share 251
attract willing 40 attract women 369
authored books 102 authored dozen 165
average rates 245 average woman 110
average equal 79 average change 74
average firms 41 average child 50
average level 70 average pupil 84
average first 42 average months 206
average miles 160 average times 148
average miles 47 average spent 44
average hours 66 average woman 127
average women 165 averaging months 48
avoided house 66 awakening sleep 128
awakening sleep 101 awakening sleep 249
