am and will always remain 84
am not much better pleased 46
am not sure myself whether 110
am not sure whether anyone 88
am not well enough versed 213
an act done without lawful 43
an act having passed therein 49
an age when nobody trusts 42
an age when nuclear weapons 47
an age when public meetings 41
an age when public opinion 120
an eye what stands before 71
an ibo from eastern nigeria 43
an ice cream parlor called 81
an old boat turned bottom 41
an old high school building 142
an old high school friend 1405
an old high school teacher 61
an old iron bridge across 58
an old maid school teacher 182
an old post office building 104
an old steam boiler before 53
as all eyes turned toward 473
as all good mammas should 58
as all heads turned toward 55
as all other aliens residing 48
as all pain causes desire 114
as all their wishes seemed 71
as all these organs become 47
as all those special traits 55
as any other family member 82
as any other italian beggar 91
as any other mental states 42
as any other native speaker 90
as any other normal person 58
as any other person engaged 70
as any other public school 49
as any other united states 47
as are their mental powers 44
as being more deeply rooted 96
as did john foster dulles 63
as did their fathers before 429
as don john should attain 56
as each cell passes through 55
as each dark warrior caught 74
as for other obvious reasons 104
as for their joyful temper 56
as for those heroic actions 53
as god made little apples 1154
as god made little fishes 77
as had been agreed before 178
as had been agreed earlier 60
as had been already agreed 75
as had been already proved 69
as had been already stated 53
as had been before agreed 59
as had been common before 47
as had been common enough 42
as had been proved before 56
as had been proved guilty 56
as had been stated before 115
as had been straying through 87
as had been thought before 233
as had been thought earlier 215
as had their fathers before 389
as has been already agreed 47
as has been already argued 291
as has been already clearly 53
as has been already hinted 3915
as has been already proved 2323
as has been already quoted 176
as has been already shewed 43
as has been already showed 53
as has been already stated 38844
as has been argued already 217
as has been argued before 642
as has been argued earlier 1447
as has been before hinted 780
as has been before proved 178
as has been before stated 8093
as has been clearly proved 552
as has been clearly stated 261
as has been earlier stated 163
as has been hinted already 528
as has been hinted before 480
as has been hinted earlier 133
as has been indeed proved 51
as has been lately proved 61
as has been lately stated 45
as has been passed through 47
as has been placed before 46
as has been proved already 221
as has been proved before 414
as has been proved beyond 193
as has been seldom before 51
as has been stated already 2717
as has been stated before 7739
as has been stated earlier 4060
as has been widely argued 115
as has been wrongly stated 68
as hath been already hinted 292
as hath been already partly 72
as hath been already proved 803
as hath been already shewed 160
as hath been argued before 41
as hath been before hinted 191
as hath been before proved 89
as hath been clearly proved 56
as hath been proved before 113
as hath been shewed before 326
as her arms closed around 67
as her eyes darted around 297
as her eyes slowly closed 50
as her eyes slowly opened 79
as her gaze darted around 98
as her hand closed around 606
as her lips closed around 125
as his arms closed around 901
as his eyes darted around 368
as his eyes roamed around 40
as his eyes slowly closed 124
as his eyes slowly opened 45
as his eyes turned toward 61
as his face turned bright 43
as his face turned purple 48
as his hand closed around 685
as his hand curled around 121
as his hand curved around 99
as his health should permit 71
as his ideas became clearer 76
as his lips closed around 91
as his mind roused itself 83
as his more famous brother 120
as his more solemn actions 44
as his mouth closed around 79
as his only earnest career 42
as his other duties permit 61
as his other lawful rights 85
as his young friend turned 41
as its main energy source 165
as its most active member 48
as its most obvious feature 41
as its most striking feature 224
as its sole carbon source 247
as its sole energy source 100
as its sole record strange 40
as lean dogs pursue through 94
as low birth weight babies 43
as may well excite regard 52
as men wore clothes before 89
as one door closes another 67
as one lamp lights another 41
as one nail drives another 48
as one name passed through 54
as one word begets another 133
as our other mental powers 44
as she came slowly across 53
as she came slowly toward 56
as that none should absorb 68
as they came onward through 67
as they came sweeping through 44
as they fell clashing around 58
as they form useful guides 43
as they have almost always 83
as they have already agreed 54
as they have already become 199
as they have already formed 66
as they have already learned 106
as they have already passed 86
as they have already proved 86
as they have already reached 66
as they have already richly 72
as they have already served 43
as they have already stated 54
as they have always called 89
as they have always failed 72
as they have always fought 50
as they have always looked 64
as they have always needed 140
as they have always proved 179
as they have always seemed 50
as they have always taught 42
as they have always thought 49
as they have always treated 64
as they have always wanted 129
as they have always worked 74
as they have become better 265
as they have become through 47
as they have better access 48
as they have changed through 57
as they have direct access 41
as they have fought before 91
as they have lately learned 47
as they have little access 42
as they have little chance 55
as they have little effect 60
as they have passed beyond 56
as they have passed through 673
as they have proved useful 40
as they have thought proper 149
as they have worked through 52
as they like without regard 91
as they live justly before 42
as they move slowly across 57
as they move slowly through 99
as they move through matter 74
as they move through middle 185
as they move through school 324
as they move through stages 57
as they move through various 268
as they move toward becoming 69
as they move toward greater 104
as they move upward through 97
as they must always govern 56
as they pass through layers 79
as they pass through matter 566
as they pass through narrow 62
as they pass through school 68
as they pass through stages 56
as they pass through tissue 96
as they pass through various 390
as they pass upward through 164
as they reach higher levels 69
as they rode slowly through 83
as they think proper without 46
as they went slowly through 42
as they went through school 61
as they went through various 77
as they were almost always 164
as they were almost without 62
as they were already called 209
as they were already engaged 130
as they were already loaded 41
as they were always called 1072
as they were before august 41
as they were before christ 43
as they were before entering 51
as they were better fitted 105
as they were beyond earshot 82
as they were busily engaged 93
as they were called became 43
as they were called before 377
as they were called earlier 46
as they were chased onward 54
as they were denied access 88
as they were drinking coffee 175
as they were driven across 121
as they were driven around 41
as they were driven through 368
as they were earlier called 51
as they were fondly called 101
as they were forced through 72
as they were formed before 45
as they were hauled aboard 48
as they were heavily loaded 69
as they were marching through 181
as they were matted without 112
as they were mostly called 51
as they were passed around 383
