abrupt kind 84 access over 46
active been 47 agreed those 66
allowing food 43 allowing such 42
almost face 74 almost work 69
almost body 46 almost from 403
almost from 74 almost heard 46
almost been 51 almost wife 45
almost leave 61 almost been 45
almost other 59 almost will 50
already once 49 always have 42
always went 49 always kept 65
always young 55 always making 131
always mind 66 always well 46
always great 44 always said 40
always were 168 always said 63
always were 41 annoying over 106
annual other 54 anxious great 134
appears good 95 assume more 46
