eagerness become listless 58
earnestly called attention 62
earnestly desire salvation 54
earnestly holmes insisted 84
earnestly sought direction 41
earnestly sought guidance 45
earnestly sought salvation 55
earthquake damage occurred 123
earthquake damage potential 119
earthquake hazard analysis 179
earthquake hazard reduction 924
earthquake killed thousands 61
earthquake shocks occurred 133
earthquake should suddenly 55
earthquake source spectrum 82
earthquake stress triggering 95
earthquake swarms occurred 155
earthquake without collapse 52
economic actors actually 51
economic actors interact 90
economic actors involved 626
economic actors perceive 46
economic agents actually 125
economic agents affected 47
economic agents concerning 46
economic agents consider 66
economic agents directly 57
economic agents interact 407
economic agents involved 1133
economic agents maximize 118
economic agents optimize 67
economic agents perceive 116
economic agents responding 73
economic burden entailed 45
economic burden involved 235
economic carrying capacity 498
economic castes sustaining 45
economic causes underlying 224
economic changes affected 391
economic changes combined 90
economic changes continue 67
economic changes demanded 105
economic changes designed 105
economic changes directly 50
economic changes effected 134
economic changes expected 72
economic changes followed 124
economic changes fostered 62
economic changes incident 45
economic changes included 54
economic changes increased 92
economic changes inherent 53
economic changes initiated 272
economic changes involved 266
economic changes mentioned 112
economic changes observed 51
economic changes occurred 903
economic changes outlined 145
economic changes produced 457
economic changes promoted 55
economic changes proposed 82
economic changes provided 60
economic changes referred 68
economic changes required 332
economic changes resulted 159
economic changes threatened 50
economic changes underlying 62
economic changes underway 483
economic changes unleashed 74
economic coercion designed 120
economic common interest 65
economic crises affected 42
economic crises afflicting 58
economic crises deepened 74
economic crises followed 55
economic crises inherent 49
economic crises occurred 166
economic crises produced 70
economic crises provoked 42
economic crises resulted 64
economic crises suffered 61
economic crises threatened 51
economic crisis actually 51
economic crisis affected 619
economic crisis afflicting 268
economic crisis combined 250
economic crisis continue 45
economic crisis deepened 2300
economic crisis demanded 113
economic crisis developing 69
economic crisis develops 112
economic crisis directly 81
economic crisis economic 50
economic crisis entailed 42
economic crisis exploded 47
economic crisis followed 424
economic crisis included 55
economic crisis increased 208
economic crisis increases 63
economic crisis involved 43
economic crisis involves 45
economic crisis occurred 595
economic crisis overtook 55
economic crisis persists 81
economic crisis prevailing 133
economic crisis probably 65
economic crisis produced 562
economic crisis produces 40
economic crisis prompted 250
economic crisis provided 325
economic crisis provides 125
economic crisis provoked 376
economic crisis remained 90
economic crisis rendered 67
economic crisis required 190
economic crisis requires 119
economic crisis resulted 589
economic crisis seriously 63
economic crisis severely 105
economic crisis situation 174
economic crisis suffered 114
economic crisis suggests 71
economic crisis therefore 44
economic crisis threatened 315
