earthenware cooking utensils 186
earthquakes might continue 43
earthquakes occur annually 88
earthquakes which affected 73
earthquakes which happened 183
earthquakes which occurred 1687
earthquakes which preceded 145
ebullient prime minister 60
eccentric loading condition 53
eccentric never betrayed 74
eccentric under accepted 79
eccentric which actuates 43
eccentric which operates 82
ecologist barry commoner 688
ecologist jerry franklin 147
economics above politics 63
economics based approach 66
economics could conclude 86
economics offer examples 45
economics people whatever 89
economics really mattered 142
economics until recently 71
economics which attempts 81
economics which concerns 44
economics which followed 42
economics which included 45
economics which includes 61
economics which provided 41
economics which provides 55
economics which requires 44
economics which suggests 42
economics which underlie 64
economics would collapse 56
economics would continue 53
economics would indicate 50
economics would probably 125
economies could continue 44
economies could possibly 54
economies could probably 43
economies under pressure 55
economies where domestic 60
economies where economic 103
economies where financial 97
economies where inflation 159
economies where possible 96
economies which depended 41
economies which followed 74
economies which generate 51
economies which included 51
economies which produced 47
economies which provided 42
economies which resulted 137
economies whose economic 51
economies would collapse 266
economies would continue 160
economies would converge 64
economies would generate 44
economies would probably 169
economist aaron director 41
economist james buchanan 246
economist james galbraith 60
economist might consider 81
economist might describe 66
economist might evaluate 43
economist ought therefore 40
economist whose analysis 59
economist would advocate 41
economist would classify 56
economist would conclude 59
economist would consider 416
economist would describe 122
economist would normally 43
economist would perceive 46
economist would probably 239
economist would seriously 48
economist would therefore 56
economize where possible 45
ecosystem based approach 158
ecosystem which consists 61
ecosystem which contains 93
ecosystem which includes 287
ecosystem which provides 52
ecosystem which supports 86
ecosystem which sustains 56
ecosystem would collapse 151
editorials which followed 52
educative value whatever 42
educators began developing 40
educators might consider 212
educators often complain 92
educators often overlook 91
educators still consider 51
educators would advocate 41
educators would consider 183
educators would continue 136
educators would disagree 169
educators would probably 773
effective action concerning 51
effective action contains 58
effective action depended 82
effective action directed 54
effective action followed 49
effective action involves 46
effective action obtained 45
effective action possible 336
effective action programs 226
effective action required 128
effective action requires 353
effective action resulted 50
effective action whatever 53
effective action whenever 98
effective acute treatment 110
effective adult education 697
effective adult educator 121
effective adult functioning 149
effective adult literacy 245
effective after approval 427
effective after december 682
effective after exposure 48
effective after february 68
effective after november 72
effective after prolonged 123
effective anode potential 94
effective armed struggle 124
effective asthma treatment 43
effective audit approach 114
effective audit programs 63
effective banking services 43
effective basic education 110
effective basic services 56
effective bending rigidity 107
effective binding constant 129
effective blood pressure 1570
effective blood purifier 52
effective bombing campaign 64
effective brand strategy 57
effective breathing exercise 40
effective breathing patterns 258
effective brief treatment 53
effective broad spectrum 138
effective chain transfer 156
effective change managers 50
effective change programs 112
effective change requires 164
effective change strategy 261
effective chief minister 92
effective child advocacy 47
effective child advocate 51
effective child guidance 78
effective civic education 248
effective civil authority 186
effective civil remedies 66
effective civil servants 77
effective class struggle 87
effective close blockade 40
effective closing argument 224
effective color contrast 90
effective cooling velocity 314
effective cough medicine 44
effective cough requires 51
effective crack extension 175
effective crime detection 49
effective crime fighters 92
effective crime reduction 197
effective cross cultural 62
effective cross sectional 1307
effective daily functioning 82
effective daily operation 56
effective damping constant 213
effective decay constant 365
effective doses received 64
effective drift mobility 137
effective drift velocity 253
effective driving pressure 768
effective entry barriers 204
effective entry strategy 61
effective error detection 164
effective error recovery 82
effective error reduction 56
effective ethics programs 87
effective fault detection 66
effective field boundary 97
effective field capacity 507
effective field direction 53
effective field gradient 58
effective field produced 57
effective filling pressure 426
effective first minister 92
effective fluid velocity 61
effective focal distance 65
effective force amounted 127
effective force constant 945
effective force numbered 107
effective force produced 52
effective force required 69
effective grain boundary 464
effective grand strategy 96
effective group activity 207
effective group behaviors 53
effective group counseling 451
effective group decisions 222
effective group dynamics 363
effective group formation 50
effective group functioning 3540
effective group guidance 79
effective group operation 138
effective group practice 52
effective group pressure 117
effective group relations 78
effective group therapist 90
effective group treatment 196
effective group velocity 95
effective growth strategy 186
effective habit formation 63
effective hedging strategy 59
effective housing policies 55
effective housing programs 51
effective human activity 46
effective human computer 101
effective human engineering 40
effective human functioning 584
effective human relations 2550
effective human resource 3092
effective human response 44
effective human services 604
effective image processing 134
effective imaging modality 250
effective indian fighters 61
