eagerness availing himself 45
earnestly advise against 63
earnestly argued against 121
earnestly caution against 50
earnestly devoting himself 96
earnestly excuse himself 72
earnestly fought against 46
earnestly looked forward 264
earnestly pleaded against 67
earnestly pressing forward 76
earnestly pursuing studious 46
earnestly sought redress 61
earnestly strive against 54
earnestly strive towards 89
earnestly striving against 44
earnestly strove against 63
earnestly training himself 52
earnestly warned against 427
earthquake design criteria 223
earthquake energy released 106
earthquake faulting process 58
earthquake heavily damaged 50
earthquake relief efforts 316
earthquake safety measures 61
earthquake should swallow 50
earthquake source process 187
earthquake source studies 64
earthquake struck central 49
earthquake struck managua 58
earthquake struck northern 102
earthquake struck southern 129
earthquake struck tangshan 97
easements across private 70
eastwards across central 229
eastwards across country 54
eastwards across northern 246
eastwards across southern 143
eastwards through central 504
eastwards through germany 57
eastwards through northern 199
eastwards through southern 165
ecliptic midway between 102
economic accord between 94
economic actions against 231
economic actors because 47
economic actors competing 55
economic actors including 45
economic actors operate 135
economic actors operating 139
economic actors outside 183
economic actors possess 63
economic actors respond 92
economic agents according 60
economic agents acquire 68
economic agents against 54
economic agents attempt 99
economic agents because 208
economic agents believe 148
economic agents between 57
economic agents depends 44
economic agents including 76
economic agents located 78
economic agents operate 229
economic agents operating 282
economic agents outside 149
economic agents possess 179
economic agents receive 58
economic agents regarding 90
economic agents require 49
economic agents respond 279
economic agents towards 77
economic aspect because 89
economic assets because 225
economic assets between 57
economic asylum seekers 42
economic attack against 71
economic battle against 152
economic battle between 280
economic belief systems 119
economic border between 81
economic bridge between 326
economic buffer against 54
economic buffer between 71
economic burden because 182
economic burden between 47
economic burden carried 46
economic burden imposed 955
economic burden resulting 162
economic causal factors 94
economic causes affecting 73
economic causes brought 68
economic causes operating 47
economic causes produce 44
economic center shifted 40
economic changes affecting 1220
economic changes altered 123
economic changes because 144
economic changes beginning 83
economic changes between 268
economic changes brought 2960
economic changes carried 80
economic changes desired 48
economic changes differs 45
economic changes following 426
economic changes happening 52
economic changes imposed 109
economic changes include 81
economic changes including 139
economic changes induced 248
economic changes involving 70
economic changes occurring 1667
economic changes outside 145
economic changes produce 113
economic changes provide 56
economic changes rapidly 41
economic changes reduced 48
