eccentrically rotating arms 135
ecclesiastical abuses there 76
ecclesiastical abuses were 258
ecclesiastical appeals from 58
ecclesiastical appeals were 75
ecclesiastical authors from 44
ecclesiastical authors have 73
ecclesiastical authors into 56
ecclesiastical authors were 41
ecclesiastical barons were 45
ecclesiastical bodies from 91
ecclesiastical bodies have 351
ecclesiastical bodies into 44
ecclesiastical bodies made 42
ecclesiastical bodies such 78
ecclesiastical bodies were 448
ecclesiastical bodies will 56
ecclesiastical building from 43
ecclesiastical canons were 136
ecclesiastical career were 65
ecclesiastical career when 57
ecclesiastical causes from 172
ecclesiastical causes were 208
ecclesiastical changes made 176
ecclesiastical changes were 273
ecclesiastical claims were 47
ecclesiastical courts also 195
ecclesiastical courts came 122
ecclesiastical courts dealt 118
ecclesiastical courts during 142
ecclesiastical courts fell 56
ecclesiastical courts from 883
ecclesiastical courts gave 75
ecclesiastical courts have 947
ecclesiastical courts having 100
ecclesiastical courts held 107
ecclesiastical courts into 162
ecclesiastical courts lost 121
ecclesiastical courts made 104
ecclesiastical courts must 145
ecclesiastical courts only 324
ecclesiastical courts over 641
ecclesiastical courts seem 111
ecclesiastical courts show 56
ecclesiastical courts there 244
ecclesiastical courts till 47
ecclesiastical courts took 138
ecclesiastical courts upon 251
ecclesiastical courts used 55
ecclesiastical courts went 46
ecclesiastical courts were 4765
ecclesiastical courts when 152
ecclesiastical courts will 155
ecclesiastical duties during 41
ecclesiastical duties were 161
ecclesiastical fashion show 95
ecclesiastical groups seek 289
ecclesiastical holdings were 108
ecclesiastical houses were 44
ecclesiastical income from 61
ecclesiastical issues were 114
ecclesiastical judges from 136
ecclesiastical judges have 127
ecclesiastical judges must 43
ecclesiastical judges were 376
ecclesiastical leaders from 60
ecclesiastical leaders have 136
ecclesiastical leaders such 40
ecclesiastical leaders were 395
ecclesiastical middle ages 51
ecclesiastical nature were 70
ecclesiastical office from 158
ecclesiastical office held 47
ecclesiastical office into 61
ecclesiastical office must 85
ecclesiastical office there 108
ecclesiastical office were 260
ecclesiastical office will 44
ecclesiastical orders from 42
ecclesiastical orders have 47
ecclesiastical orders were 220
ecclesiastical person having 51
ecclesiastical policy from 86
ecclesiastical policy upon 48
ecclesiastical policy were 182
ecclesiastical polity from 114
ecclesiastical polity have 56
ecclesiastical polity must 56
ecclesiastical polity there 176
ecclesiastical polity upon 60
ecclesiastical polity were 256
ecclesiastical polity when 69
ecclesiastical powers from 125
ecclesiastical powers have 57
ecclesiastical powers over 60
ecclesiastical powers were 798
ecclesiastical reform from 85
ecclesiastical reform into 50
ecclesiastical reform were 152
ecclesiastical rights over 69
ecclesiastical rights were 143
ecclesiastical rulers have 103
ecclesiastical rulers were 226
ecclesiastical school have 56
ecclesiastical sphere there 76
ecclesiastical sphere were 43
ecclesiastical states from 97
ecclesiastical states were 383
