eagerness bordering upon 47
earnestly against some 46
earnestly against such 304
earnestly against taking 46
earnestly against their 133
earnestly against these 159
earnestly against those 66
earnestly against what 49
earnestly because there 47
earnestly believe also 58
earnestly believe from 48
earnestly beseech your 1137
earnestly commend these 125
earnestly commend unto 57
earnestly counsel these 69
earnestly desired from 70
earnestly desired leave 147
earnestly desired once 97
earnestly desired peace 880
earnestly desired some 165
earnestly desired such 254
earnestly desired their 421
earnestly desired what 46
earnestly desired your 84
earnestly desires peace 113
earnestly desires their 117
earnestly desires what 95
earnestly desires your 100
earnestly directing their 47
earnestly entered into 124
earnestly entered upon 106
earnestly entreating their 48
earnestly entreating your 47
earnestly entreats your 46
earnestly exhorts those 48
earnestly implore their 52
earnestly implore your 358
earnestly imploring from 100
earnestly imploring their 56
earnestly impress upon 857
earnestly inquire what 42
earnestly inquiring into 93
earnestly inquiring mind 109
earnestly inquiring what 156
earnestly insists upon 74
earnestly opposed such 41
earnestly petition your 164
earnestly pressed their 110
earnestly pressed those 59
earnestly pressed upon 2259
earnestly presses upon 92
earnestly pursued during 49
earnestly renewed their 43
earnestly request from 66
earnestly request their 81
earnestly request those 120
earnestly request your 1283
earnestly solicit from 60
earnestly solicit their 126
earnestly solicit your 847
earphones clamped over 188
earphones plugged into 307
earthquake brought down 229
earthquake country keep 60
earthquake crumble down 71
earthquake damaged many 71
earthquake depends upon 54
earthquake derived from 89
earthquake effects have 42
earthquake effects were 48
earthquake happens when 73
earthquake knocked down 215
earthquake leveled most 42
earthquake leveled much 54
earthquake occurring along 58
earthquake occurring during 50
earthquake records from 215
earthquake records have 171
earthquake records used 69
earthquake records were 313
earthquake reports from 86
earthquake resulting from 45
earthquake results from 168
earthquake rupture zone 192
earthquake several years 66
earthquake sixteen years 61
earthquake strikes into 55
earthquake tremors were 57
earthquake victims were 190
earthquake visited java 55
earthworks extending from 64
easements implied from 116
eastbound freight from 46
eastbound traffic from 419
eastwards towards india 200
eastwards towards lake 150
eastwards towards their 155
echelons removed from 46
eclectic borrowing from 272
eclipsed everything else 3257
eclipses everything else 1398
eclipses extending over 72
eclipses occurring during 50
eclipses visible from 144
ecliptic farthest from 74
ecliptic measured from 54
ecologic studies have 90
economic advance along 195
economic advance among 77
economic advance came 55
economic advance during 189
economic advance from 142
economic advance have 118
economic advance into 475
economic advance made 152
economic advance must 153
economic advance over 147
economic advance there 48
economic advance were 218
economic advance will 267
economic adviser alan 55
economic adviser during 208
economic adviser from 131
economic adviser gene 74
economic adviser when 45
economic affairs along 49
economic affairs also 157
economic affairs among 109
economic affairs came 100
economic affairs during 520
economic affairs even 92
economic affairs from 814
economic affairs gave 48
economic affairs grew 59
economic affairs have 701
economic affairs held 46
economic affairs into 148
economic affairs just 81
economic affairs made 115
economic affairs more 295
