lady proud 68 lamp light 132
land canoes 45 land found 59
land proud 101 land taken 49
land given 117 land taken 135
land makes 51 land valor 157
land after 59 land taken 211
lank above 49 last about 137
last forty 41 last nearly 44
last added 59 last given 83
last shown 242 last given 79
last shown 111 last coast 50
last father 83 last lived 49
last place 141 last spent 44
last given 43 last which 50
last given 130 last shown 208
last taken 47 last thrown 58
last spent 60 last lasts 1649
last reign 52 late lunch 292
late night 149 late hosts 164
lava thrown 104 laws joint 45
laws found 41 laws force 157
laws force 87 laws cited 49
laws drawn 49 laws found 415
laws given 164 laws after 189
laws force 58 laying aside 76
leading fully 60 leading above 64
learn people 66 learn later 159
learn later 92 least alone 55
least saved 54 least after 59
least after 91 least found 44
least given 58 least saved 45
leave seven 42 leave after 41
leaving blank 114 left taken 52
left months 69 left taxes 139
left again 46 left right 109
left which 43 legs quite 40
lend terms 53 length about 109
less people 506 less place 45
less usual 101 less lives 72
life later 41 life veins 83
life easier 43 life lived 219
life saved 1025 life spent 65
life taken 58 life worse 61
life place 53 life began 75
life every 43 life found 82
life sweet 40 life easier 215
life happy 44 life lived 55
life longer 44 life quite 151
life saved 1981 life spent 106
life taken 73 life ended 52
life telling 133 life under 63
life times 43 life sense 69
life found 85 life given 85
life place 121 life dreary 117
life easier 1699 life empty 168
life ended 71 life fatal 60
life given 119 life happy 126
life lived 69 life longer 63
life nearly 56 life quite 528
life rather 60 life safer 52
life saved 1484 life short 108
life spent 259 life still 72
life taken 259 life worse 74
life minds 49 like taken 60
like heaven 169 like while 123
like nests 45 like green 137
like house 59 like found 90
like metal 116 like cause 104
like enemy 78 like water 143
like rocks 82 like sleep 55
like water 115 like driving 263
limb saved 46 line added 50
line built 47 line drawn 254
line sable 124 line field 78
line drawn 192 line taken 58
line about 64 line built 45
line drawn 139 line taken 66
link layer 61 lips sealed 47
lips slips 186 list longer 113
list added 61 list force 65
list pages 86 list longer 228
live longer 131 live people 178
live adult 97 live wives 321
live aught 40 living people 41
living father 87 living wives 250
living bones 45 living knows 46
living above 42 loam sandy 141
loam sandy 53 look until 83
look quite 53 lose after 46
lose leaves 61 loss shall 99
loss fixed 43 loss party 73
loss others 43 loss about 91
loss borne 56 loss fatal 74
loss saved 49 loss short 76
loss small 136 loss still 133
lost value 41 lost saved 79
lost saved 116 lost value 100
lost saved 53 loud issuing 48
