lack a theory to explain 109
lady a look of triumph 61
lady i know in alabama 71
laid a cloth on purpose 45
laid a duty on foreign 85
laid a hand on anybody 70
laid a hand on himself 45
laid a plan to capture 84
laid a plan to destroy 94
laid a plot to destroy 61
laid a wreath of flowers 220
land i gave to abraham 77
last i came to believe 54
last i have the pleasure 111
last i took my courage 139
last i took the liberty 117
laying a duty on british 55
laying a duty on exports 44
laying a duty on imports 87
laying a duty on liquors 167
laying a duty on tobacco 66
laying a duty on tonnage 136
laying a trap or pitfall 76
laying a wreath of flowers 55
leading a band of robbers 54
leading a band of warriors 45
leading a life of comfort 64
leading a life of devotion 78
leading a life of dignity 49
leading a life of endless 65
leading a life of extreme 122
leading a life of freedom 60
leading a life of intense 107
leading a life of leisure 304
leading a life of penance 94
leading a life of perfect 112
leading a life of pleasure 423
leading a life of poverty 269
leading a life of service 75
leads a life of extreme 41
leads a life of leisure 63
leads a life of perfect 59
leads a life of pleasure 103
leads a life of poverty 78
leads a life of service 43
least a foot in diameter 993
least a hope of success 76
least a lack of clarity 46
least a mile in diameter 104
least a month in advance 3907
least a month to prepare 112
least a month to recover 50
least a part of germany 44
least a part of himself 111
least a part of mankind 45
least a pipe of tobacco 43
least a show of justice 148
least a show of respect 46
least a step in advance 97
least a want of harmony 47
least a week in advance 5901
least a week to examine 43
least a week to prepare 161
least a week to recover 95
least a yard in diameter 74
least i have the comfort 90
least i have the courage 65
least i have the decency 49
least i have the flowers 88
least i like to believe 40
least i want to believe 45
least i want to express 74
least i wish to express 144
leave a card or message 132
leave a lady in silence 53
leave a land of liberty 44
leave a mark in history 125
leave a mark on history 205
leave a mark on society 42
leave a name in history 143
leave a note of apology 66
leave a note to explain 40
leave a part of herself 45
leave a part of himself 115
leave a ship so quietly 56
leave a sort of perfume 61
leaving a copy of himself 116
leaving a girl of sixteen 53
leaving a host of friends 101
leaving a name in history 60
leaving a note to explain 41
leaving a part of herself 129
leaving a part of himself 176
leaving a wake of crushed 96
left a body of poetical 265
left a host of friends 135
left a kind of sadness 66
left a mark in history 64
left a mark on history 155
left a mass of material 129
left a name in history 204
left a note of apology 221
left a note of welcome 43
left a note to explain 98
left a part of herself 159
left a part of himself 387
left a prey to anarchy 164
left a prey to poverty 60
left a rest to support 46
left a sort of channel 40
left a wake of smaller 41
left a wake of victory 52
left a wealth of material 97
lend a hand at haymaking 67
lend a hand at uprooting 107
lend a hand in effecting 49
lend a hand in preparing 65
lend a hand in promoting 55
lend a hand to augment 43
lend a hand to promote 67
lend a hand to rebuild 50
lend a hand to torment 47
lend a help to mankind 84
lend a kind of easiness 1024
lend a kind of majesty 392
length i have the pleasure 59
length i make no apology 46
length i took the freedom 41
lent a hand in preparing 42
lent a hand to blacken 74
lent a note of urgency 61
less a case of thirteen 45
less a duty to convert 40
less a fact of history 51
less a hero to himself 217
less a part as factors 90
less a part of society 88
less a role in science 52
less a sign of weakness 120
less a task to himself 74
lest i fall by subtler 63
levy a body of germans 95
levy a duty on foreign 40
levy a duty on imports 171
levy a rate on parents 66
lies a belt of country 48
lies a gulf of mystery 212
lies a line of islands 41
lies a mass of nervous 42
life a code of behavior 130
life i came in contact 53
life i used to cherish 76
lift a finger in defense 127
lift a finger in support 74
lift a finger to advance 40
lift a finger to enforce 48
lift a finger to improve 101
lift a finger to increase 58
lift a finger to lighten 102
lift a finger to prevent 1738
lift a finger to produce 143
lift a finger to promote 42
lift a finger to protect 422
lift a finger to provide 81
lift a finger to relieve 82
lift a finger to replace 175
lift a finger to restore 60
lift a finger to support 105
lift a hand in defense 69
lift a hand in protest 45
lift a hand to prevent 207
lift a hand to protect 85
like a babe in swaddling 131
like a babe of plebeian 41
like a baby in swaddling 213
like a ball of adamant 40
like a ball of crimson 55
like a ball of crystal 132
like a ball of lightning 84
like a ball of mercury 161
like a ball of worsted 115
like a band of beggars 83
like a band of brothers 2625
like a band of buffalo 40
like a band of devouring 73
like a band of gipsies 96
like a band of gypsies 300
like a band of monkeys 84
like a band of outlaws 134
like a band of pirates 155
like a band of robbers 495
like a band of savages 78
like a band of scarlet 261
like a band of warriors 62
like a bank of flowers 56
like a beach of diamonds 47
like a bevy of peacocks 73
like a bill of exchange 2062
like a bill of general 46
like a bird of passage 1387
like a bird the starlit 58
like a blob of mercury 136
like a body of cavalry 135
like a body of foulest 80
like a body of hostile 58
like a bolt of lightning 23210
like a book of matches 100
like a book of surgery 79
like a book of travels 61
like a bowl of flowers 52
like a bowl of gelatin 159
like a breath of country 220
like a breath of freedom 41
like a breath of incense 61
like a breath of perfume 57
like a cage of monkeys 54
like a camp of faithful 56
like a case of playthings 49
like a case of suicide 62
like a city of palaces 88
like a coal at beholding 117
like a coat of plaster 55
like a coat of varnish 365
like a code of conduct 195
like a cone or pyramid 84
like a diary or journal 90
like a dream of delight 79
like a dream of novelty 89
like a dream of pleasure 46
like a dream of romance 48
like a dream or illusion 68
like a dream or romance 52
like a drop of arsenic 67
like a drop of mercury 313
like a drop of vinegar 98
like a drug or alcohol 49
like a film in reverse 51
like a flag of defiance 66
like a flag of triumph 94
like a flag of victory 182
like a flag to victory 60
like a fool at haggard 40
like a fool or changeling 193
like a fool so awfully 40
like a fork of lightning 117
like a form of debauch 88
like a form of madness 79
like a form of slavery 52
like a form of torture 126
like a form of worship 44
like a game of chicken 321
like a game of chinese 252
like a game of connect 46
like a game of cricket 246
like a game of croquet 89
like a game of dominoes 543
like a game of leapfrog 71
like a game of marbles 199
like a game of musical 1844
like a game of twister 83
like a giant in stature 120
like a gift of fortune 52
like a girl of fifteen 339
like a girl of sixteen 702
like a girl of thirteen 91
like a gleam of lightning 166
like a glow of pleasure 44
like a gold ring snapped 51
like a great sea monster 53
like a great thing tottering 44
like a hail of bullets 204
like a hall of mirrors 1423
like a hash of lightning 50
like a herd of animals 580
like a herd of buffalo 2367
like a herd of galloping 81
like a herd of turtles 283
like a hero in romance 73
like a hero of ancient 86
like a hero of romance 524
like a hill of potatoes 81
like a hint of weakness 71
like a hive of hornets 104
like a host of locusts 58
like a howl of derision 42
like a hymn of triumph 44
like a john the baptist 409
like a jolt of lightning 327
like a kind of curtain 40
like a kind of ecstasy 67
like a kind of general 115
like a kind of illness 48
like a kind of lightning 173
like a kind of machine 96
like a kind of madness 245
like a kind of miracle 100
like a kind of musical 85
like a kind of natural 103
like a kind of pleasure 325
like a kind of private 50
like a kind of psychic 41
like a kind of religion 41
like a kind of slender 43
like a kind of spittle 49
like a kind of torture 61
like a kind of trumpet 47
like a kind of veneering 84
like a kind of worship 44
like a lack of respect 58
like a lady of leisure 211
like a lady of quality 185
like a land of promise 194
like a leave of absence 176
like a life of comfort 83
like a line of breakers 69
like a line of cavalry 219
like a line of dominoes 339
like a line of freight 51
like a line of phantom 40
like a living thing against 42
like a living thing between 56
like a load of laundry 101
like a load of rubbish 196
like a look of triumph 66
like a lord or monarch 46
like a loss of control 201
like a lump of chipped 71
like a lump of granite 94
like a mask of tragedy 134
like a mask on puritan 54
like a mass of crooked 46
like a mass of diamonds 68
like a mass of flowers 45
like a mass of ignited 239
like a mass of verdure 83
like a mate or skipper 258
like a maze of flowers 72
like a month of sundays 82
like a moon in eclipse 49
like a nest of chinese 464
like a nest of hornets 612
like a nest of spiders 73
like a note of despair 43
like a note of triumph 58
like a pack of alaskan 67
like a pack of animals 511
like a pack of chinese 56
like a pack of cowards 115
like a pack of coyotes 281
like a pack of excited 51
like a pack of gypsies 42
like a pack of jackals 397
like a pack of mongrels 52
