lad will one day disappear 55
law also for our guardians 90
law dealing with any business 123
law firm and its partners 48
law from old and erroneous 51
law give you any authority 45
law over all his subjects 47
law when they ask citizens 41
law wife and two children 50
lay down for our guidance 117
lay down with our blankets 163
lay down with them doubloon 44
lay there all day concealed 65
lead those who are conscious 47
lead time for new products 47
lean over too far backward 241
leap from our low condition 78
led have met with deserved 76
led more than one historian 82
led more than one observer 186
leg more than his handsome 113
let those who are disposed 79
let those who are inclined 63
let those who are situated 55
let your bed with pleasures 109
let your ego get involved 91
lie down and die whenever 92
lie down and then rollover 40
lie more than one standard 145
lie more than two standard 225
long been dead and crumbled 41
long have you had arthritis 95
long have you had problems 51
long living has not hardened 72
long living hath not hardened 40
long road they had traveled 42
long term and low interest 51
long time ago and probably 52
long time and are therefore 82
long time and had acquired 66
long time and had suffered 59
long time and has produced 44
long time and has recently 42
long time and then answered 41
long time and then returned 75
long time and then suddenly 566
long time and was probably 53
long time and was therefore 75
long time but was actually 46
long time but was probably 160
long time she had believed 92
long time she had suffered 62
long time they had suffered 45
long time they sat silently 46
long time this was believed 60
long time this was regarded 85
long time this was supposed 56
long time was now expended 65
long time with any intention 119
long time with her daughter 51
long walk with this youngster 85
long when she was awakened 128
lot more fun for everyone 43
lot more than they actually 92
lot more than they expected 58
lot more than you expected 78
lot more than you probably 44
lot other than one detached 53
low birth and mean education 114
low cost and low toxicity 86
low risk for hiv infection 179
