laid a 72 laid a 59
last a 82 last a 56
last a 52 last a 45
last a 266 last a 93
learn a 137 learn a 83
least y 126 least a 40
least a 49 least a 49
least a 69 least a 43
leave a 40 left a 66
lend a 97 lent a 40
life a 46 life a 64
life a 73 life a 91
like a 99 like a 84
like a 142 like a 253
like a 53 like a 57
line a 52 line a 54
lips a 308 lips a 78
list a 122 living a 116
look a 127 look a 76
look a 93 look a 144
look a 122 look a 483
look a 399 look a 267
look a 69 look a 249
look a 40 look a 97
look a 85 lose a 59
lose a 81 lose a 131
lose a 58 lose a 43
lost a 47 lost a 94
lost a 172 lost a 95
lost a 94 love i 58
