lap of a lovelier nature 114
law as a coherent system 69
law as a distinct branch 88
law as a distinct system 43
law as a separate branch 206
law as a separate entity 83
law in a portable volume 76
lay at a slightly higher 46
lay in a beautiful valley 117
lay in a surprise attack 64
lay in a triangular valley 135
lead to a balanced budget 425
lead to a boomerang effect 86
lead to a brighter future 340
lead to a chemical reaction 249
lead to a complete system 139
lead to a condition called 1426
lead to a contrary opinion 145
lead to a contrary result 331
lead to a criminal charge 237
lead to a criminal record 49
lead to a currency crisis 266
lead to a dangerous degree 47
lead to a decisive result 377
lead to a decreased cardiac 46
lead to a decreased demand 139
lead to a decreased number 115
lead to a definite answer 63
lead to a definite result 477
lead to a downward spiral 1604
lead to a financial crisis 839
lead to a fruitful result 120
lead to a graduate degree 46
lead to a japanese attack 104
lead to a mistaken belief 135
lead to a moderate degree 119
lead to a negative answer 344
lead to a negative effect 199
lead to a negative impact 222
lead to a negative reaction 353
lead to a negative result 415
lead to a positive answer 139
lead to a positive effect 227
lead to a positive impact 81
lead to a positive reaction 131
lead to a positive result 1250
lead to a satisfying career 183
lead to a slightly greater 42
lead to a slightly higher 379
lead to a slightly larger 174
lead to a snowball effect 91
lead to a somewhat greater 95
lead to a somewhat higher 329
lead to a somewhat larger 55
lead to a specific result 196
lead to a tendency toward 219
lead to a tragical result 188
lead to a virtuous circle 234
led by a buddhist priest 50
led by a dominant female 103
led by a military genius 102
led in a direction wholly 43
led me a progress through 41
led to a balanced budget 52
led to a complete reform 71
led to a complete review 45
led to a complete schism 46
led to a conscious effort 84
led to a constant demand 72
led to a continuing debate 127
led to a continuing series 87
led to a contrary belief 61
led to a contrary result 160
led to a criminal charge 53
led to a critical review 83
led to a cultural crisis 41
led to a currency crisis 48
led to a decisive battle 40
led to a decisive result 60
led to a decreased demand 64
led to a definite result 103
led to a downward spiral 486
led to a financial crisis 1073
led to a latticed window 61
led to a military revolt 108
led to a mistaken belief 91
led to a modified version 49
led to a monetary crisis 45
led to a movement toward 147
led to a negative answer 45
led to a negative reaction 72
led to a negative result 329
led to a personal crisis 49
led to a positive result 199
led to a powerful reaction 44
led to a profound crisis 129
led to a prolonged crisis 41
led to a prolonged debate 134
led to a prolonged series 41
led to a prolonged strike 57
led to a slightly higher 191
led to a slightly larger 58
led to a somewhat better 95
led to a somewhat greater 69
led to a somewhat higher 100
led to a spirited debate 135
led to a surprising degree 58
led to a surprising result 137
led to a tendency toward 90
led to a terrible famine 97
led to a vigorous attack 45
led to a vigorous debate 232
led to a vigorous effort 46
led us a straggling course 75
leg in a swaggering manner 77
leg of a colossal statue 84
leg of a recently killed 45
let as a separate dwelling 1838
lid of a pressure cooker 215
lid on a pressure cooker 274
lie at a distance greater 47
lie at a slightly higher 45
lie at a somewhat higher 42
lie is a definite factor 77
lie on a platform twenty 55
lion is a dangerous animal 67
lit by a flickering candle 89
lit by a solitary candle 113
log of a negative number 227
long as a beautiful thought 165
long as a constant supply 45
long as i absented myself 201
long as i confined myself 92
long as i perceive something 98
long in a broadway window 536
lot of a facetious fellow 51
lying in a beautiful valley 94
lying in a mortuary chapel 46
lying on a hospital gurney 107
lying on a wretched pallet 133
