lad must have grown to 97
lag time during which the 51
law acting here under the 49
law came into force at 50
law came into force in 758
law came into force on 595
law came into force the 45
law duly made under it 48
law five years after the 317
law from other forms of 94
law from other types of 53
law from their entry on 93
law have been based on 53
law have been built up 89
law have been found to 106
law have been given in 55
law have been given to 42
law have been known to 63
law have been shown to 45
law have been taken to 46
law have been worthy of 69
law have their roots in 79
law into their hands by 54
law into their hands in 61
law into their hands to 43
law know nothing about it 43
law must give place to 102
law rule must apply in 49
law said nothing about the 113
law says nothing about the 311
law says there shall be 59
law vary from state to 156
law went into force in 93
law went into force on 112
law were well aware of 43
law will also apply to 80
lay among these hills he 65
lay bare their souls to 41
lay down arms until he 55
lay down arms until the 403
lay down clear lines of 60
lay down only kinds of 47
lay down some rules as 59
lay down some rules by 123
lay down some rules of 117
lay down some rules to 64
lay down such rules as 283
lay down such rules of 61
lay down such rules to 51
lay down their lives as 488
lay down their lives at 484
lay down their lives by 110
lay down their lives if 392
lay down their lives in 9854
lay down their lives on 1095
lay down their lives or 105
lay down their lives so 250
lay down their lives to 3609
lay down their right as 88
lay down their right to 67
lay down their tools at 50
lay down their tools in 85
lay down their tools of 72
lay down their tools to 59
lay down those lines of 45
lay down those rules of 201
lay down what ought to 81
lay down what shall be 54
lay down your lives in 244
lay down your lives to 45
lay eggs from which the 387
lay many feet below the 240
lay only just beneath the 41
lay open such facts as 125
lay open their minds to 66
lay open their wants to 43
lay some five miles to 47
lay some four miles to 41
lay their eggs about the 152
lay their eggs above the 76
lay their eggs beneath the 146
lay their eggs close to 135
lay their eggs either in 132
lay their eggs either on 82
lay their eggs right on 54
lay their eggs under the 462
lay their eggs until the 57
lay their eggs where the 140
lay their eggs while the 59
lay their eggs within the 321
lay their just hands on 395
lay their sick where the 51
lay very much within the 60
lay your holy hands on 62
lead have been found at 55
lead have been found in 904
lead have been found to 103
lead have been shown to 56
lead many young people to 139
lead some young people to 208
lead these young people to 58
lead time from order to 143
lean body mass tends to 41
leap away from under the 90
leap from these facts to 42
led back once again to 61
led down from within the 87
led five years later to 62
led four years later to 93
led from their cells to 44
led from their house to 48
led from these hills to 41
led here more sweet to 93
led into other parts of 41
led into some error by 55
led many good people to 47
led many years later to 74
led many young people to 656
led many young women to 64
led some years later to 129
led some young people to 86
led these young people to 63
led three days later to 42
led three years later to 178
leg from just above the 87
leg from just below the 103
let down from above by 151
let down from above in 108
let down from above the 95
let down from heaven at 44
let down from heaven by 1138
let down from heaven in 340
let down from heaven on 126
let down from heaven to 2299
let down their guard in 135
let down their guard or 66
let down their guard to 57
let down your guard in 40
let down your guard or 63
let fall some drops of 91
let fall some hints of 117
let fall some snuff of 74
let fall some words in 63
let fall some words of 193
let fall some words to 49
let fall their hands to 73
let fall their leaves at 63
let fall their leaves in 63
let fall those words in 245
let fine gilt books be 53
let none ever laugh at 51
let other pens dwell on 52
let slip were never to 44
let some years after the 55
let their dogs loose on 43
let their eyes watch the 57
let their feet touch the 48
let these also first be 629
let these early works be 42
let these poor people be 41
let what will stick to 141
let your baby sleep in 78
let your body begin to 53
let your eyes climb the 48
let your eyes focus on 130
let your face light up 144
let your face shine on 177
let your feet touch the 141
let your mind begin to 43
let your mind drift to 56
let your mind dwell on 3286
let your mind focus on 108
lie down like sheep in 51
lie many feet below the 42
lie only just below the 92
long ages during which the 188
long ages were spent by 55
long ages will reveal to 54
long been hanging about the 41
long been held under the 53
long been laid aside in 53
long been lost sight of 436
long been made aware of 45
long been pining under an 74
long been taking place in 226
long been taking shape in 87
long been upon terms of 67
long been used under the 40
long been well aware of 231
long been well known as 220
long been well known in 527
long been well known on 121
long been well known to 1897
long dark eyes resting on 66
long dark hair blowing in 97
long dark hair falling to 84
long days during which he 42
long days were spent in 73
long from deep water to 47
long from your study of 53
long hall into which the 56
long have been aware of 318
long have been found in 595
long have been found to 49
long have been known as 43
long have been known to 360
long having flow rates of 122
long held their place as 110
long held their place in 106
long last there would be 59
long legs from under the 103
long lent will begin on 63
long life during which he 62
long life were spent in 137
long list from which to 52
long open reading frame in 84
long open reading frame is 91
long open reading frame of 147
long sums have added up 57
long term care needs of 81
long term goal would be 42
long term there could be 40
long term there would be 71
long there were signs of 47
long till there would be 40
long time been aware of 279
long time been based on 136
long time been changing the 63
long time been fixed by 70
long time been given to 124
long time been known as 315
long time been known in 59
long time been known to 311
long time been moved to 59
long time been thinking of 77
long time been under the 232
long time been wanting to 69
long time been working in 41
long time been working on 44
long time during which he 156
long time during which it 121
long time during which the 629
long time during which to 56
long time even after it 51
long time even after the 808
long time even though he 49
long time even though it 138
long time even though the 195
long time from place to 61
long time just below the 44
long time just looking at 248
long time just staring at 122
long time laid claim to 71
long time lost sight of 111
long time nothing could be 209
long time over which the 57
long time past holds no 98
long time there could be 71
long time there seems to 83
long time there would be 265
long time very nearly the 47
long time well known in 44
long time were under the 42
long wave length limit of 129
long ways from where we 44
long will live alone in 133
long years during which he 282
long years during which it 61
long years during which the 388
long years during which we 55
long years have shown me 54
long years were spent in 43
lot more talk about the 55
lot more time looking at 57
lot more time talking to 43
lot more time working on 117
lot more work needs to 780
lot these days about the 363
low back pain based on 52
low back pain could be 58
low back pain which is 98
low base from which it 110
low base from which the 96
low down just above the 104
low form into which the 41
low hill from which the 43
low hill rising above the 42
low hill upon which the 58
low very soon after the 60
lung have been shown to 104
lying face down beneath the 51
lying many feet below the 47
lying there ever since the 53
lying upon their sides in 59
