lack and poor quality of 117
lady and your friends to 42
lady had been allowed to 91
lady had been brought to 50
lady had been brought up 160
lady had been carried to 82
lady had been induced to 49
lady had been married to 177
lady had been obliged to 103
lady had sold herself to 40
lady has been obliged to 59
lady may have appeared to 90
lady who came forward so 41
lady who came forward to 42
lady who once reigned in 73
lady who wears pockets in 47
laid for taking pleasure in 123
laid her back against the 470
laid her down against the 62
laid her face against it 121
laid her face against my 60
laid her face against the 494
laid her hand against my 70
laid her hand against the 207
laid her hand briefly on 62
laid her hand lightly on 1483
laid her hand quickly on 82
laid her hand soothingly on 66
laid her hand timidly on 160
laid her lips against the 52
laid her nose against the 47
laid her palm against the 95
laid him back against the 65
laid his back against the 43
laid his brow against the 90
laid his face against it 52
laid his face against the 292
laid his hand against the 304
laid his hand briefly on 134
laid his hand hastily on 46
laid his hand lightly on 959
laid his hand quickly on 147
laid his hand quietly on 87
laid his hand roughly on 124
laid his hand soothingly on 140
laid his lips against it 43
laid his lips against the 88
laid his palm against the 96
laid one hand against the 43
laid one hand lightly on 172
laid our heads together in 71
laid our heads together to 114
laid out into squares of 63
laid out some shillings in 124
laid out their capital in 42
laid out these dollars in 56
laid out upon objects of 139
lake had been reduced to 42
lake has been drained by 41
lake that once covered the 201
lake that once existed in 41
lamb lie down together in 207
lamp had been brought in 151
lamp had been lighted in 119
land and also because of 58
land and great numbers of 57
land and land covered by 112
land and other aspects of 130
land and other factors of 550
land and other matters of 85
land and other sources of 688
land and their ability to 298
land and their loyalty to 64
land and were allowed to 202
land and were obliged to 215
land and were reduced to 163
land and were settled in 42
land and were subject to 162
land are also subject to 41
land but also because of 145
land but also because the 42
land for five dollars an 50
land for five minutes on 186
land for their brethren to 60
land for their devotion to 43
land had been allowed to 180
land had been awarded to 101
land had been brought to 53
land had been carried on 40
land had been claimed by 233
land had been covered by 213
land had been damaged by 72
land had been demised to 48
land had been denuded of 57
land had been devised to 47
land had been devoted to 129
land had been divided by 74
land had been divided in 42
land had been divided up 236
land had been donated by 126
land had been donated to 130
land had been engulfed by 43
