lading drawn to the order 76
lady asked me the above 44
lady ceases to be cruel 53
lady dance on the slack 110
lady knelt on the chair 104
lady known to me under 58
lady known to the world 64
lady lived in the house 54
lady seated at the table 47
lady seated on the bench 51
lady sitting at my elbow 52
lady sitting at the table 105
lady sitting in the chair 86
lady sitting in the front 242
lady sitting on the bench 75
lady sitting on the floor 48
lady sitting on the porch 54
lady sitting on the right 55
lady staying at the hotel 100
lady staying in the hotel 71
lady staying in the house 234
lady stood in the shade 80
lady turns to the right 67
lady wants to be either 121
lady would be the first 44
laid about by the queen 82
laid aside as no longer 309
laid aside by the house 44
laid aside by the lords 134
laid aside in the first 42
laid aside in the hours 112
laid aside in the house 87
laid aside in the outer 59
laid aside on the grass 57
laid aside on the shelf 52
laid aside to be given 58
laid aside to be taken 42
laid claim to an equal 106
laid claim to it under 139
laid claim to no small 53
laid claim to the booty 116
laid claim to the chief 127
laid claim to the coast 120
laid claim to the crown 4339
laid claim to the duchy 785
laid claim to the first 366
laid claim to the glory 109
laid claim to the goods 102
laid claim to the honor 350
laid claim to the horse 187
laid claim to the house 102
laid claim to the kingdom 1170
laid claim to the lands 974
laid claim to the large 42
laid claim to the lofty 215
laid claim to the manor 86
laid claim to the merit 380
laid claim to the money 97
laid claim to the moral 106
laid claim to the place 205
laid claim to the power 442
laid claim to the prize 94
laid claim to the region 706
laid claim to the right 1071
laid claim to the royal 173
laid claim to the state 144
laid claim to the throne 4902
laid claim to the title 3514
laid claim to the whole 4000
laid claim to the world 113
laid close to the reader 51
laid close to the scalp 97
laid close to the water 70
laid flesh on the shore 41
laid hands on me first 48
laid hands on the child 129
laid hands on the first 165
laid hands on the goods 132
laid hands on the horse 46
laid hands on the money 125
laid hands on the newly 41
laid hands on the people 46
laid hands on the whole 137
laid hands on the woman 53
laid isaac on the altar 89
laid later in the season 115
laid money on the table 120
laid neatly on the floor 41
laid neatly on the table 48
laid siege to the alamo 329
laid siege to the chief 176
laid siege to the dutch 117
laid siege to the forts 96
laid siege to the greek 46
laid siege to the house 810
laid siege to the large 89
laid siege to the place 4795
laid siege to the roman 131
laid siege to the royal 120
laid siege to the small 374
laid siege to the strong 1327
laid siege to the tower 303
laid siege to the towns 88
laid siege to the walls 50
laid taxes on the people 57
laid waste by an enemy 83
laid waste by the cruel 58
laid waste by the danes 369
laid waste by the enemy 934
laid waste by the roman 53
laid waste by the scots 76
laid waste by the sword 70
laid waste by the turks 287
laid waste to the lands 444
laid waste to the region 149
laid waste to the whole 126
laid waste to the world 55
laid wreaths on the grave 90
laid wreaths on the tombs 64
lain awake in the night 207
lain staring at the ceiling 40
