lady performers pay nothing for 62
land acquisition and land use 131
land capability and land use 68
land encumbered with debt and 62
land management and land use 237
land settlement and land use 43
last assemblage had been but 64
last compliment was made for 52
last discovered that there was 98
last importance that these things 224
last recollecting his great age 53
last supposition was only too 48
leading characters are wise and 138
learn strategies for coping with 137
learn strategies for dealing with 159
learn strategies that help them 45
learn techniques for coping with 62
learn techniques for dealing with 109
lease agreements are such that 50
least constraint put upon her 256
least externally and among men 48
leave unfinished this work and 51
left unattended for more than 440
left unoccupied for more than 125
length confronted each other with 85
less aggressive than those who 171
less aggressive than those with 55
less attractive for those who 50
less attractive than those that 130
less attractive than those who 106
less attractive than those with 41
less blameworthy than those who 54
less celebrated for their wit 45
less celebrated than their own 80
less censurable than those who 56
less competition for food and 70
less competition for jobs and 42
less conclusive than those for 70
less consistent than those for 159
less convenient for those who 41
less delightful for having had 46
less dependable than those for 51
less difficulty than most men 51
less difficulty than those who 59
less distressed than those who 54
less enthusiastic than those who 50
less evanescent than their own 45
less experience than those who 45
less formidable than those that 58
less frequently and when they 53
less frequently than once each 401
less frequently than once per 316
less frequently than those for 58
less frequently than those that 289
less frequently than those who 484
less frequently than those with 292
less frequently than when they 67
less importance than other things 56
less importance than their own 42
less importance than those that 185
less importance than what they 108
less importance than what was 48
less impressive than those for 78
less impressive than those that 51
less influenced than those with 40
less influential than those who 57
less information than those who 46
less positively than those who 50
less prejudiced than those who 280
less preoccupied with their own 85
less productive per unit area 45
less productive than those that 142
less productive than those who 187
less productive than those with 86
less pronounced than those for 95
less pronounced than those that 92
less provocation than cain had 45
less remarkable for what they 216
less splendidly set forth than 40
less successful than those for 99
less successful than those that 351
less successful than those who 308
less successful than those with 338
less trustworthy than those who 61
less vulnerable than those who 64
life consistent with their own 100
life expectancy for those who 167
life expectancy for those with 105
life expectancy has more than 133
life expectancy than those who 172
life expectancy than those with 207
life expectancy was less than 739
life expectancy was more than 84
life expectancy was very low 64
life impossible for those who 80
like brightness and depth that 112
like strawberry ice cream and 47
line depreciation was used for 108
line procedures that save you 41
live separately with their own 51
live yourselves with pomp and 44
loss carryovers and other tax 119
lost characters being very apt 40
love bewildered them till they 376
love consistent with these things 46
