laboring or poorer classes from 46
ladies of fashion enliven their 60
latter is further divided into 343
latter to rescue himself from 56
leaders to foraging parties sent 46
leagues of lifted granite into 74
leakage of plasma protein into 62
learned the english language from 88
learned the english language very 60
learned to defend himself from 43
learned to derive pleasure from 62
learned to detach himself from 89
legacy of french colonial rule 73
legend of trajan brought back 44
leopard is watching against their 59
lessen the burden imposed upon 40
lesson is widely distant from 85
letter of credit differs from 46
letter of infamy wrought into 225
letter to edward everett hale 69
levels in normal infants aged 45
levels of income derived from 44
levels of income resulting from 51
levels of mental illness among 42
levels of muscle enzymes such 48
levels of public concern over 40
levels of public service into 59
levels of stress resulting from 66
levels of thyroid hormone have 52
levied on income derived from 250
lights of modern science have 47
likely to become evident when 53
likely to become popular among 73
likely to become popular when 45
likely to become steadily more 186
likely to commit suicide during 53
likely to commit suicide when 120
likely to depend largely upon 77
likely to derive benefit from 549
likely to differ depending upon 70
likely to differ sharply from 77
likely to elicit sympathy from 48
likely to forget anytime soon 48
likely to happen anytime soon 647
likely to happen because there 51
likely to obtain dominion over 78
likely to obtain support from 62
likely to retain control over 53
likely to suffer adverse health 68
listen to bitter language from 40
little by little evolved during 50
little by little swelled into 63
little in common besides their 293
little in common between such 164
little in common between their 158
little in common between these 687
little in common between those 69
little to choose between many 44
little to choose between most 47
little to choose between such 114
little to choose between their 334
little to choose between these 1247
little to choose between those 121
looked no farther forward into 65
losses by insuring vessels during 47
losses of income resulting from 55
lovers of german history will 45
