lactose intolerance and the milking 181
language development can be found 98
language maintenance and the ethnic 52
largely responsible for my writing 46
largely responsible for the above 43
largely responsible for the abuse 41
largely responsible for the action 134
largely responsible for the acute 55
largely responsible for the amazing 84
largely responsible for the appeal 43
largely responsible for the basic 90
largely responsible for the beauty 60
largely responsible for the black 44
largely responsible for the breaking 53
largely responsible for the broad 82
largely responsible for the calling 133
largely responsible for the change 739
largely responsible for the changing 148
largely responsible for the chaos 74
largely responsible for the child 179
largely responsible for the civil 122
largely responsible for the close 108
largely responsible for the closing 44
largely responsible for the color 111
largely responsible for the crime 51
largely responsible for the decay 149
largely responsible for the defeat 730
largely responsible for the delay 291
largely responsible for the draft 48
largely responsible for the ensuing 69
largely responsible for the evils 110
largely responsible for the false 87
largely responsible for the fatal 57
largely responsible for the feeling 171
largely responsible for the fiery 45
largely responsible for the final 558
largely responsible for the first 676
largely responsible for the flood 56
largely responsible for the framing 53
largely responsible for the gains 60
largely responsible for the gross 45
largely responsible for the group 55
largely responsible for the growing 507
largely responsible for the growth 4171
largely responsible for the human 47
largely responsible for the image 84
largely responsible for the index 40
largely responsible for the indian 120
largely responsible for the large 374
largely responsible for the later 296
largely responsible for the legal 55
largely responsible for the level 55
largely responsible for the local 77
largely responsible for the lower 142
largely responsible for the major 197
largely responsible for the moral 136
largely responsible for the nation 321
largely responsible for the notion 106
largely responsible for the onset 59
largely responsible for the opening 352
largely responsible for the panic 44
largely responsible for the party 86
largely responsible for the passing 273
largely responsible for the plans 65
largely responsible for the power 60
largely responsible for the price 61
largely responsible for the quick 61
largely responsible for the rapid 1691
largely responsible for the rather 76
largely responsible for the region 70
largely responsible for the repeal 57
largely responsible for the running 43
largely responsible for the sense 88
largely responsible for the setting 264
largely responsible for the shape 204
largely responsible for the shaping 116
largely responsible for the sharp 231
largely responsible for the shift 232
largely responsible for the short 48
largely responsible for the small 192
largely responsible for the smooth 112
largely responsible for the social 236
largely responsible for the speed 142
largely responsible for the split 155
largely responsible for the spread 1113
largely responsible for the state 701
largely responsible for the steady 191
largely responsible for the stock 43
largely responsible for the strong 225
largely responsible for the surge 77
largely responsible for the swift 59
largely responsible for the tardy 40
largely responsible for the terms 46
largely responsible for the tides 77
largely responsible for the total 147
largely responsible for the trade 95
largely responsible for the treaty 104
largely responsible for the trend 124
largely responsible for the unity 43
largely responsible for the vogue 117
largely responsible for the water 42
largely responsible for the white 41
largely responsible for the whole 376
largely responsible for the wording 54
largely responsible for the world 277
largely responsible for the worst 87
largely responsible for the writing 203
largest consumptive use of water 57
legally responsible for the child 1147
legally responsible for the crime 89
legally responsible for the debts 308
legally responsible for the money 44
legally responsible for the torts 60
legally responsible for the whole 130
liberal compensation for the wrongs 90
limited geographical area in which 249
limited intercourse with the world 141
limited partnership and the right 218
listening attentively for the first 42
logical construction out of sense 588
