lady i ever did see 48
lady i ever met with 79
lady i knew who had 47
lady i know who has 52
lady i seen you with 168
lady i will put you 58
lady i will see that 74
laid a bait for him 58
laid a bill for that 52
laid a cloth and set 53
laid a hand that was 70
laid a plan for her 49
laid a plan for his 194
laid a plot for her 72
laid a plot for his 117
laid a plot for that 43
laid a trap for both 49
laid a trap for her 459
laid a trap for him 1589
laid a trap for his 283
laid a trap for them 346
laid a trap for you 268
land a good job and 68
land a good job with 82
land a mile long and 109
land a wild cat that 47
land i will get you 55
lane a very long and 78
last a full day and 51
last a week and are 46
last a week and then 41
last i bade him leap 60
last i came out with 41
last i ever had with 95
last i ever pay you 138
last i ever saw him 77
last i have got rid 42
last i have got you 189
last i have met with 170
last i have not had 48
last i have not yet 70
last i heard him say 176
last i heard she had 99
last i heard she was 546
last i heard they had 78
last i heard was that 1247
last i knew she was 67
last i knew that she 66
last i made him out 86
last i made one that 747
last i made out that 225
last i told her she 75
last i told her that 171
last i told him that 459
last i told them that 76
last i told you that 455
last i went with him 40
late a great deal has 97
late a great deal too 49
late i have had him 41
late i have met with 111
laws i have met with 60
laying a cloth for two 45
laying a trap for her 207
laying a trap for him 650
laying a trap for his 72
laying a trap for them 209
laying a trap for you 202
lays a single egg and 104
lays a trap for him 81
leading a life that has 69
leading a life that was 402
learn a good deal and 108
learn a good deal not 40
learn a good deal that 279
learn a great deal and 851
learn a great deal both 79
learn a great deal but 81
learn a great deal for 87
learn a great deal not 204
learn a great deal that 1800
learn a great deal this 61
learn a great deal with 113
lease a lease that does 48
least a foot long and 124
least a full day and 72
least a full day for 67
least a full day with 46
least a full year and 47
least a half day for 62
least a lady who had 44
least a mark that his 55
least a mile each way 58
least a mile long and 59
least a month and that 46
least a month and then 75
least a month each year 189
least a page for each 44
least a sine qua non 41
least a size too big 167
least a week and that 121
least a week and then 138
least a week each year 42
least a week for this 79
least a week old and 45
least a yard long and 56
least i died for thee 201
least i feel that way 125
least i felt that she 40
least i felt that way 205
least i have met with 178
least i have not got 202
least i have not had 222
least i have not met 196
least i have not yet 211
least i hope she did 49
least i hope she does 52
least i hope that they 42
least i hope that this 59
least i hope that you 105
least i hope they are 214
least i hope they did 77
least i hope you are 209
least i hope you can 81
least i hope you did 66
least i knew now that 169
least i knew she was 151
least i knew that they 45
least i know not how 65
least i know now that 525
least i know now why 117
least i know that now 41
least i know that one 148
least i know that she 44
least i know that that 56
least i know that they 130
least i know that this 51
least i know that you 234
least i know they are 57
least i know why you 44
least i know you are 105
least i know you can 42
least i need not lie 159
least i thank you for 55
least i think she did 233
least i think she does 114
least i think she was 196
least i think that this 53
least i think that was 419
least i think they are 324
least i think they did 146
least i think this was 62
least i think you are 116
least i think you can 52
least i think you did 41
least i will not die 153
least i will not get 201
least i will not say 95
least i will try and 49
least i will try not 57
leave a card for each 47
leave a card for her 46
leave a card for him 91
leave a clear path for 91
leave a copy with him 104
leave a copy with you 40
leave a good job and 61
leave a good job for 49
leave a great deal for 146
leave a great deal out 257
leave a line for him 117
leave a note for her 1549
leave a note for him 804
leave a note for his 218
leave a note for may 78
leave a note for mom 109
leave a note for mrs 53
leave a note for them 114
leave a note for you 326
leave a pass for you 41
leave a very big gap 50
leave a warm bed and 58
leave a wife and two 95
leave i know not how 131
leave i will put this 103
leaving a clear path for 195
leaving a clear sky and 51
leaving a copy with any 56
leaving a copy with him 80
leaving a great deal out 42
leaving a note for her 287
leaving a note for him 146
leaving a note for his 265
leaving a note for you 60
leaving a note that read 61
leaving a note that she 72
leaving a very bad one 114
leaving a void that was 77
leaving a warm bed and 78
leaving a wife and one 580
leaving a wife and six 733
leaving a wife and son 105
leaving a wife and ten 81
leaving a wife and two 2353
leaving a will and has 66
leaving a wish for his 149
leaving a word for her 40
leaving a young son and 46
leaving i told him that 52
left a card for him 99
left a card for that 45
left a card for you 135
left a card with his 56
left a clear path for 59
left a copy with him 104
left a gift for you 41
left a good deal for 67
left a good deal out 103
left a good job and 73
left a good job with 66
left a great deal for 236
left a great deal out 111
