lack will soon be amply 44
lady came back in black 108
lady came down the steps 262
lady came into the store 120
lady coming down the steps 63
lady fell into the hands 169
lady have told me since 45
lady step into my house 53
lady went into the house 52
lady whom best he loved 108
lady whom best he loves 59
laid beds upon the floor 83
laid down along the coast 46
laid down along the lines 141
laid down among the rules 75
laid down during the final 53
laid down during the first 476
laid down during the later 74
laid down during the night 117
laid down during the period 825
laid down during the reign 77
laid down from the bench 298
laid down from the first 291
laid down from the start 436
laid down over the floor 42
laid down over the whole 306
laid down upon my books 77
laid down upon the altar 69
laid down upon the chart 134
laid down upon the drawing 48
laid down upon the floor 222
laid down upon the grass 80
laid down upon the paper 83
laid down upon the stone 50
laid down upon the table 421
laid down what it loved 100
laid down when the river 54
laid down will be found 284
laid flat upon the chest 46
laid flat upon the floor 123
laid flat upon the table 261
laid from left to right 128
laid hold upon the hearts 50
laid hold upon the horns 43
laid hold upon the people 48
laid hold upon the skirt 363
laid open from the front 200
laid open upon the table 67
laid their eggs in nests 56
laid their eggs in water 97
laid their eggs to hatch 46
laid their heads on every 40
laid there till he froze 77
lain down when the brute 60
lain flat upon the floor 43
lain heavy upon my hands 236
lain some time in irons 91
lain some time in state 58
lame dogs over the stile 59
lamp down upon the table 54
lamp hanging from the ceiling 4013
lamp hanging over the table 217
lamp hangs from the ceiling 190
lamp hangs over the table 61
lamp late into the night 57
lamp swinging from the ceiling 161
lamp swung from the ceiling 98
land away from the coast 84
land away from the house 96
land away from the indian 101
land away from the large 99
land away from the people 291
land away from the river 583
land away from the water 92
land back from the coast 47
land back from the river 290
land back into the hands 193
land came into the hands 509
land fall into the hands 327
land fell into the hands 1017
land gets into the hands 131
land held from the crown 398
land juts into the outer 52
land laid down as grass 114
land laid down in grass 45
land laid down to grass 276
land only when the water 99
land pass into the hands 194
land there also is still 40
land there were no women 142
land uses such as farming 111
land uses such as grazing 55
land uses such as housing 176
land went into the hands 108
land went into the house 73
land will ever be taken 112
land will rise in value 114
lane away from the house 88
lane leading from the house 156
lane leading from the landing 104
last been able to erect 44
last been able to sleep 99
last best gift of heaven 192
last breath upon the cross 45
last came into my hands 71
last came into the hands 76
last come home to roost 84
last come into the notion 40
last come like an armed 103
last come when he could 46
last coming into the field 55
last days will be found 53
last days will be spent 164
last deep breath of fresh 47
last deep into the night 46
last drop from the glass 48
last duty laid on strong 70
last even those of hesse 47
last exit from the stage 47
last fair drop of water 93
last fall into the hands 109
