laboratory possible 53 laboratory prepared 44
legislation possible 248 legislation possible 63
legislation required 294 legislation conflict 63
legislation provides 95 legislation colonies 43
legislation possible 56 legislation restrict 48
legislation practice 54 legislation practice 59
liabilities possible 43 lieutenant counties 64
likelihood majority 81 likelihood survival 81
likelihood increased 140 limitations possible 53
limitations provided 845 limitations required 50
literature possible 94 literature recreation 66
literature languages 82 literature provides 47
literature essential 94 literature provides 90
literature majority 43 literature enormous 50
localities cicerone 49 locomotive invention 104
