lack love and seek it 59
lack their own means of 143
lack what they need to 150
lady born and bred in 102
lady came and told me 40
lady came out from the 83
lady came out into the 55
lady came out upon the 87
lady gave her hand to 82
lady gave her name as 42
lady laid her hand on 112
lady rose and left the 41
lady rose and went to 42
lady took her leave of 42
lady took one look at 82
lady when she came to 95
lady when they were so 45
lady when you grow up 41
lady whom you used to 44
lady whom you wish to 79
lady will not have to 43
lady will not leave the 76
lady will not ride to 64
lady will now have no 88
lady will see such as 52
laid along each side of 147
laid along one side of 206
laid bare and open to 81
laid bare her heart to 65
laid bare his heart to 153
laid bare his soul in 49
laid bare his soul to 119
laid bare not only the 100
laid bare one side of 40
laid deep and sure in 85
laid deep and sure the 43
laid deep and wide the 55
laid down all along the 66
laid down all over the 139
laid down and died in 103
laid down and gone to 140
laid down and left to 48
laid down and must be 122
laid down and there is 150
laid down and went to 1598
laid down any rule of 44
laid down any rule to 62
laid down are such as 82
laid down are those of 49
laid down far from the 47
laid down for fixing the 95
laid down for making the 120
laid down for such an 102
laid down for sums of 72
laid down for those of 73
laid down for what is 67
laid down her arms at 40
laid down her arms in 99
laid down her arms of 50
laid down her arms on 113
laid down her book at 45
laid down her book to 87
laid down her life as 116
laid down her life in 290
laid down her life to 216
laid down her work at 70
laid down her work in 42
laid down her work to 85
laid down his arms as 57
laid down his arms at 706
laid down his arms he 47
laid down his arms in 362
laid down his arms my 72
laid down his arms on 200
laid down his arms or 327
laid down his arms to 170
laid down his book on 57
laid down his book to 56
laid down his code of 42
laid down his copy of 48
laid down his hand at 46
laid down his hand to 47
laid down his ideas on 106
laid down his life as 1553
laid down his life at 1375
laid down his life by 125
laid down his life in 7157
laid down his life of 274
laid down his life on 966
laid down his life so 287
laid down his life the 56
laid down his life to 1789
laid down his pipe as 283
laid down his pipe in 79
laid down his pipe on 55
laid down his pipe to 107
laid down his plan of 111
laid down his theory of 142
laid down his work in 56
laid down its arms at 421
laid down its arms in 344
laid down its arms on 224
laid down its arms to 70
laid down may also be 43
laid down may help to 50
laid down not only by 161
laid down not only in 114
laid down not only the 138
laid down not only to 40
laid down one upon the 78
laid down our arms at 45
laid down our line of 40
laid down that during the 114
laid down that even if 92
laid down that even in 56
laid down that even the 57
laid down that from the 50
laid down that half the 75
laid down that line of 72
laid down that none of 113
laid down that nothing in 71
laid down that once the 40
laid down that only in 64
laid down that only the 244
laid down that such an 66
laid down that there is 659
laid down that what is 51
laid down that when an 57
laid down that when the 428
laid down that will be 126
laid down this rule in 102
laid down this rule of 60
laid down with ague the 50
laid down with more or 40
laid eggs all over the 107
laid eggs are said to 43
laid from new york to 41
laid from one side to 65
laid here and there in 49
laid here and there on 58
laid high and safe on 52
laid more and more on 372
laid more than half of 60
laid open his heart to 138
laid open his mind to 45
laid open one side of 102
laid open they must be 76
laid over each other at 41
laid over each other in 268
laid over each other to 49
laid plan had come to 42
laid ready for work in 112
laid their all upon the 52
laid these out upon the 57
laid upon any part of 58
laid upon each other in 134
laid upon each side of 63
laid upon him amid the 80
laid upon him from the 69
laid upon him when he 88
laid upon his back in 120
laid upon his back on 155
laid upon his body as 82
laid upon his eyes to 55
laid upon his heart to 55
laid upon his soul at 154
laid upon his soul the 66
laid upon its neck by 53
laid upon one side of 76
laid upon that part of 92
laid upon this part of 78
laid upon this side of 46
laid what was left of 99
laid wide and deep the 42
lain down and died in 75
lain down and died of 59
lain down and died on 65
lain down and died the 46
lain down and gone to 262
lake till they came to 54
lamp from one side to 43
lamp held out over the 94
land along each side of 139
land along this part of 117
land body and soul to 149
land book and book of 48
land during his life by 63
land free and clear of 534
land from all over the 104
land from any part of 168
land from being sold or 41
land from being sold to 80
land from being used as 155
land from being used in 100
land from new york to 316
land from one body of 54
land from one crop to 45
land from one hand to 86
land from one part of 47
land from one part to 40
land from one pond to 54
land from one side of 97
land from one side to 50
land from that part of 107
land from that time to 51
land here and there in 306
land here and there to 41
land here had kept it 58
land here that will be 46
land just this side of 43
land juts out into the 489
land more than half the 42
land more than once in 351
land must not only be 126
land north and south of 1064
land north and west of 1523
land owes them only the 44
land rose and fell in 123
land runs out into the 121
land runs out like an 89
land shut off from the 105
land side and from the 65
land side was made as 50
land south and west of 856
land sown with wheat in 78
land there has been no 67
land there was nothing to 155
land till they came to 125
land upon any part of 198
land upon each side of 42
land upon this part of 49
land very far from the 188
land were not able to 129
land were not part of 43
land west and north of 395
land west and south of 430
land when they came to 152
land when they came up 105
land when they come to 172
land when they have no 44
land when they were in 159
land will not have to 53
land will not only be 77
lane leading off from the 54
lane till they came to 45
lane till you come to 40
lash back and forth in 53
last acts had been to 438
last baby was born in 61
last bird fly into the 127
last boat had left the 87
last boat that left the 91
last breath she meant to 86
last came out into the 189
last came out upon the 52
last came too late to 100
last case may also be 46
last cast for want of 82
last cast his eyes on 103
last cell you want to 126
last city had sunk in 40
last come out into the 117
last date and time of 48
last date and time the 124
last date for filing of 93
last date for filing the 272
last days and during the 44
last days are full of 97
last days are upon us 168
last days had been the 41
last days men will be 55
last drew him down on 68
last drop that made the 145
last echo was lost in 130
last fair was held in 44
last file you want to 108
last film was made in 40
last five per cent of 41
last four are said to 47
last from one hour to 472
last from one month to 232
last from one week to 624
last from ten days to 394
last from this play of 42
last from two days to 644
last full year prior to 136
last gasp and throb of 66
last gasp for want of 44
last gate was shut by 42
last gift they care to 42
last giving its name to 44
last great day when the 68
last great day will be 52
last hand was ready to 85
last hour has been in 41
last into our road as 43
last item that must be 40
last item you need to 59
last item you want to 89
last laid his hand on 87
last less than half an 183
last line but three is 58
last line can only be 42
last line you want to 56
last look out into the 43
last look out over the 133
last look she gave me 44
last lost all hope of 44
last lost his life by 49
last lost his life in 173
last month and said he 48
last month and told me 45
last month and will be 46
last month has been so 64
last month has been the 224
last more than five or 922
last more than five to 122
last more than four or 871
last more than four to 57
last more than half an 1815
last more than half of 51
last more than half the 126
last more than three or 1694
last more than three to 317
last name and date of 138
last nothing was left of 110
last nothing was left to 53
last odds and ends of 117
last odds and ends on 142
last page you want to 106
last part than from the 185
last peace had come to 41
last peace was made at 84
last peace was made in 54
last post had been as 50
last post had been in 46
last rail was laid at 58
last rail was laid in 117
last rail was laid on 140
last rope was fast he 55
last rose and left the 44
last scum and filth of 51
last seen each other at 247
last seen each other in 549
last seen each other on 129
last seen each other the 92
last seen going into the 120
last seen him during the 89
last seen him when he 292
last seen this part of 183
last shot was when he 53
last spring and gave us 42
last step you need to 69
last stop for many of 42
last teeth and just the 137
last term can also be 66
last there had been an 40
last there had been no 58
last there had come an 46
last there had come to 47
last there has been no 138
last there was hope of 52
last there was nothing in 108
last there was nothing to 576
last there was only the 169
last there was peace in 53
last there was time to 42
last three are from the 55
last three are part of 41
last three are said to 59
last three are used in 85
last three are used to 44
last three can only be 41
last time all three of 41
last time and came to 40
last time and left the 126
last time and went to 162
last time and when he 49
last time being when he 50
last time had been at 124
last time had been in 275
last time had been on 78
last time had been so 92
last time had been the 114
last time his name is 43
last time she came in 202
last time she came to 681
last time she came up 50
last time she felt so 221
last time she heard the 43
last time she left the 85
last time she rose on 40
last time she said it 47
last time she told me 76
last time she took the 55
last time she used it 107
last time she used the 46
last time she went in 93
last time she went on 103
last time she went to 602
last time she went up 56
last time she will be 58
last time she wore it 108
last time that ever he 316
last time that many of 75
last time that some of 52
last time that such an 120
last time that there is 56
last time they came in 85
last time they came to 232
last time they rode in 45
last time they took the 47
last time they used it 57
last time they used the 47
last time they went to 332
last time they were at 166
last time they were in 1791
