law differed from those of 49
law exempted from taking an 119
law forbidding these acts of 68
law requires some form of 53
lay fourteen days facing the 41
lay pillowed soft upon the 45
lay sprawled face down in 45
lay sprawled face down on 67
lay upstairs very sick in 44
lay yourself wide open to 46
lead attention away from the 155
lead directly away from the 205
lead students away from the 130
lean slightly away from the 136
led attention away from the 46
led directly away from the 212
led directly down into the 92
led straight away from the 74
led straight back into the 42
led straight down from the 65
led straight down into the 163
leg sideways flung over the 101
let business take care of 60
let children know what is 57
let children take part in 49
let everyone else know it 48
let everyone know what he 110
let everyone know what is 145
let everyone know what it 52
let everyone know what the 123
let everyone know what to 50
let everyone know what we 73
let everyone take care of 51
let judgment roll down as 278
let somebody else come in 89
let somebody else have it 65
let somebody else have the 132
let somebody else make the 77
let somebody else take it 70
let somebody else take the 263
let somebody take care of 49
let students know what is 113
let tomorrow take care of 2041
let yourself down from the 50
let yourself down into the 99
let yourself fall into the 334
let yourself fall prey to 42
let yourself sink into the 91
let yourself slip into the 56
lie detector test when he 121
long absences from home in 64
long absences from home on 96
long absences from home the 47
long awakened their love of 45
long corridor away from us 49
long corridor leading from the 159
long corridor leading into the 47
long distance away from it 83
long distance away from the 1360
long distance back from the 121
long distance call from my 69
long distance call from the 195
long distance from here to 72
long distance from home to 177
long distance from north to 67
long extension cord from the 43
long frizzled hair upon the 46
long garlands from tree to 70
long grizzled hair waving in 52
long journeys were made by 62
long journeys were made in 54
long observed those kind of 40
long speeches were made by 70
long speeches were made to 45
long stairway leading down to 42
long stationed there when he 43
long straight road leading to 59
long suffered from lack of 128
long suffered from want of 40
long tradition dating back at 58
long tradition dating back to 458
long tradition dating from the 53
long vacations away from the 71
low interest loan from the 81
low literacy rate among the 87
low pressure areas over the 95
low pressure cell over the 45
low pressure steam from the 98
low response rate from the 82
lying extended full length on 42
