lady amongst that band of 77
lady before she left the 86
lady buried her face in 75
lady called out from the 42
lady indeed was kind to 78
lady lifted her eyes to 40
lady played her part so 165
lady raised her eyes in 57
lady raised her eyes to 88
lady should not have to 94
lady should not want the 72
lady turned her back on 94
laid across each other at 99
laid across each other in 79
laid across each other on 65
laid across each other to 53
laid across this eden is 78
laid around and over the 75
laid before him during the 52
laid before him when he 90
laid before his eyes by 107
laid before our eyes in 52
laid before that body by 142
laid before that body in 48
laid before that body on 84
laid before that body the 182
laid before them what he 61
laid before you some of 220
laid before you when the 71
laid before you will be 43
laid beside his wife in 98
laid stress not only on 235
lain buried for ages in 46
lain fallow for three or 67
lake placed far amid the 57
lake showed how even the 50
lamp gushed out upon the 43
land around this city is 91
land before and during the 74
land before they reach the 43
land bridge that used to 44
land drains off into the 53
land except that held by 45
land forces that were to 62
land itself but also the 121
land itself had been the 42
land jutted out into the 175
land pointing out into the 41
land reform can only be 52
land reform had been the 83
land reform has been an 93
land reform has been the 299
land reform has been to 60
land reform was made in 41
land reform was part of 40
land reform was seen as 85
land rights are held by 59
land should for ever be 61
land should not only be 52
land spreading out from the 42
land sticking out into the 565
land survey was made in 60
land system has been in 46
land teemed with gold as 92
land tenure and lack of 72
land tenure and size of 155
land tenure can only be 42
land thrusting out into the 44
land tilled with just as 70
land values are high or 47
land values has been the 43
land warped and wrung to 61
land without any kind of 117
land without any means of 40
land without being able to 407
lane before she heard the 43
lane turned off from the 119
lass forgot her want of 51
last actions had been to 45
last anyone had heard of 78
last anyone had seen of 174
last anyone has seen of 49
last attack was made by 76
last attack was made on 177
last became too great to 65
last became too poor to 40
last census was held in 100
last chance for saving the 49
last chance you have to 240
last charge that will be 66
last closed his eyes in 102
last column you want to 50
last decade and there is 124
last decade and will be 44
last decade has been an 258
last decade has been as 95
last decade has been in 327
last decade has been of 63
last decade has been on 123
last decade has been so 88
last decade has been the 3959
last decade has been to 584
last decade has come to 46
last decade has made it 165
last decade has made the 73
last decade has seen an 1674
last decade has seen the 2568
last decade than during the 73
last decade that there is 55
last dollar and drop of 68
last edition had gone to 65
last effort had been to 60
last effort was made by 511
last effort was made in 124
last effort was made on 47
last effort was made to 987
last fiscal year prior to 67
last framed his work in 89
last guests had left the 58
last letter had been so 77
last letter has made me 111
last letter she sent me 115
last letter she told me 107
last letter was from the 105
last letter was full of 521
last letter was sent to 150
last letter you seem to 66
last letter you sent me 111
last letter you sent to 50
last letter you speak of 83
last letter you tell me 47
last letter you told me 57
last letter you urge me 63
last letter you will be 42
last masque they were so 60
last medici are among the 42
last melted him into so 60
last member now living of 96
last minute and have to 44
last minute and said he 42
last minute and says he 40
last minute and went to 43
last minute for lack of 40
last mission had been to 48
last moment and left the 65
last moment and save the 55
last moment has come to 40
last moment she clung to 43
last moment they will be 41
last moment was able to 65
last monday has been so 43
last object can only be 44
last offering was made by 53
last opened her eyes to 47
last opened his eyes to 307
last opened its eyes to 53
last person had left the 143
last person has left the 60
last person they want to 71
last person who came to 44
last person who held the 130
last person who knew the 53
last person who left the 293
last person who told me 47
last person who used it 66
last person who used the 76
last person with whom he 319
last person with whom the 77
last person you need to 75
last person you want to 459
last ramble with mary on 42
last reached his ideal of 51
last record read from the 60
last record that there is 58
