lace about her neck and 75
lack rather than what they 95
lady could not even bear 66
lady could not find any 41
lady could not move her 154
lady found that there was 41
lady might bring upon him 45
lady weeping and wringing her 51
lady would not give her 40
lady would not have had 65
lady would not lose her 47
lady would not lose him 71
laid about him like one 182
laid about this time for 70
laid after they were dug 46
laid alike for male and 51
laid aside all care for 50
laid aside for more than 115
laid aside her book and 211
laid aside her coat and 45
laid aside her sewing and 160
laid aside her veil and 93
laid aside her work and 300
laid aside his arms and 124
laid aside his book and 551
laid aside his coat and 331
laid aside his epic poem 48
laid aside his gown and 49
laid aside his leash and 40
laid aside his pipe and 387
laid aside his robe and 42
laid aside his spear and 40
laid aside his work and 196
laid aside his work for 45
laid plans for their own 95
laid waste our land and 50
laid waste with fire and 4540
laid where all must lie 151
lain awake and wept all 142
lake after that hour had 48
lake below was beating its 71
lake burning with fire and 1172
lake which has been fed 53
lake which now bears his 496
lamb chops with salt and 198
lamb shall lie down with 92
lamb which had made its 41
lamp which had gone out 41
land costs are high and 71
land cover and land use 3406
land flowing with milk and 63411
land flows with milk and 467
land holding and land use 231
land meets with mine and 40
land rather than work for 41
land under his feet and 56
land value and land use 212
land where all days are 67
land where all else was 55
land where its edge had 67
land where men call each 65
land where men were men 49
land where men will not 78
land where they have not 59
land where they live and 93
land where they were going 257
land where they were not 204
land where they were put 60
land where they will not 106
land where you live and 203
land which are used for 217
land which for more than 50
land which god gave them 58
land which had been but 41
land which had been cut 53
land which had been for 123
land which had been his 303
land which had been let 60
land which had been long 122
land which had been lying 80
land which had been put 64
land which had been set 629
land which had been thus 51
land which had been won 367
land which had cost him 45
land which had cost them 41
land which had gone out 218
land which had lost its 57
land which has been cut 124
land which has been for 155
land which has been let 114
land which has been long 181
land which has been lying 43
land which has been put 132
land which has been set 271
land which has been thus 49
land which has been won 64
land which has gone out 203
land which has lost its 89
land which his feet are 89
land which may suit him 74
land which they have not 225
land which they have won 72
land which they held and 46
land which they knew not 61
land which they know not 112
land which they made was 72
land which they rent out 54
land which they used for 147
land which they were not 264
land which was good for 43
land which was laid out 75
land which was more than 66
land which was once his 41
land which was sold for 51
land which was their own 88
land which was used for 506
land which you have not 187
land would not sell for 431
lane which they were then 71
last about one hour and 207
last about two years and 60
last author may have had 57
last braid and coil and 56
last broke out into this 55
last change was like that 45
last child and only son 112
last child was born and 113
last child was born she 42
last comet that made its 61
last evening had seen them 81
last evening that there was 52
last fight was over and 88
last getting too pale and 40
last group are those who 54
last guest had gone and 130
last guest had left and 89
last guinea with jack and 42
last hopes for peace and 151
last hours she threw off 103
last house for those who 41
last issue not less than 264
last judge how much they 93
last light had gone out 185
last light has gone out 45
last longer and give you 65
last longer and will not 142
last longer than those that 269
last longer than those who 66
last longer than those with 72
last makes him pass six 81
last meeting had been read 71
last meeting that venn had 51
last months had made her 45
last night and early this 547
last night and gave her 51
last night and gave him 93
last night and have had 83
last night and have not 171
last night and heard you 43
last night and hurt his 65
last night and just now 71
last night and left him 52
last night and left this 45
last night and said she 257
last night and said that 739
last night and said they 91
last night and said you 165
last night and there are 74
last night and there was 446
last night and told her 411
last night and told him 642
last night and told them 134
last night and told you 47
last night and took him 45
last night and went out 124
last night and were not 45
last night and what had 55
last night and what they 43
last night and what you 99
last night and will not 100
last night any more than 46
last night but there was 176
last night had been all 98
last night had been for 46
last night had been her 65
last night had been his 54
last night had been one 78
last night had been real 141
last night had been that 42
last night had been too 62
last night had left her 69
last night had left him 65
last night had made her 102
last night had made him 57
last night had seen that 40
last night she said she 81
last night she said that 45
last night she told them 47
last night that hurt his 51
last night that made you 72
last night that there are 84
last night that there had 102
last night that there was 537
last night that when you 74
last night they were all 154
last night they were going 44
last night too late for 50
last night was more than 123
last night you said that 259
last night you said you 221
last night you were going 137
last night you were not 115
last night you were with 175
last night you will see 46
last pages are even now 215
last penny they owed her 44
last place that held out 63
last place you look for 65
last raise her eyes and 47
last scene with dino was 62
last shock had been too 45
