lackey and 42 lacunae and 40
ladder off 50 ladder for 60
ladies for 54 ladies that 112
ladies him 76 ladies than 77
ladies sit 41 ladies for 84
lament all 83 lancet his 58
larger and 175 larger and 55
larger you 45 larger for 40
larger and 65 larger and 116
larger can 76 larger for 97
larger for 415 larger are 48
larger for 137 lashed her 121
lashed him 192 lashed her 128
lashed him 109 lasted and 63
lately you 73 latent and 68
latest that 43 latter his 42
latter with 83 latter his 121
latter long 109 latter with 82
latter one 52 latter that 42
latter than 42 latter you 41
latter for 59 latter and 46
latter was 42 latter had 46
latter all 131 latter than 51
latter its 63 lauded and 42
lawful can 57 lawful who 49
lawful being 197 lawful not 421
lawful who 1601 lawyer and 48
lawyer are 117 lawyer may 52
lawyer say 88 lawyer man 48
lawyer out 82 lawyer them 47
lawyer with 44 lawyer that 82
lawyer this 570 lawyer him 100
lawyer for 63 lawyer with 128
lawyer for 299 lawyer his 62
lawyer with 211 lawyer that 209
lawyer for 96 lawyer with 71
layers off 353 layman that 45
leaders that 57 leaders this 79
leaders see 40 leaders that 89
leaders how 52 leaders that 506
leaders was 43 leaders and 58
leaders not 231 leaders for 49
leaders for 67 leaders out 48
leaders for 159 leaders with 54
leaders him 92 leaders him 49
leaders for 67 leaders with 145
leafage his 99 leagued sir 57
learned that 107 learned this 54
learned for 75 learned and 56
learned man 100 learned had 190
learned was 151 learned had 46
learned had 42 learned had 81
learned was 80 learned had 129
learned was 104 learned had 179
learned was 124 learned and 64
learned had 661 learned was 492
learned had 73 learned had 75
learned son 104 learned had 213
learned was 188 learned had 46
learned and 82 learned had 533
learned was 286 learned was 69
learned had 41 learned had 166
learned was 125 learned had 123
learned was 43 learned had 88
learned had 46 learned had 241
learned was 153 learned had 67
learned has 40 learned not 188
learned are 41 learned had 70
learned not 58 learned for 42
learned had 45 learned not 150
learned was 41 learned was 84
learned had 44 learned was 54
learned not 385 learned was 101
learned them 48 lender this 46
leopard his 163 leopard its 117
leopard his 335 leopard its 122
lesbian and 154 lesbian and 326
lesbian are 189 lesbian has 130
lesbian and 673 lesbian are 304
lesbian has 180 lesbian that 78
lesbian was 52 lesbian than 50
lesions than 72 lesions than 114
lesson that 89 lesson was 44
lesson him 82 lesson with 114
lesson not 119 lesson not 71
lesson not 40 lesson was 40
lesson its 83 letter that 277
letter any 91 letter that 166
letter with 61 letter any 56
letter that 109 letter and 40
letter her 91 letter him 252
letter its 68 letter you 58
letter her 48 letter him 65
letter you 200 letter had 50
letter her 48 letter him 83
letter him 103 letter this 107
letter not 66 letter its 120
levels are 43 levels than 140
levels for 48 levels that 137
levels than 53 levels for 74
levels for 56 levels than 48
levels and 73 levels are 80
levels than 47 levels than 230
levels than 1591 levels for 51
levels for 75 levity his 48
lifted her 42 lifted her 98
lifted her 438 lifted her 66
lifted her 70 lifted her 71
lifted and 81 lifted and 53
lifted and 318 lifted and 55
lifted him 180 lifted him 82
lifted her 54 lifted and 48
lifted and 73 lifted and 384
lifted her 50 lifted hat 49
lifted and 48 lights off 135
lights off 46 lights for 46
lights for 51 lights them 44
likely that 107 likely that 115
likely them 45 likely lie 48
likely aim 90 likely had 42
likely was 54 likely was 47
likely was 90 likely was 56
likely was 72 likely was 170
likely was 62 likely was 63
likely was 45 lilies they 131
limits easy 60 limits for 64
limits him 45 limits and 41
linguist does 76 linked his 50
linked her 363 linked his 2284
linked that 45 linked his 72
linked that 64 linked that 48
linked and 1410 linked than 46
linked that 141 linked and 149
liquid and 250 liquid are 854
liquid can 202 liquid are 47
liquid this 41 liquid off 137
liquor and 45 liquor them 71
listen they 42 listen that 171
litter are 41 little and 70
little but 43 little not 96
little was 69 little for 50
little for 52 little and 51
little him 42 little him 79
little off 182 little jan 58
little dead 41 little with 50
little her 52 little his 58
little her 54 little his 53
little with 159 little his 58
little for 92 little that 296
little that 805 little that 76
little men 42 little and 53
little his 41 little may 106
little his 49 little out 54
little with 50 little things 163
little her 70 little had 76
little new 91 little out 50
little that 45 little not 108
little for 144 little they 65
little who 99 little and 99
livery any 53 llamas and 61
loaded and 43 loaded and 180
loaded and 62 loaded and 52
loaded and 203 loaded and 87
loaded and 45 loaded and 155
loaded and 59 loaded and 91
loadings are 61 loaves and 219
loaves fed 61 loaves that 71
loaves with 58 locked moth 75
locked his 50 locked her 110
locked her 54 locked out 163
locket her 93 lodged than 137
lonely and 40 lonely and 45
lonely him 53 looked and 56
looked for 75 looked for 86
looked for 59 looked man 52
looked and 53 looked with 41
looked for 52 looked for 48
looked for 58 looked now 117
looked him 146 looked one 526
looked and 843 looked one 46
looked and 1270 looked for 49
looked one 62 looked and 46
looked and 67 looked and 41
looked they 55 looped her 40
looped his 251 looped her 127
looped his 1057 looped her 534
looped her 78 looped his 47
losses than 84 losses than 61
losses with 61 losses than 140
