law court therefore does not 62
law which connects any two 56
law which declared that all 42
law which includes them all 84
law which provided that all 152
law which provided that any 130
law which provided that one 43
law which provided that they 43
law which provides for its 41
law which provides that all 110
law which provides that any 80
law which punished with death 104
law which required that all 174
law which required that they 41
law which requires that all 220
law which subsumes them all 49
leaf water potential and leaf 221
leg still troubles him and 60
leg still unfitted him for 82
let alone yourself and not 94
let drive suddenly with his 89
let loose energies now hid 128
long after darkness had set 140
long after midnight her key 84
long since departed this earth 102
long since finished his new 87
long since forgiven her for 101
long since forgiven him for 320
long since forgiven him his 42
long since observed that you 53
long while scratching his head 73
lot about yourself and how 53
low blood pressure and low 284
low blood pressure and may 49
low blood pressure and was 44
low level compared with that 99
low power distance and low 85
low vapor pressure and can 44
low vapor pressure and its 53
low vapor pressure and low 133
