lad lies that once was 43
lap over each other and 208
lav down his life for 89
law came and heard them 122
law dealing with such things 45
law deals not only with 82
law firm are such that 77
law firm was sued for 196
law firm with more than 151
law firm you work for 42
law have not been met 67
law held that there was 60
law like any other law 58
law means that there are 70
law meant that there was 57
law null and void and 125
law only for those who 57
law only with other men 73
law other than their own 228
law rule for more than 47
law rule has been that 118
law rule that there can 66
law said that there was 41
law says that there are 51
law says that those who 44
law says that when two 47
law says that when you 72
law says you must not 83
law take not from thee 156
law taking his case out 59
law there are only two 97
law there are very few 42
law there was only one 114
law when they made him 44
law when they were not 42
law will not give him 111
law will not help her 40
law will not help him 104
law will not help you 93
law will not hold him 94
law will not lend its 353
law will not reach them 47
law will yet have its 48
lay ahead for those who 134
lay along her back was 314
lay back and shut her 124
lay back and shut his 168
lay back and wait for 130
lay bare his heart and 42
lay bare his holy arm 138
lay down and died and 47
lay down and died with 129
lay down and drew her 54
lay down and drew his 53
lay down and play dead 148
lay down and plot any 49
lay down and rest for 81
lay down and shut her 84
lay down and shut his 260
lay down and soon was 49
lay down and took her 43
lay down and wait for 54
lay down and went off 44
lay down and when she 66
lay down and when they 92
lay down any hard and 3700
lay down any laws for 84
lay down any plan for 57
lay down any rule for 582
lay down any rule that 308
lay down any rule with 41
lay down bis life for 49
lay down for good and 47
lay down for their own 136
lay down her arms and 491
lay down her book and 40
lay down her life for 3729
lay down her sewing and 52
lay down her work and 78
lay down his arms and 2682
lay down his arms for 125
lay down his arms with 170
lay down his body and 74
lay down his book and 146
lay down his cane and 59
lay down his fork and 77
lay down his life and 1604
lay down his life but 112
lay down his life for 81402
lay down his life than 108
lay down his life that 410
lay down his life was 42
lay down his life with 145
lay down his pipe and 130
lay down his soul for 91
lay down his weary head 58
lay down his wife for 126
lay down his work and 100
lay down its arms and 2125
lay down its life for 345
lay down new bone and 53
lay down nor when she 64
lay down one rule for 229
lay down our arms and 2011
lay down our guns and 40
lay down our heads for 56
lay down our life for 633
lay down that there are 61
lay down this book and 85
lay down this book with 42
lay down this rule for 123
lay down with dogs you 42
lay eggs with very thin 46
lay facing each other and 44
lay facing each other for 146
lay here and there and 61
lay here and there with 44
lay more and more with 49
lay once you were dead 106
lay open her self and 105
lay over this vast and 69
lay some way there for 63
lay their ears back and 153
lay there and held her 43
lay there and wait for 109
lay there for more than 200
lay these things down for 43
lay upon her back and 55
lay upon her back with 59
lay upon her eyes and 50
lay upon his back and 471
lay upon his back with 189
lay upon his sick bed 54
lay upon its side with 88
lay upon man more than 204
lay upon our arms all 83
lay upon them more than 50
lay wait for their own 236
lay when she took his 45
lay your head back and 68
lay your head down and 46
lay your head upon its 63
lead into all truth and 46
lead into each other and 110
lead their own life and 89
lead those who have not 113
lead those who were not 43
lead time and length bias 168
lead upon each foot and 82
lead when they were not 180
lead your own life and 84
leaf from her hair and 54
leaf from his book and 98
leaf mass per unit area 330
leaf spot and root rot 60
leaf spot and stem rot 137
lean back and shut his 51
lean back and wait for 120
lean down and give her 44
lean down and kiss her 1014
lean down and kiss him 202
lean down and kiss his 141
lean into each other and 51
lean over and give her 171
lean over and give him 140
lean over and kiss her 2030
lean over and kiss him 968
lean over and kiss his 257
lean over and kiss you 48
lean over his desk and 96
lean upon each other for 46
lean your head back and 268
leap from his desk and 58
leap from his hams with 58
leap into her eyes and 41
leap into his arms and 215
leap into his eyes and 42
leap onto his back and 45
leap upon her young one 159
led back his army and 44
led into all truth and 84
led into each other and 66
led into this very long 44
led those who knew him 104
led those who were then 58
leg back and forth and 43
leg over her back and 66
leg over his back and 83
leg over his bike and 88
leg over his body and 46
leg over his hips and 78
