lasted nights 222 latter course 59
lawful person 137 legend uncouth 45
letter brother 72 limped walked 65
little taught 103 little flower 85
little sinned 67 little another 209
little spared 42 little enmity 41
little dwelling 40 little master 70
little source 51 little another 1867
little circle 53 little peeped 52
little pocket 264 little speech 62
little passes 49 loaded pocket 42
looked friend 71 looked imposing 107
looked anxious 139 looked nodded 51
looked walked 125 looked friend 54
looked another 47 looked brother 76
looked pallid 41 lowering clothes 43
