lace at neck and sleeves 75
lack of care and concern 681
lack of care and respect 181
lack of care and support 106
lack of care for himself 46
lack of caring and concern 71
lack of caring and respect 47
lack of cheap and reliable 81
lack of clear and concise 54
lack of clear and precise 245
lack of data and because 193
lack of data and research 166
lack of data for certain 113
lack of data with respect 105
lack of faith and courage 184
lack of food and because 41
lack of food and general 107
lack of food and medical 886
lack of food and raiment 54
lack of food and shelter 1731
lack of food but because 76
lack of food was beginning 41
lack of full and repeated 51
lack of good and reliable 46
lack of grip and control 60
lack of grit and stamina 83
lack of health and medical 73
lack of help and support 201
lack of hope and impulse 81
lack of land and capital 155
lack of land and natural 88
lack of life and sparkle 103
lack of love and charity 214
lack of love and concern 317
lack of love and loyalty 53
lack of love and nurturing 63
lack of love and respect 607
lack of love and support 280
lack of love and sympathy 148
lack of love for himself 43
lack of meaning and purpose 771
lack of peace and harmony 50
lack of plan and purpose 53
lack of shoes and stockings 45
lack of tact and sympathy 55
lack of theory and research 154
lack of these two factors 43
lack of time and ability 139
lack of time and because 542
lack of time and leisure 124
lack of time and limited 40
lack of time and material 111
lack of time and privacy 91
lack of time and support 166
lack of time but because 93
lack of time for careful 45
lack of time for leisure 171
lack of time for oneself 45
lack of time for research 208
lack of time for teachers 87
lack of trying but because 93
lack of what may roughly 42
lack of will and ability 72
lack of will and courage 62
lack of will and purpose 62
lack of will but because 87
lack of wind they tarried 227
lack the will and ability 81
lady is tall and elegant 50
lady is when she applies 49
lady of birth and fortune 303
lady of birth and position 68
lady of means and position 56
lady of rank and fortune 717
lady of rank was happily 62
lady of wealth and culture 65
lady of wealth and position 276
lady to come and propose 41
lady to other and humbler 45
lady to town and because 77
lady to whom she alluded 41
lady to whom they belonged 52
lady to whom this artless 41
laid by line and plummet 52
laid in heaps and covered 40
laid it down for himself 56
laid it down that certain 42
laid it down that everything 50
laid it upon his forehead 56
laid no plan for extending 62
laid on beds and couches 98
laid to heart and carried 71
laid to rest with dignity 54
lake of fire for eternal 45
lamb or calf was exposed 45
land as their own private 75
land at their own expense 195
land by their own efforts 51
land in arid and semiarid 85
land in lots and streets 42
land in sheol and welcome 124
land in their own country 750
land in their own village 102
land in town and country 351
land is cheap and fertile 70
land is flat and covered 56
land is flat and fertile 101
land is good and fertile 73
land is great and fertile 44
land is held and managed 44
land is rich and fertile 343
land is used and managed 55
land is used for pasture 424
land is used for pasturing 56
land is used for producing 66
land is worth one hundred 67
land of gold and diamonds 131
land of gold and precious 114
land of hope and freedom 191
land of hope and promise 1192
land of india and control 75
land of joys and passions 53
land of life and liberty 44
land of love and liberty 60
land of love and romance 75
land of myths and legends 71
land of nothing and nirvana 72
land of peace and freedom 304
land of peace and harmony 110
land of peace and justice 58
land of peace and liberty 125
land of peace and promise 56
land of poets and thinkers 988
land of rama and krishna 52
land of their own country 74
land of wealth and freedom 94
land of wealth and promise 46
land of youth and freedom 278
land on their own account 2132
land or land and buildings 203
land the sick and wounded 49
land to farm for himself 41
land to make one convert 115
land to meet her revolting 44
land to rise and connect 42
land to seek his fortune 96
land to their own country 92
land to view and inspect 59
land to work for himself 107
land to yearn for bridals 41
lash the wind are equally 89
last at least for several 143
last at least one hundred 93
last at least ten minutes 151
last at peace with himself 49
last he gave his consent 158
last he lost all control 42
last he made his decision 113
last he meant his omission 46
last he rose with ghastly 55
last he threw his lantern 321
last he took his courage 41
last in their own country 70
last no more than fifteen 280
last no more than several 62
last of these are perhaps 52
last of these two clauses 128
last of these two motives 58
last of these was founded 42
last of these was perhaps 57
last of these was unknown 50
last of these was written 239
last the aged read himself 49
last the fact that shadows 70
last the great day arrived 768
last the great man appeared 49
last the rain had stopped 50
last the sack was knocked 97
last the thread was snapped 58
last the time had arrived 163
last the time has arrived 98
last to find that success 76
last to hold out against 226
last to think they deserve 49
last we find him extolling 87
last we rose and dressed 65
last we were all obliged 119
last we were all together 130
late by your own counsel 41
late in life and against 43
late in life can witness 51
late in life had married 100
late in life she married 42
late in making any payment 238
late the girl had avoided 49
late to hope for success 83
late to make any attempt 169
late to save his marriage 60
late to take any remedial 42
late to warn you against 81
late to your own funeral 111
laws by their own example 85
laws in their own country 170
laws in their own language 49
laws in your own country 46
laws of health and hygiene 752
laws of health are beginning 49
laws of life and conduct 55
laws of life and society 53
laws of love and justice 70
laws of mass and balance 46
laws of pain and pleasure 238
laws of past and present 62
laws of soil and climate 55
laws of their new country 76
laws of their own adoption 52
laws of their own country 3726
laws of their own natures 129
laws of their own religion 106
laws of their own society 57
laws of their own twisted 44
laws of these new effects 50
laws of these two aspects 71
laws of time and harmony 40
laws of truth and honesty 56
laws of truth and justice 523
laws of your own country 227
laws to make them conform 91
laws to their own benefit 46
laying it upon her husband 134
lays the rain has brought 48
lazy to fish for himself 352
leading an idle and useless 43
leading to fame and fortune 98
leading to less than optimal 119
leading to nothing and profiting 57
leading to their own country 67
leads to drug and alcohol 46
leads to fame and fortune 267
leads to less than optimal 398
leads to less than optimum 72
leads to love and marriage 44
leads to mania and dementia 45
leads to nothing but failure 58
leads to nothing but trouble 181
leads to pain and suffering 180
leads to peace and harmony 53
leads to these and certain 83
leads to these bad results 163
leads us into this mistake 169
leads us into this psychic 45
learn at least one foreign 232
learn at least one language 143
learn at least two foreign 63
learn at their own expense 73
learn by their own efforts 96
learn by trial and success 41
learn in their own language 235
learn it from dan himself 48
learn it from our parents 47
learn of what was happening 63
learn the laws and customs 97
learn the meaning and purpose 43
learn the name and address 108
learn the name and location 63
learn the truth and endeavor 56
learn the truth for herself 46
learn the truth for himself 150
learn the ways and customs 56
learn the ways and language 45
learn to bend his passions 55
learn to care for animals 49
learn to care for herself 115
learn to care for himself 229
learn to cook for himself 41
learn to cope with anxiety 115
learn to cope with chronic 49
learn to cope with failure 96
learn to feel and express 67
learn to feel and respect 337
learn to fend for herself 146
learn to fend for himself 312
learn to gaze and shudder 71
learn to give and receive 798
learn to hate and despise 49
learn to keep his balance 41
learn to keep his thoughts 43
learn to keep old treaties 43
learn to keep our balance 46
learn to know and believe 40
learn to know and respect 640
learn to know our brethren 49
learn to know our parents 55
learn to like and dislike 117
learn to like and respect 252
learn to like our animals 79
learn to live and function 67
learn to live and survive 63
learn to live with because 48
learn to live with certain 89
learn to live with chronic 127
learn to live with diabetes 52
learn to live with failure 73
learn to live with fretful 81
learn to live with himself 264
learn to live with illness 101
learn to live with mystery 47
learn to live with paradox 54
learn to live with violence 44
learn to look for certain 66
learn to love and cherish 112
learn to love and forgive 146
learn to love and nurture 105
learn to love and protect 54
learn to love and respect 1824
learn to love and worship 105
learn to love her husband 191
learn to love our enemies 217
learn to make eye contact 78
learn to make new friends 77
learn to obey and respect 60
learn to send and receive 142
learn to speak any language 166
learn to speak his language 99
learn to speak its language 180
learn to speak one language 67
learn to speak our language 478
learn to speak that language 136
learn to speak this language 111
learn to take for granted 539
learn to think and express 161
learn to think for herself 189
learn to think for himself 808
learn to think for oneself 84
