labels with the names and 89
labors and the class that 84
lacked both the force and 47
lacked both the funds and 74
lacked both the money and 132
lacked both the power and 275
lacked both the skill and 146
lacked both the staff and 45
lacked both the vision and 44
ladies and the brave old 56
ladies are in every way 68
ladies with me would not 40
ladies with my words and 154
ladles are as grand and 151
lament that he could not 446
lament that we shall not 73
landed and the house was 46
landed than he found that 191
languid and the lower lip 52
larger and in every way 91
larger and the small man 150
larger area of which they 45
larger idea of space than 105
larger one in which they 57
larger set of people who 47
larger set of social and 97
larger sum of money and 72
larger sum of money for 285
larger sum of money may 143
larger sum of money than 1590
larger sum of money was 134
larger than an orange and 47
larger than he could pay 170
larger than he really was 329
larger than is usual for 201
larger than is usual with 72
larger than it really was 2118
larger than the black and 40
larger than the black bear 46
larger than the black one 144
larger than the cards you 93
larger than the crowd that 41
larger than the error mean 219
larger than the first and 1047
larger than the first but 95
larger than the first one 2422
larger than the first set 48
larger than the first that 47
larger than the first two 1030
larger than the force that 103
larger than the fourth and 43
larger than the frame and 50
larger than the front one 209
larger than the given one 92
larger than the group that 183
larger than the house fly 372
larger than the human eye 93
larger than the human head 64
larger than the image area 71
larger than the image that 45
larger than the inner and 60
larger than the inner one 234
larger than the laser beam 79
larger than the limit for 43
larger than the local one 99
larger than the lower and 140
larger than the lower but 61
larger than the lower one 757
larger than the males and 454
larger than the medial one 129
larger than the median and 225
larger than the median for 66
larger than the milky way 474
larger than the opening and 81
larger than the others and 4016
larger than the others but 150
larger than the others for 46
larger than the others that 326
larger than the others with 68
larger than the outer one 128
larger than the paper you 80
larger than the people who 72
larger than the pores are 52
larger than the quilt top 878
larger than the rates for 41
larger than the right and 579
larger than the right but 52
larger than the right one 593
larger than the small one 160
larger than the sound one 42
larger than the space that 132
larger than the space they 66
larger than the total area 352
larger than the total for 242
larger than the total sum 55
larger than the upper and 119
larger than the upper end 60
larger than the upper one 592
larger than the usual one 202
larger than the usual run 98
larger than the value for 812
larger than the value that 247
larger than the value you 47
larger than the violin and 102
larger than the white man 52
larger than the white one 93
larger than the whole area 114
larger than the whole earth 717
larger than the world had 49
larger things to which you 268
lashed out at people who 41
lashed out in agony and 41
lashes are the herbs that 141
lasses they eat every day 73
lasted for no longer than 146
lasted for the first few 54
lasted for the first two 180
lasted for the whole day 93
lately set up within this 96
lately that he could not 56
latent heat is given off 105
latent heat is given out 220
latent heat of fusion and 1416
latent heat of fusion are 73
latent heat of fusion being 71
latent heat of fusion can 98
latent heat of fusion for 728
latent heat of fusion has 96
latent heat of fusion may 87
latent heat of fusion per 474
latent heat of fusion than 47
latent heat of fusion that 116
latent heat of fusion was 69
latent heat of fusion with 47
latent heat of melting and 297
latent heat of melting for 141
latent heat of melting ice 161
latent heat of melting per 87
latent heat of water and 131
latent heat of water was 42
latter act the people are 47
latter are so small that 116
latter are the basis for 64
latter are the finer and 91
latter are the people who 213
latter bear to white men 40
latter being the basis and 46
latter being the basis for 72
latter being the reason for 44
latter both the light and 55
latter can be easily and 52
latter can be ruled out 296
latter end be worse than 90
latter end is worse for 81
latter end is worse than 315
latter end is worse with 1283
latter end of april and 209
latter end of april they 82
latter end of henry iii 91
latter end of henry vii 46
