lady had dropped her purse 62
lady was brought out faint 76
lady who presses her cheek 40
lady who visited his mother 41
laid for himself and staff 54
laid out gardens and built 65
laid out streets and built 54
laid them against her cheek 55
lake was covered with boats 44
lake was covered with canoes 239
lake was covered with mists 53
lake was covered with water 44
lake was covered with white 42
lake was crowded with canoes 88
lake was stocked with trout 94
lamp was trimmed and burning 142
land all covered with trees 135
land and buildings and money 89
land and buildings and plant 146
land and buildings are often 42
land and buildings are owned 81
land and buildings are taxed 145
land and buildings for housing 44
land and buildings for which 115
land and capital are fixed 89
land and capital are owned 263
land and capital with which 65
land and everything that grows 45
land but account for nearly 46
land for freedom and found 44
land for himself and others 64
land for pasture and crops 40
land for schools and parks 86
land may confirm them still 103
land not covered with water 44
land not exceeding ten acres 116
land not exceeding two acres 378
land not planted nor known 46
land one hundred and fifty 272
land one hundred and thirty 140
land put together are equal 134
land two hundred and fifty 155
land two hundred men under 60
land was covered with dense 188
land was covered with frogs 55
land was covered with grass 127
land was covered with green 48
land was covered with large 50
land was covered with towns 101
land was covered with trees 264
land was covered with water 395
land was covered with woods 67
land was defiled with blood 109
land was deluged with blood 61
land was fertile and water 41
land was planted with vines 60
last all becomes one scene 90
last and clapped her hands 42
last few decades and which 64
last few decades has given 42
last few decades has grown 61
last few decades has shown 255
last few decades has taken 42
last few minutes had never 42
last man deposit his block 43
last one hundred and fifty 12431
last one hundred and forty 415
last one hundred and sixty 398
last one hundred and thirty 800
last ten minutes has ceased 138
last two columns are based 48
last two columns are equal 42
last two columns are given 103
last two decades and today 87
last two decades and which 127
last two decades are shown 47
last two decades has given 109
last two decades has shown 497
last two decades has taken 69
last two hundred and fifty 5401
last two hundred and forty 75
last two hundred and sixty 170
last two hundred and thirty 133
last two thoracic and first 137
last was deposed and ended 43
last with dignity and grace 51
laws and customs are based 72
laws and customs are often 50
laws and customs are still 41
laws and customs that would 55
laws and customs with which 95
laws and federal and state 130
laws and lawyers are evils 61
laws and providing for right 63
laws deal equally with every 50
laws for effecting them would 69
laying off workers and closing 172
laying off workers and cutting 83
laying out gardens and parks 93
leaks and impacts with small 128
leaning for support and finding 123
learn any language with equal 72
least one article per issue 77
least one hundred and eight 240
least one hundred and fifty 16420
least one hundred and forty 899
least one hundred and sixty 1602
least one hundred and thirty 2124
least one thousand and fifty 109
least one thousand old birds 45
least one witness who shall 108
least six hundred and fifty 270
least six hundred and forty 42
least six hundred and sixty 43
least ten dollars for every 59
least two dollars for every 47
least two factors that could 47
least two factors that might 54
