lady scarce 58 lady spoken 49
laid tended 69 lake streams 82
lamp butter 66 lamp created 84
land should 90 land planning 63
land planning 1461 land policy 130
land system 56 land broken 129
lane thicket 70 last called 58
laws obeyed 48 leading soured 54
lease accruing 45 leave chirping 80
leaving behind 43 left parked 103
left detail 91 left factor 50
left troops 56 less merits 40
less shares 78 less number 62
less amount 88 less places 70
less crowns 42 less copies 70
less before 514 less earlier 136
less thought 111 life should 43
life toward 72 life career 97
life methods 100 life system 70
life itself 67 life itself 112
life talent 50 life reality 60
life without 45 life joyous 110
life course 118 life series 287
life degree 69 like artist 81
like follow 56 like entering 60
like bitter 48 like something 41
like should 71 like called 108
like needed 43 line itself 41
line across 44 line itself 45
lining lilies 147 live parent 50
living except 56 living parent 129
look abroad 87 look without 111
look comply 116 look piteous 58
look divine 55 losing except 54
loud cheering 94 love toward 47
love simple 115 love family 64
