label the columns and rows 183
labor as degrading has very 49
labor in america has been 96
labor in exchange for food 104
labor in exchange for room 42
labor in exchange for their 162
labor in general has been 44
labor is cheapest and most 70
labor is claimed had been 87
labor of husband and wife 81
labor or expense has been 126
labor or material has been 45
labor to compete with free 46
labor to produce one unit 143
labor to provide for their 212
lacking in dignity and self 99
lacking in numbers was made 41
lacking in respect for their 218
lacking in sympathy for those 68
laird at pleasure can feed 71
lakes in central new york 138
lakes in northern new york 53
lakes in upstate new york 93
lakes in western new york 169
lakes of central new york 448
lakes of northern new york 196
lakes of upstate new york 46
lakes of western new york 320
landing in virginia and moving 66
landing to increase his army 67
lands as payment for their 72
lands be offered for sale 48
lands by bargain and sale 59
lands in central and south 139
lands in central new york 98
lands in dispute had been 56
lands in exchange for other 42
lands in exchange for peace 50
lands in exchange for their 145
lands in exchange for those 53
lands in ireland had been 45
lands in northern new york 75
lands in payment for their 48
lands in question are held 76
lands in question had been 373
lands in upstate new york 177
lands in virginia and north 43
lands in western new york 1220
lands of central and south 455
lands of central asia were 46
lands of ireland had been 40
lands of virginia and north 81
lands of western new york 272
lands to protect them from 82
large in diameter and have 57
large to prevent them from 43
larvae of beetles and moths 235
larvae of beetles and other 150
later an addition was made 72
later an attempt was made 1503
later an election was held 69
later he brought her back 40
later he brought his wife 96
later he married his third 49
later he realized that there 50
later he stepped out into 58
later in central and south 101
later in upstate new york 53
later on because they have 44
later the attempt was made 116
later the company was sold 68
later the decision was made 202
later the funeral was held 63
later the husband and wife 112
later the patient was able 226
later the patient was free 62
later the patient was much 84
later the patient was seen 159
later the patient was well 149
later the picture was very 41
later the reverse was true 56
laugh at goblins than most 44
laugh at herself for having 156
laugh at himself for having 221
laugh of derision and were 60
layer of material has been 47
layer of material that will 54
layer of mineral oil over 43
layer of pebbles and sand 57
layer of plaster has been 40
layer of plaster was laid 57
layer of rubbish was left 48
layer of sutures has been 63
layer of vanilla ice cream 114
leaching of calcium and other 82
leaned up against each other 88
learning in america had been 113
learning in infancy and early 708
learning in infants and young 131
learning in insects and other 120
learning in monkeys and apes 242
learning in schools and other 97
learning of infants and young 45
learning of language and other 53
learning the kernels and very 160
learning the language and making 69
learning the language and reading 47
learning the language and trying 41
learning the language and ways 75
learning the leisure and means 50
learning to control his anger 105
learning to control his body 140
learning to declaim and speak 54
learning to respect and love 174
learning to respect each other 420
learning to support each other 97
learns the lessons that life 93
learns to control his anger 43
learns to control his body 139
learns to express his ideas 65
learns to respect and love 102
leased the vehicle and used 52
leases of tenants who have 69
leather to protect them from 60
leaves no ability for such 123
leaves of absence and other 63
leaves of absence for such 97
leaves of absence for union 147
leaves of absence had been 112
leaves of absence with full 199
leaves of acanthus and vine 361
leaves of cabbage and other 56
leaves of grasses and other 171
leaves on hawthorn and tree 63
leaves the familiar and safe 50
leaves the patient with more 154
leaves the patient with some 79
leaves to prevent them from 175
leaves to protect him from 42
leaves to protect them from 966
leaves to shelter them from 96
leaves us exposed not only 47
leaves us friends and wine 47
leaves us wondering how much 137
legal to confine him here 79
legion of critics who have 41
lengths to prevent them from 42
lengths to prevent this from 40
lengths to protect them from 81
letting my thoughts run along 147
letting no private man keep 67
levee or exchange can shew 43
level in infants and young 68
level of ability has been 51
level of alcohol and drug 83
level of alcohol has been 48
level of alcohol use during 77
level of anxiety has been 75
level of anxiety may have 40
level of anxiety was high 53
