lads were far from emulating 68
lady gave her loving husband 41
lady gave him some message 44
lady having her hair dressed 54
lady whom his wife appeared 63
laid bare with their success 45
laid down any other between 66
laid down for their behavior 56
laid down for their conduct 330
laid down his life willingly 59
laid down his most attaching 43
laid down near their markets 58
laid down that these general 50
laid open with great freedom 130
lain down any other between 52
lamb must lie down together 45
lamb will lie down together 773
land bill had been allowed 55
land have not been realized 64
land sank and fell asunder 65
land upon any other subject 160
lank form with much disgust 49
last acting with great success 83
last bomb had been dropped 48
last call for three hundred 48
last case had been carried 45
last coat has been applied 69
last drop had been drained 79
last four and half decades 85
last less than five minutes 454
last less than three minutes 105
last line had been written 46
last more than five decades 47
last more than five minutes 1450
last more than five seconds 236
last more than four decades 153
last more than four minutes 43
last more than three decades 310
last more than three hundred 43
last more than three minutes 355
last name has been adopted 41
last open war made between 112
last page has been written 51
last peace was made between 46
last three and half decades 321
last time his dogs admired 65
last time our paths crossed 80
last time she ever appeared 69
last time they were together 3714
last time with more pleasure 87
last time you were tempted 52
last time you were together 174
last word had been uttered 187
last word had been written 143
last word has been uttered 186
last word has been written 233
last years had been devoted 45
late fees and other charges 46
late fifth and sixth century 50
late filing and late payment 181
late july and early october 83
late june and early october 83
late much has been written 59
late ninth and tenth century 72
late peace with great britain 70
late tenth and early eleventh 5060
late there has been increasing 80
late there hath been between 63
late years has been brought 45
late years has been largely 69
late years has been towards 55
late years with some success 49
late youth and early manhood 72
lawn care and snow removal 70
laws dealing with such matters 172
laws dealing with these matters 54
laws from all other murders 86
laws have not been amended 45
laws have not been applied 128
laws have not been enacted 128
laws have not been repealed 153
laws have not been revised 42
laws have not been violated 113
laws have now been enacted 72
laws having for their purpose 55
laws into one more general 78
laws more and more general 436
laws more than four thousand 46
laws other than those governing 87
leading made his city friends 50
leading more than three hundred 68
leaning more and more against 68
leaning more and more towards 493
leans more and more towards 61
leaping back and forth between 339
leaps back and forth between 146
learn from each other because 128
learn from each other regarding 48
learn from our very infancy 86
learn from you what america 66
learn more and more quickly 45
learn what had been decided 53
learn what had been happening 101
learn what had been settled 112
learn what had been written 46
