label of a fuzzy set 52
labor as a basis for 403
labor as a class and 45
labor as a force for 41
labor as a house being 43
labor as a proxy for 87
labor as a reason for 44
labor as a whole and 505
labor as a whole are 41
labor as a whole can 215
labor as a whole had 58
labor as a whole has 357
labor as a whole was 167
labor at a price that 104
labor in a calling was 69
labor in a given area 53
labor in a woman who 84
labor in a woman with 45
labor of a dozen men 44
labor of a human being 6177
labor of a whole day 64
labor of a whole year 49
labor on a chain gang 230
labor on a scale that 98
lacking as a basis for 70
lacking in a feeling for 90
lakes as a guide for 43
landing in a field near 380
landing in a small bay 51
landing on a level with 107
lands as a basis for 140
lands as a whole are 43
lands at a price that 41
lands on a space that 55
lands on a space with 80
lapse in a woman was 44
lapse of a whole year 237
large as a black bear 95
large as a child six 41
large as a fetal head 144
large as a goose egg 472
large as a grown man 69
large as a hazel nut 435
large as a horse and 81
large as a house and 154
large as a house cat 49
large as a human being 337
large as a human head 214
large as a large dog 60
large as a pigeon egg 80
large as a sheep and 49
large as a small bean 128
large as a small car 52
large as a small cat 43
large as a small cow 72
large as a small dog 167
large as a small egg 154
large as a small hen 254
large as a small nut 155
large as a small pear 59
large as a small pin 134
large as a strong man 46
large as a sucking pig 79
large as a woman and 195
large as i could with 109
large in a given year 49
large of a small one 75
large or a small arc 42
large or a small area 118
large or a small dog 42
large or a small one 713
large or a small sum 73
large or a small way 60
larvae of a small fly 285
larvae of a small moth 149
larva of a small fly 244
larva of a small moth 226
later as a basis for 625
later as a grown man 103
later as a guide for 80
later as a model for 278
later as i write this 100
later at a meeting with 97
later at a price that 115
later by a woman who 59
later in a field near 42
later in a fight with 48
later in a meeting with 122
later on i asked him 41
later on i could not 67
later on i found out 424
later on i found that 668
later on i shall not 43
later on i shall try 41
later on i would not 41
lauds as a noble and 89
laugh as i write this 123
laugh at a blind man 203
laugh at a child who 61
laugh at a human being 47
laugh at a woman who 48
laugh in a queer way 90
laugh in a silly way 216
laugh of a child and 50
laugh of a child who 46
laugh of a woman who 172
layer as a whole and 52
layer is a layer that 179
layer is a loose and 60
layer on a plate and 101
layer on a sheet pan 67
leader in a civil war 56
leader in a group that 101
leader is a leader who 72
leader of a brave and 69
leader of a group and 222
leader of a group are 50
leader of a group can 71
leader of a group for 73
leader of a group has 92
leader of a group may 160
leader of a group that 1642
leader of a group was 49
leader of a group who 277
leader of a group with 92
leader of a growing and 63
leader of a jangling team 105
leader of a large and 284
leader of a large gang 77
leader of a local gang 90
leader of a lynch mob 57
leader of a nation and 110
leader of a nation that 377
leader of a nation who 55
leader of a nation with 45
leader of a nursing team 58
leader of a party and 346
leader of a party but 61
leader of a party for 65
leader of a party had 128
leader of a party has 109
leader of a party may 40
leader of a party than 43
leader of a party that 1634
leader of a party was 112
leader of a party who 306
leader of a party with 375
leader of a people and 55
leader of a people that 43
leader of a people who 281
leader of a proud and 41
leader of a rival gang 123
leader of a small and 186
leader of a small but 400
leader of a small gang 142
leader of a small team 90
leader of a state that 126
leader of a strong and 118
leader of a tribe that 113
league or a league and 333
league to a league off 254
leaned on a stick and 164
leaped as i never saw 45
leaped on a chair and 43
leaped on a horse and 201
leaped on a horse that 90
leaped on a table and 87
learning as a basis for 926
learning as a method for 66
learning as a model for 234
learning as a nation goes 108
learning as a social act 48
learning as a social and 150
learning as a whole and 135
learning at a level that 41
learning in a given area 47
learning is a method for 40
learning is a royal one 89
learning is a search for 108
learning is a social act 50
learning is a social and 79
learning of a judge than 54
learning of a loved one 54
learning of a skill and 83
learning of a trade was 66
learning of a whole new 44
leaves in a china jar 140
leaves in a large pan 63
leaves in a large pot 320
leaves it a blank and 46
leaves of a bible with 46
leaves of a plant and 170
leaves of a plant are 1302
leaves of a plant can 65
leaves of a plant may 143
leaves of a plant that 760
leaves of a plant they 62
