labels that are longer than 52
laboring day and night for 68
laboring day and night with 87
laboring men and women and 145
laboring men and women are 91
laboring men and women who 190
laboring with his hands for 55
lackey who has found you 68
ladder with both hands and 85
ladies did both dance and 56
ladies oft was loved dear 99
ladies that they could not 76
ladies that they would not 51
ladies who had dined with 59
lament for him night and 120
lament that she could not 116
lament that they could not 163
lances are too strong for 70
lapels with both hands and 42
larger and not worse than 52
larger end with brown and 131
larger for red light than 43
larger than any craft that 44
larger than any hound that 258
larger than any which had 170
larger than any which has 46
larger than asia minor and 68
larger than its trade with 82
larger than its value for 55
larger than our milky way 59
larger than our trade with 45
larger than red cells and 52
larger than she really was 94
larger than that found for 371
larger than that found with 53
larger than that given for 78
larger than that shown for 59
larger than that which any 288
larger than that which can 433
larger than that which had 581
larger than that which has 242
larger than that which his 75
larger than that which now 82
larger than that which she 64
larger than that which they 355
larger than that which was 292
larger than that which you 63
larger than they really are 3675
larger than this value and 48
larger than this whole earth 61
larger with each passing day 368
larger with each passing year 585
lasted all that night and 118
lasted day and night for 83
lasted for one whole day 45
lasted for six hours and 161
lasted for six months and 471
lasted for six weeks and 298
lasted for ten months and 65
lasted for ten weeks and 45
lasted for two hours and 1132
lasted for two hours with 45
lasted for two months and 416
lasted for two weeks and 403
lasted near two hours and 48
lately and had given him 44
lately and how often hath 46
lately does not please you 61
latent heat and total heat 52
latest year for which all 211
latest year for which they 83
latest year for which this 143
latter are not aware that 41
latter can not claim any 43
latter can not claim that 42
latter did not agree with 140
latter did not allow him 127
latter did not appear for 55
latter did not carry out 46
latter did not change his 51
latter did not raise his 42
latter does not agree with 117
latter does not allow for 119
latter does not build its 186
latter does not change with 40
latter does not imply that 390
latter end was worse than 213
latter for his walks and 77
latter that they could not 44
latter that they would not 51
latter they are quite apt 60
latter was not liable for 58
latter was too quick for 134
laughing and lay still for 58
laughing lip that shall not 101
laughing that she could not 158
laughing that she nearly let 65
lavish with his money and 125
lawful for any alien who 51
lawful for any party who 182
lawful for any white man 52
lawyer and his mother was 70
lawyer does not agree with 54
lawyer who had acted for 117
lawyer who had spent his 70
lawyer who has spent his 44
lawyer who was known for 41
lawyer who was working for 54
layers and each layer has 44
layers that lie below and 40
leached out with water and 165
leached with hot water and 98
leaders and all others who 57
leaders are now calling for 53
leaders are now faced with 42
leaders did not agree with 332
leaders did not press for 55
leaders did not share his 88
leaders did not share this 57
leaders did not trust him 53
leaders men and women who 42
leaders that they could not 575
leaders that they would not 425
leaders who are faced with 49
leaders who are known for 52
leaders who are looking for 90
leaders who are strong and 43
leaders who are willing and 101
leaders who are working for 49
leaders who are working with 51
leaders who had hoped that 50
leaders who had sided with 70
leagues with its slime and 76
learned all that since thou 49
learned and far abler man 54
learned man for latin and 54
learned men and women and 40
learned men and women are 107
learned men and women who 364
learned men who could read 89
learned new things every day 45
learned pig that night for 48
learned she had never had 46
learned that all people are 65
learned that her child had 80
learned that her child was 45
learned that her father and 119
learned that her father had 1177
learned that her father was 907
learned that her lover had 88
learned that her lover was 108
learned that her mamma had 40
learned that her mother and 120
learned that her mother had 1023
learned that her mother was 651
learned that her uncle had 45
learned that her uncle was 49
learned that his cause was 123
learned that his enemy had 104
learned that his enemy was 100
learned that his father and 250
