lad should take after the 86
lag behind other parts of 141
lag behind their peers in 770
law allows such crime to 61
law claims over which the 48
law courts have found it 83
law covers other types of 80
law enters into force on 79
law extend their action to 111
law itself must needs be 48
law school from which he 130
law should also apply to 110
law varied from state to 49
law varies from place to 56
law varies from state to 1090
lay before such meeting an 109
lay before your grace the 124
lay beyond their power to 40
lay buried deep beneath the 73
lay buried deep within the 40
lay figure upon which to 103
lay hidden deep within the 46
lay hidden just beneath the 94
lead levels were found in 118
lead levels were found to 45
led through four halls of 69
leg broken just above the 55
leg broken just below the 49
let another copy thereof be 561
let anyone come close to 74
let anyone else drive it 132
let anyone else drive the 98
let anyone else touch it 327
let anyone else touch me 58
let anyone else touch the 88
let anyone know about it 544
let anyone know about my 77
let anyone know about the 237
let anyone know where he 184
let anyone know where we 85
let anyone talk about it 53
let memory from false to 61
let myself down again in 98
let myself lose sight of 68
let myself think about it 1506
let myself think about my 74
let myself think about the 329
let nobody else enter the 67
let someone else carry the 171
let someone else drive the 55
let someone else share the 42
let someone else solve the 43
let someone else write the 66
let someone know about it 74
let someone know where we 59
let something slip about the 76
lie buried deep beneath the 185
lie buried deep under the 104
lie buried deep within the 166
lie buried here under the 62
lie hidden away under the 83
log cabins were built by 41
log cabins were built in 100
log cabins were built on 91
log houses were built by 62
log houses were built in 134
long absent from lands of 59
long battle came rolling on 165
long before been given to 112
long before been taken by 182
long before have begun to 47
long before most people in 130
long before other parts of 176
long before other signs of 109
long before some began to 56
long before such point is 212
long before such words as 105
long before there began to 125
long before there could be 494
long before there shone in 90
long before there would be 994
long before unto others to 52
long before your child is 46
long blonde hair blowing in 65
long career during which he 74
long conceal love where it 81
long dashed line shows the 84
long debate took place in 142
long debate took place on 278
long enough gets rated as 50
long enough there comes the 143
long enough there would be 111
long enough time frame to 45
long enough time period to 348
long evenings were spent in 123
long gallic gown which he 101
long lances were fixed in 62
long leagues from hence to 54
long letter from which the 45
long moment during which he 52
long moment during which the 53
long passed away under the 54
long pauses during which he 75
long pauses during which the 53
long periods during which he 222
long periods during which it 151
long periods during which no 463
long periods during which the 1018
long periods even after the 53
long periods over which the 82
long permit young people to 123
long retain their right of 127
long silken hose begin the 96
long tables were spread in 107
long turned their backs on 63
low estate into which it 120
low estate into which the 156
low esteem into which the 88
low groups among which the 48
low houses rising above the 50
low income areas where the 49
low levels were found in 155
low prices will lower the 110
low purple shoes laced so 42
low values were found in 103
lung cancer among women in 70
lung cancer among women is 79
lung cancer cell lines by 83
lung cancer cell lines in 110
lung cancer cell lines to 77
lung cancer deaths occur in 42
lung cancer from smoking is 40
lung cancer were found to 47
lying around just waiting to 73
lying behind those which at 75
lying levels among which it 100
