lay communicated with the long 42
long acquaintance with me and 66
long acquaintance with the area 40
long acquaintance with the art 47
long acquaintance with the man 51
long conversations that he had 42
long conversations with the men 63
long conversations with the old 53
low productivity and the low 50
low productivity due to low 68
low temperatures and at low 119
low temperatures and do not 112
low temperatures and is not 47
low temperatures and the low 104
low temperatures for the day 88
low temperatures may be due 111
low temperatures than it does 46
low temperatures with the aid 42
lying consciousness that he was 136
