lack something in the way 130
lady bothering me to see 116
lady called me to her 56
lady called on me and 44
lady chapel at the east 133
lady looked as if she 318
lady looked at me and 220
lady looked at me with 356
lady looked me up and 41
lady looked up at her 126
lady looked up at him 192
lady looked up in his 64
lady residing in or near 208
lady rushes up to you 95
lady smiled at me and 64
lady smiled up at him 59
lady standing at the end 62
lady stated to be too 61
lady turned to me and 219
lady walked up to him 51
laid abroad in the dew 51
laid across it the long 53
laid before the king all 120
laid before the king and 1052
laid before the king for 470
laid before the king his 148
laid before the king with 46
laid before us by our 54
laid before us in one 41
laid before us in this 87
laid beside it the new 51
laid earlier in the day 50
laid earlier in the year 61
laid gently on the bed 43
laid myself on my bed 46
laid myself on the bed 65
laid stress on my being 92
laid stress on the idea 247
laid stress on the long 41
laid stress on the new 103
laid stress on the two 57
laid stress on the use 180
laid stress on the way 111
lain asleep in the sun 136
lain buried in the earth 162
lain darkly in the earth 42
lain fallow in the son 55
lain hidden in the earth 41
lain lulled by the song 114
lain safely in the earth 58
lake created by the dam 832
lake formed by the dam 796
lake marked on the map 96
lame excuse as to why 120
lamp closer to the bed 53
lamp standing on the far 47
land across the sea and 83
land around it is low 53
land battle of the war 1741
land before it is too 148
land belonging or in any 116
land belonging to it and 88
land belonging to it was 57
land belonging to no one 651
land belonging to the ann 43
land belonging to the big 181
land belonging to the earl 177
land belonging to the new 126
land belonging to the old 101
land belonging to the see 137
land belonging to the two 53
land belongs to he who 48
land belongs to me and 102
land belongs to no one 790
land belongs to the man 146
land belongs to the one 192
land belongs to us all 46
land belongs to us and 105
land beyond the sea and 119
land claims in the area 324
land claims in the new 53
land claims in the ohio 42
land except in so far 131
land farther to the east 107
land fighting of the war 48
land forces in the area 273
land forces in the east 78
land forces in the far 205
land forces in the rear 43
land forces in the war 109
land forces of the two 47
land formed by the two 196
land fronting on the ohio 43
land further to the east 73
land grants in the area 571
land grants in the new 329
land grants in the ohio 47
land grants in the san 61
land grants to the new 198
land holdings in the area 511
land itself or in that 171
land masses of the earth 2253
land masses of the old 266
land masses of the two 45
land masses on the earth 268
land masses to the east 54
land owners in the area 426
land owners of the area 105
land owners on the one 70
land policy of the new 78
land portion of the earth 182
land prices in the area 359
land prices in the six 91
land prices in the two 43
land proved to be one 49
land proved to be too 71
land reform as an end 41
land reform at the top 42
land reform by the end 57
land reform in the area 65
land reform in the mid 154
land reform in the new 131
land reform in the old 49
land reform on the one 116
land rights in the area 271
land routes to the east 377
land routes to the far 126
land sacred to the god 41
land should be to them 52
land should go to his 53
land stands in the way 46
land stares at the sun 78
land station or to any 75
land survey of the area 48
land system of the new 52
land tenure in the area 137
land tilted up on its 103
land titles in the area 175
land titles in the new 42
land troops in the rear 200
land troops on the east 242
land uplift in the area 71
land values in an area 86
land values in the area 968
land values in the east 147
land values on the one 98
land vested in it for 57
land wanted to be let 113
land warmed by the sun 52
lark arises to the sky 72
lark warbling in the sky 173
last actions of the war 140
last advice to me was 67
last agreed to go with 127
last almost to the end 241
last attack of the day 269
last attack of the war 57
last autumn of the war 70
last avenger of the law 99
last bastion of the old 242
last battle in the long 59
last battle in the war 180
last battle of the long 115
last battle of the old 79
last battle of the war 6781
last battle of the year 144
last become in the art 44
last bishop of the old 83
last blessing of the dying 60
last bottle of the day 63
last bottle of the old 149
last building in the row 77
last caller of the day 41
last cantos of the poem 41
last castle in the air 53
last chance of the day 63
last chance to be with 192
last chance to do that 50
last chance to do this 54
last chance to go out 95
last charge of the day 74
last charge of the old 208
last charge of the red 53
last charge of the war 66
last charge to me was 56
last chores of the day 56
last chorus of the song 63
last clause in the act 110
last clause is the key 44
last clause of the act 357
last clause of the law 82
last clause of the new 50
last clause of the oath 66
last client of the day 210
last column in the row 45
last column is the mean 68
last column is the sum 93
last column of the row 88
last cookie in the jar 61
last corner of the earth 200
last coupon to the lean 53
last course is the one 129
last course of the day 89
last course of the meal 79
last decade in the area 129
last decade in the usa 48
last decade in the use 49
last decade is the use 66
last decade of the diaz 45
last decade of the new 63
last decade of the old 811
last decade of the poet 83
last decade of the war 179
last decade of the xix 76
last decade or so and 661
last decade or so are 246
last decade or so but 54
last decade or so can 71
last decade or so for 111
last decade or so had 91
last decade or so has 3377
last decade or so may 93
last decade or so than 56
last decade or so that 3549
last decade or so they 77
last decade or so this 182
last decade or so was 93
last decade or so with 153
last digits of the year 45
last dinner in the old 45
last dollar to an old 77
last duties to the dead 597
last edition is the one 50
last edition of the day 59
last edition of the new 160
last edition of the poem 78
last effort of the day 62
last effort of the dying 329
last effort of the old 195
last effort of the war 44
last embers of the dying 42
last embers of the war 47
last english king to lead 65
last errand of the day 44
last events of the day 41
last events of the war 100
last factor is the one 109
last feature of the new 44
last fighting of the war 77
last figure in the row 59
last figure of the year 301
last finish of the gem 154
last flight of the day 1560
last flight of the year 47
last flower of the year 170
last forced it to leap 354
last friday of the year 212
last glance at the bed 66
last glance at the dead 44
last glance at the man 97
last glance at the map 46
last glance at the old 61
last glance at the two 161
last glance of the sun 114
last homage to the dead 244
last homage to the man 43
last honors to the dead 366
last hurdle in the way 48
last inmate of it was 50
last joints of the toes 80
last lesson of the day 747
last letter is the one 40
last letter of the day 47
last letter of the law 169
last letter of the old 41
last letter of the one 44
last letter of the year 950
last letter to me and 151
last letter to me being 48
last letter to me had 74
last letter to me she 92
last letter to me that 374
last letter to me then 72
last letter to me was 680
last letter to me you 179
last letter to my dear 246
