lace scarf over her hair 164
lace which here and there 112
lady arose upon her feet 132
lady could ever and anon 57
lady could look all over 96
lady doubt what that will 105
lady whose eyes met hers 76
lady whose hand has only 45
lady whose life had been 95
lady whose life has been 53
lady whose name had been 87
lady whose name has been 187
lady whose name she bore 63
lady whose name was miss 47
lady whose name was writ 73
lady whose rank and wealth 63
lady would ever read such 81
lady would give her great 65
lady would give him some 49
laid aside from his brow 88
laid aside from his hand 181
laid aside from his work 97
laid close into her neck 55
laid fewer eggs than those 51
laid right down and died 45
laid within your own mind 44
lake where those that have 51
lake which bears his name 2009
lake which bears its name 134
lamp shone upon her face 47
lamp which bears his name 110
land grows more and more 127
land joining north and south 67
land might have had some 78
land route from new york 101
land running north and south 429
land shall lose his sway 117
land still bears this scar 53
land where gold had been 47
land where lads are ready 50
land where such things were 89
land where there are many 170
land where there are more 111
land where there are none 46
land where there are only 82
land where there had been 526
land where there had once 43
land where there has been 477
land where there was gold 80
land where there was more 82
land where there was much 126
land where there was none 182
land where there was nothing 558
land where there was once 90
land where there was only 154
land which bears his name 91
land which from that time 54
land which gave him birth 777
land which gave them birth 2189
land which gave them their 94
land which gave you birth 113
land which have not been 330
land which juts out from 55
land which juts out into 222
land which once had been 141
land which runs out from 69
land which runs out into 123
land which there are from 52
land which will not grow 40
land would draw his life 41
land would sell for more 70
lane empty save for three 51
lane running north and south 42
lane which runs for more 49
lank black hair and deep 41
lass would keep her word 61
last alone among his fair 90
last amino acid has been 54
last bound hand and foot 43
last bride must leap over 61
last doubt from his mind 42
last dozen years has been 144
last eight years and have 132
last eight years and more 85
last eight years had been 284
last eight years has been 610
last eight years they have 122
last evening from new york 75
last fifty years and have 98
last fifty years and more 1012
last fifty years and will 89
last fifty years are very 50
last fifty years had been 315
last fifty years has also 60
last fifty years has been 3477
last fifty years has come 100
last fifty years has done 73
last fifty years has gone 87
last fifty years has made 200
last fifty years has seen 204
last fifty years has there 45
last fifty years than during 101
last fifty years that have 141
