lace at throat and wrists 440
lack of blood and oxygen 504
lack of cause and effect 246
lack of drive and energy 142
lack of feeling and passion 65
lack of feeling for nature 170
lack of funding for public 119
lack of funds and credit 83
lack of funds and partly 508
lack of funds and proper 152
lack of funds and public 146
lack of funds for building 106
lack of funds for carrying 110
lack of funds for further 131
lack of funds for printing 47
lack of funds for proper 136
lack of funds for public 109
lack of funds for school 43
lack of funds for training 57
lack of funds for travel 136
lack of funds had forced 139
lack of funds has forced 46
lack of jests and serious 41
lack of logic and common 47
lack of method and system 263
lack of money and credit 346
lack of money and partly 130
lack of money and status 83
lack of money and troops 107
lack of money for school 248
lack of money had forced 101
lack of money that causes 52
lack of moral and ethical 359
lack of moral and mental 96
lack of order and system 169
lack of power and status 355
lack of racial and gender 42
lack of roads and trails 137
lack of skill and talent 40
lack of skill and training 543
lack of sleep and proper 205
lack of sleep and stress 173
lack of sleep and tension 54
lack of sleep can affect 117
lack of sleep had caught 53
lack of sleep had caused 94
lack of sleep was catching 159
lack of sleep was starting 42
lack of small and medium 163
lack of social and family 131
lack of social and sexual 60
lack of space and partly 312
lack of space for further 40
lack of space has forced 108
lack of taste and breeding 42
lack of taste she showed 83
lack of thrift and proper 90
lack of touch with reality 242
lack of trees and shrubs 56
lack of trust and belief 57
lack of trust and blunts 72
lack of trust and mutual 247
lack of trust that exists 63
lack of unity and common 133
lack of unity and mutual 42
lack of vigor and energy 63
lack of vision and planning 58
lack of vision with regard 41
lack of water and fodder 159
lack of water and forage 174
lack of water and proper 81
lack of water and sewage 60
lack of water and timber 45
lack of water for drinking 185
lack of which had always 44
lack of which had caused 91
lack of which has caused 119
lady in black was counting 75
lady in silks and satins 75
lady of niger who smiled 141
lady of sense and spirit 90
lady of sense and talent 44
laid in irons for twelve 41
laid it aside and forgot 48
laid it aside and picked 66
laid it aside and turned 53
laid it aside for further 54
laid it aside for future 103
laid it under her pillow 56
laid it under his pillow 99
laid it under his prayer 65
laid the basis for another 116
laid the basis for england 53
laid the basis for further 920
laid the basis for future 1733
laid the basis for german 89
laid the basis for greater 165
laid the basis for modern 941
laid the basis for planning 299
laid the seeds for future 47
laid the table and served 70
laid the table for dinner 288
laid the table for supper 253
lair of leaves and refuse 40
lake is alive with fishes 54
lake so smooth and glassy 82
land by metes and bounds 1622
land he loved and served 95
land in sight and plenty 65
land in towns and cities 195
land in trust for another 101
land in trust for future 76
land in trust for twenty 71
land in which each person 40
land in which his family 45
land in which our fathers 123
land in which they happen 114
land in which they reside 152
land in which they should 65
land is empty and unmeaning 52
land is hilly and broken 171
land is owned and farmed 62
land is owned and worked 90
land is rocky and barren 48
land is still being farmed 42
land is taken for public 246
land my class and myself 47
land of arthur and merlin 54
land of beauty and plenty 240
land of beauty and wonder 105
land of blood and horror 41
land of dreams and visions 96
land of dykes and canals 45
land of egypt and canaan 143
land of egypt and rested 52
land of egypt and strike 66
land of glory and repose 81
land of herds and flocks 47
land of hills and plains 52
land of hills and streams 47
land of lakes and rivers 659
land of lakes and streams 90
land of lenin and stalin 47
land of light and shadow 97
land of luther but dogmas 46
land of mecca and medina 206
land of mists and storms 54
land of rocks and stones 74
land of sheep and cattle 55
land of silks and spices 41
land of small and medium 108
land of springs and streams 51
land of stone and timber 44
land of swamp and forest 56
land of towns and cities 59
land of trees and bushes 47
land of trees and shrubs 67
land of trees and stumps 78
land of vines and olives 85
land of warmth and plenty 104
land of whips and chains 107
land of woods and meadows 48
