lady has hung a closet 56
lady has not a violent 78
lady out for a stroll 49
lady was not a little 175
lady who had a desire 104
lady who had a little 99
lady who had a portion 69
lady who had a pretty 45
lady who was a cousin 70
lady who was a fairly 41
lady who was a fellow 168
lady who was a friend 460
lady who was a little 79
lady who was a member 331
lady who was a native 171
lady who was a teacher 41
laid his head a little 74
laid low for a couple 60
laid low with a severe 87
laid off for a couple 86
laid out for a garden 92
laid out for a larger 59
laid out for a public 46
laid out with a degree 64
laid out with a number 57
laid out with a pencil 52
laid out with a series 79
laid out with a spirit 48
laid out with a square 54
laid them out a second 58
land and has a greater 55
land was not a matter 42
land was not a scarce 83
last and for a moment 46
last and with a little 204
last but for a little 70
last but for a moment 838
last day that i should 75
last him for a couple 40
last man that i should 110
last one was a little 86
last one was a pretty 107
last saw him i thought 43
last she had a chance 100
last she saw a figure 103
last them for a couple 113
last they had a chance 114
last they saw a little 71
last war was a bosses 44
last year and a number 40
last year and a profit 59
last year and i thought 72
last year that i should 171
last year that i thought 52
last year was a little 103
last year was a record 131
last year with a degree 61
last year with a number 47
last you and i differ 71
late and that i should 66
late they saw a mortal 413
laws had put a stigma 104
laws than with a sloven 156
leaning her head a little 70
leaning his head a little 121
learn and use a second 51
learn how far a nickel 52
lease them for a number 54
lease was not a return 100
least fear that i should 101
least idea how i adored 40
least idea that i should 88
least not for a couple 136
least not for a little 69
least not that i recall 50
least she had a chance 134
least she had a little 67
least they had a chance 227
least they had a little 84
least they had a nature 44
least you get a chance 47
least you got a chance 48
least you had a chance 111
leave and that i should 46
leave her for a couple 48
leave her for a little 301
leave her for a minute 587
leave her for a moment 1484
leave her for a second 126
leave her for a younger 172
leave her with a broken 46
leave her with a friend 58
leave her with a little 41
leave her with a sitter 124
leave him but a corner 53
leave him for a better 47
leave him for a couple 60
leave him for a little 408
leave him for a minute 815
leave him for a moment 1778
leave him for a richer 62
leave him for a second 468
leave him for a younger 92
leave him not a moment 49
leave him out a donkey 41
leave him with a little 62
leave him with a profit 64
leave him with a sitter 149
